Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,42.29,988.45,988.6,1010.5,988.45,1000.0,1.17
02012025,43.47,1000.0,1005.0,1009.9,985.35,1002.05,0.2
03012025,55.82,1002.05,1003.4,1014.9,968.0,972.4,-2.96
06012025,47.37,972.4,975.3,982.05,912.0,915.5,-5.85
07012025,42.82,915.5,917.95,968.25,911.4,958.25,4.67
08012025,46.49,958.25,962.25,969.65,926.1,940.25,-1.88
09012025,58.7,940.25,940.95,950.0,916.2,924.05,-1.72
10012025,47.84,924.05,924.0,924.0,886.0,890.2,-3.66
13012025,53.41,890.2,867.0,888.2,834.0,841.75,-5.44
14012025,56.85,841.75,846.95,867.85,823.0,851.25,1.13
15012025,45.47,851.25,855.1,882.0,839.9,873.85,2.65
16012025,44.83,873.85,875.0,907.35,863.9,882.3,0.97
17012025,57.46,882.3,892.0,907.25,849.65,867.7,-1.65
20012025,46.84,867.7,438.7,444.85,430.0,436.75,-49.67
21012025,50.93,436.75,430.0,435.4,423.0,425.9,-2.48
22012025,46.54,425.9,425.0,426.95,405.0,422.45,-0.81
23012025,40.94,422.45,425.3,446.05,416.0,443.95,5.09
24012025,47.59,443.95,438.0,451.25,428.5,436.0,-1.79
27012025,43.12,436.0,429.45,431.25,406.0,414.9,-4.84
28012025,42.99,414.9,408.7,418.2,387.3,405.5,-2.27
29012025,47.66,405.5,402.0,438.7,398.25,436.55,7.66
30012025,53.66,436.55,425.55,459.6,425.55,432.9,-0.84
31012025,43.08,432.9,434.85,444.5,424.0,441.45,1.98
03022025,49.25,436.15,430.0,438.95,415.4,430.0,-1.41
04022025,46.48,430.0,435.8,447.0,424.25,430.8,0.19
05022025,47.56,430.8,437.25,440.95,421.3,432.7,0.44
06022025,49.74,432.7,434.25,444.8,428.2,440.5,1.8
07022025,29.62,440.5,438.2,440.95,421.0,424.0,-3.75
10022025,44.84,424.0,421.75,424.9,401.3,403.75,-4.78
11022025,54.1,403.75,401.4,403.95,375.1,384.55,-4.76
12022025,46.32,384.55,376.0,384.6,360.0,382.95,-0.42
13022025,41.68,382.95,387.2,392.85,371.8,373.8,-2.39
14022025,40.49,373.8,376.0,384.3,356.05,364.1,-2.59
17022025,27.42,364.1,374.0,398.8,370.5,394.0,8.21
18022025,37.04,394.0,396.0,410.95,370.45,378.35,-3.97
19022025,19.05,378.35,380.3,429.7,380.3,423.25,11.87
20022025,30.67,423.25,418.0,425.75,407.05,416.5,-1.59
21022025,37.81,416.5,416.5,424.75,405.0,406.0,-2.52
24022025,39.34,406.0,400.5,415.0,398.95,401.95,-1.0
25022025,48.19,401.95,404.0,416.8,404.0,414.25,3.06
27022025,66.51,414.25,416.45,419.5,413.3,414.2,-0.01
28022025,38.86,414.2,385.0,403.95,381.1,397.9,-3.94
03032025,37.27,397.9,397.9,403.5,375.25,386.8,-2.79
04032025,37.15,386.8,382.0,394.45,377.0,383.1,-0.96
05032025,36.37,383.1,386.75,418.65,386.75,415.35,8.42
06032025,34.07,415.35,415.1,449.0,415.1,440.65,6.09
07032025,41.71,440.65,440.05,448.0,431.85,439.45,-0.27
10032025,42.19,439.45,439.05,442.0,423.15,425.3,-3.22
11032025,30.17,425.3,421.5,428.4,406.55,416.95,-1.96
12032025,50.16,416.95,414.5,421.55,407.7,409.55,-1.77
13032025,46.77,409.55,413.0,417.3,403.05,404.3,-1.28
17032025,35.4,404.3,406.6,423.9,406.55,411.1,1.68
18032025,46.01,411.1,412.0,424.5,412.0,420.8,2.36
19032025,42.12,420.8,419.65,456.15,419.1,446.45,6.1
20032025,27.71,446.45,451.45,478.0,451.0,466.3,4.45
21032025,40.3,466.3,469.05,484.0,469.05,477.75,2.46
24032025,41.65,477.75,478.3,496.75,476.15,485.0,1.52
25032025,42.83,485.0,492.0,496.2,467.0,470.25,-3.04
26032025,38.07,470.25,470.25,499.0,463.85,492.1,4.65
27032025,45.84,492.1,488.95,519.5,463.25,495.35,0.66
28032025,22.19,495.35,510.5,535.7,500.6,518.75,4.72
01042025,28.27,518.75,516.9,548.95,514.45,527.55,1.7
02042025,42.98,527.55,530.95,540.0,520.2,525.4,-0.41
03042025,44.01,525.4,520.0,534.2,515.0,524.95,-0.09
04042025,38.31,524.95,525.0,525.0,489.5,495.35,-5.64
07042025,28.06,495.35,396.3,467.05,396.3,462.95,-6.54
08042025,29.36,462.95,476.6,489.5,449.0,467.6,1.0
09042025,39.62,467.6,466.0,473.7,452.5,456.35,-2.41
11042025,38.08,456.35,465.0,489.95,464.85,485.45,6.38
15042025,36.95,485.45,487.0,496.0,482.4,490.65,1.07
16042025,38.94,490.65,490.7,490.75,479.0,482.55,-1.65
17042025,43.71,482.55,484.5,493.25,465.5,470.0,-2.6
21042025,35.34,470.0,473.8,485.45,471.0,481.95,2.54
22042025,35.85,481.95,482.05,492.55,480.05,486.15,0.87
23042025,46.94,486.15,490.0,503.95,489.0,492.6,1.33
24042025,49.66,492.6,492.6,492.7,468.0,469.55,-4.68
25042025,12.99,469.55,472.05,499.4,462.85,479.15,2.04
28042025,32.32,479.15,479.95,483.9,471.05,473.9,-1.1
29042025,34.76,473.9,475.2,483.7,469.8,477.75,0.81
30042025,47.01,477.75,476.5,477.75,450.75,454.95,-4.77
02052025,25.7,454.95,459.3,470.0,446.65,460.1,1.13
05052025,33.68,460.1,458.5,465.55,445.3,461.7,0.35
06052025,48.24,461.7,464.0,467.55,430.1,433.8,-6.04
07052025,42.11,433.8,425.0,449.9,425.0,440.1,1.45
08052025,55.48,440.1,445.6,453.95,431.0,432.45,-1.74
09052025,40.8,432.45,424.05,434.85,421.0,430.45,-0.46
12052025,44.1,430.45,451.65,469.0,445.8,464.2,7.84
13052025,45.47,464.2,469.0,475.0,459.4,471.9,1.66
14052025,55.56,471.9,476.0,478.4,463.0,464.95,-1.47
15052025,55.55,464.95,469.55,475.0,463.5,472.4,1.6
16052025,29.43,472.4,476.0,484.0,468.5,474.05,0.35
19052025,49.49,474.05,475.0,477.75,454.0,460.7,-2.82
20052025,53.46,460.7,462.25,465.7,450.0,452.0,-1.89
21052025,48.32,452.0,453.1,465.0,451.0,460.35,1.85
22052025,43.27,460.35,454.5,466.6,454.5,460.6,0.05
23052025,43.41,460.6,457.0,462.4,453.1,454.6,-1.3
26052025,48.75,454.6,456.55,462.95,449.5,454.15,-0.1
27052025,49.42,454.15,454.4,461.1,451.4,453.35,-0.18
28052025,59.62,453.35,454.7,462.0,452.0,458.75,1.19
29052025,50.48,458.75,458.75,478.0,456.45,473.9,3.3
30052025,47.39,473.9,476.8,495.0,475.15,492.4,3.9
02062025,48.99,492.4,493.25,499.0,481.0,484.8,-1.54
03062025,40.95,484.8,483.35,504.3,477.0,489.35,0.94
04062025,8.21,489.35,490.0,554.15,487.75,529.8,8.27
05062025,29.13,529.8,533.0,539.75,528.05,530.75,0.18
06062025,43.77,530.75,530.0,532.3,518.4,522.95,-1.47
09062025,41.51,522.95,524.55,536.0,522.45,528.85,1.13
10062025,53.34,528.85,533.0,533.0,518.3,521.5,-1.39
11062025,34.8,521.5,523.6,542.0,522.0,527.65,1.18
12062025,9.58,527.65,532.0,582.0,529.75,560.25,6.18
13062025,23.88,560.25,545.2,559.0,535.55,554.7,-0.99
16062025,7.37,554.7,557.5,598.8,555.2,573.75,3.43
17062025,31.92,573.75,578.3,581.45,560.0,565.4,-1.46
18062025,24.21,565.4,562.0,563.95,547.95,551.85,-2.4
19062025,20.79,551.85,552.05,572.95,538.05,545.6,-1.13
20062025,28.55,545.6,545.7,577.0,544.55,566.6,3.85
23062025,24.36,566.6,565.0,589.9,561.7,584.75,3.2
24062025,32.51,584.75,590.0,598.0,567.95,571.25,-2.31
25062025,29.75,571.25,574.9,598.7,571.55,593.95,3.97
26062025,37.27,593.95,597.0,598.0,580.1,591.9,-0.35
27062025,39.72,591.9,596.25,609.0,587.4,604.75,2.17
30062025,36.68,604.75,602.0,612.5,600.0,606.75,0.33
01072025,51.06,606.75,607.45,610.6,590.5,593.05,-2.26
02072025,32.21,593.05,594.4,606.8,590.05,598.5,0.92
03072025,35.53,598.5,600.0,618.0,596.8,613.45,2.5
04072025,35.92,613.45,613.35,624.7,606.0,611.3,-0.35
07072025,41.24,611.3,614.0,614.65,594.05,596.0,-2.5
08072025,41.72,596.0,595.65,595.7,577.0,585.8,-1.71
09072025,21.53,585.8,588.9,611.95,588.9,595.6,1.67
10072025,38.93,595.6,597.35,597.9,587.0,595.15,-0.08
11072025,42.61,595.15,595.0,595.0,588.0,590.65,-0.76
14072025,40.34,590.65,589.95,608.0,586.0,604.45,2.34
15072025,36.95,604.45,606.65,616.85,601.0,603.95,-0.08
16072025,46.72,603.95,604.0,615.85,600.75,612.05,1.34
17072025,39.47,612.05,618.0,623.8,611.2,615.95,0.64
18072025,42.04,615.95,613.5,623.25,603.1,609.25,-1.09
21072025,37.69,609.25,608.05,610.0,589.2,606.65,-0.43
22072025,37.51,606.65,610.0,619.0,606.1,610.9,0.7
23072025,29.72,610.9,611.5,637.0,608.0,630.65,3.23
24072025,45.87,630.65,634.75,641.0,625.2,632.55,0.3
25072025,31.54,632.55,635.6,636.0,605.5,612.2,-3.22
28072025,41.51,612.2,615.05,621.5,596.45,600.65,-1.89
29072025,44.38,600.65,600.95,607.0,585.35,603.65,0.5
30072025,38.55,603.65,610.05,623.95,603.05,610.1,1.07
31072025,38.87,610.1,603.0,634.15,592.0,629.55,3.19
01082025,39.95,629.55,628.05,639.0,615.0,620.9,-1.37
04082025,35.98,620.9,618.0,629.45,610.65,619.7,-0.19
05082025,45.51,619.7,620.05,624.35,611.25,614.05,-0.91
06082025,46.15,614.05,614.5,623.0,602.2,607.45,-1.07
07082025,34.13,607.45,602.0,612.0,594.4,607.3,-0.02
08082025,44.49,607.3,608.1,614.0,602.3,606.35,-0.16
11082025,42.69,606.35,606.0,628.35,604.1,625.85,3.22
12082025,53.72,625.85,628.95,631.0,614.95,622.25,-0.58
