Date,DelPerc
01102019,95.0
03102019,86.67
04102019,58.77
09102019,83.33
10102019,62.32
11102019,73.11
14102019,66.88
15102019,72.12
16102019,20.0
17102019,83.75
18102019,67.95
21102019,67.95
22102019,94.58
23102019,46.3
24102019,16.9
25102019,26.98
29102019,5.13
30102019,33.33
31102019,55.4
04112019,78.31
05112019,70.73
06112019,56.37
07112019,77.19
11112019,100.0
12112019,100.0
13112019,86.96
14112019,49.28
15112019,100.0
18112019,55.95
19112019,50.0
20112019,83.87
22112019,100.0
26112019,67.82
27112019,56.36
28112019,40.0
02122019,67.08
03122019,74.44
04122019,50.0
05122019,48.1
06122019,39.64
09122019,40.0
10122019,26.32
11122019,58.7
12122019,51.61
16122019,33.33
17122019,50.0
18122019,80.26
19122019,100.0
20122019,100.0
26122019,67.65
27122019,91.3
30122019,83.33
31122019,100.0
01012020,26.26
02012020,28.57
03012020,27.27
06012020,24.66
07012020,40.0
08012020,74.53
10012020,41.67
13012020,50.6
14012020,43.28
15012020,78.63
16012020,45.83
17012020,46.81
20012020,60.12
21012020,45.45
22012020,48.86
24012020,57.33
27012020,63.08
28012020,87.5
29012020,40.0
30012020,68.91
31012020,100.0
03022020,65.48
04022020,81.97
05022020,60.71
07022020,87.5
10022020,99.18
11022020,54.17
12022020,100.0
13022020,51.43
14022020,90.44
17022020,72.22
18022020,38.6
19022020,100.0
20022020,46.15
21022020,46.15
24022020,100.0
25022020,100.0
26022020,63.8
27022020,76.87
28022020,60.0
02032020,67.97
03032020,21.68
04032020,73.03
05032020,40.0
06032020,83.47
09032020,35.06
10032020,35.06
11032020,100.0
12032020,68.33
13032020,76.61
16032020,82.86
17032020,70.75
18032020,45.45
19032020,85.22
20032020,92.77
23032020,53.85
24032020,46.94
25032020,61.88
26032020,100.0
27032020,59.34
30032020,91.67
31032020,86.36
01042020,34.47
02042020,34.47
03042020,94.44
06042020,94.44
07042020,92.04
08042020,54.41
09042020,46.86
10042020,46.86
13042020,94.66
15042020,83.05
16042020,83.33
17042020,94.26
20042020,51.22
21042020,54.72
22042020,36.17
24042020,69.77
27042020,84.62
