Date,DelPerc
07022022,97.71
08022022,95.75
09022022,97.49
10022022,91.54
11022022,95.37
14022022,88.71
15022022,91.75
16022022,87.72
17022022,88.6
18022022,87.15
21022022,77.96
22022022,80.52
23022022,93.85
24022022,76.81
25022022,83.67
28022022,63.42
01032022,63.42
02032022,68.77
03032022,50.08
04032022,54.07
07032022,87.47
08032022,79.15
09032022,86.86
10032022,79.53
11032022,59.74
14032022,49.97
15032022,62.83
16032022,83.33
17032022,77.87
18032022,77.87
21032022,79.26
22032022,76.96
23032022,77.94
24032022,64.27
25032022,80.36
28032022,80.56
29032022,80.49
30032022,72.5
31032022,74.59
01042022,91.98
04042022,89.43
05042022,83.83
06042022,71.69
07042022,86.34
08042022,76.24
11042022,76.18
12042022,79.23
13042022,79.42
14042022,79.42
15042022,79.42
18042022,77.61
19042022,76.86
20042022,78.3
21042022,91.82
22042022,86.14
25042022,81.8
26042022,84.2
27042022,73.1
28042022,80.52
29042022,80.62
02052022,76.97
03052022,76.97
04052022,87.53
05052022,66.95
06052022,90.85
09052022,89.49
