Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
14012026,87.93,70.8,71.0,72.97,68.71,69.25,-2.19
15012026,87.93,70.8,71.0,72.97,68.71,69.25,-2.19
16012026,78.36,69.25,69.6,69.8,68.49,69.09,-0.23
19012026,95.38,69.09,69.5,69.5,68.45,68.88,-0.3
20012026,64.08,68.88,69.3,71.5,67.5,67.61,-1.84
21012026,65.06,67.61,67.61,67.61,66.27,67.25,-0.53
22012026,90.22,67.25,67.25,68.3,67.25,67.94,1.03
23012026,78.36,67.94,67.61,67.86,66.36,66.81,-1.66
27012026,66.73,66.81,66.99,68.48,66.33,66.91,0.15
28012026,83.36,66.91,68.07,69.8,66.9,68.75,2.75
29012026,81.93,68.75,68.61,68.74,67.66,68.32,-0.63
30012026,97.88,68.32,68.26,68.35,67.52,68.08,-0.35
02022026,77.71,66.49,66.83,68.9,65.51,67.09,0.9
03022026,66.03,67.09,69.08,70.85,68.44,69.09,2.98
04022026,75.96,69.09,69.03,69.56,68.82,69.4,0.45
05022026,86.69,69.4,69.75,70.0,68.7,69.2,-0.29
06022026,55.73,69.2,68.84,70.98,68.23,69.35,0.22
09022026,98.14,69.35,71.15,71.15,69.22,70.11,1.1
10022026,53.91,70.11,70.14,71.5,68.84,70.14,0.04
11022026,76.38,70.14,71.5,71.5,70.0,70.22,0.11
12022026,90.56,70.22,70.21,72.11,69.79,71.73,2.15
13022026,85.91,71.73,69.67,70.98,68.8,69.47,-3.15
