Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,31.89,103.25,104.8,109.4,104.39,107.55,4.16
02012025,50.46,107.55,108.0,108.85,103.58,105.87,-1.56
03012025,46.42,105.87,106.1,110.59,106.1,107.96,1.97
06012025,40.68,107.96,109.95,109.95,100.6,102.0,-5.52
07012025,49.24,102.0,102.3,107.5,102.3,106.85,4.75
08012025,44.16,106.85,107.5,107.5,101.8,102.33,-4.23
09012025,53.65,102.33,102.41,104.85,96.73,97.14,-5.07
10012025,51.86,97.14,98.16,99.8,92.51,93.5,-3.75
13012025,51.76,93.5,94.8,95.0,86.42,88.38,-5.48
14012025,52.88,88.38,88.12,93.22,88.1,91.5,3.53
15012025,62.97,91.5,92.85,92.85,89.0,89.48,-2.21
16012025,43.23,89.48,90.8,91.99,89.1,89.59,0.12
17012025,52.67,89.59,89.99,94.99,87.3,90.95,1.52
20012025,56.75,90.95,92.3,94.89,90.14,92.71,1.94
21012025,67.67,92.71,92.98,93.57,88.6,89.09,-3.9
22012025,55.7,89.09,90.45,90.45,84.35,87.05,-2.29
23012025,34.72,87.05,86.11,90.5,86.0,86.91,-0.16
24012025,63.11,86.91,87.95,90.0,85.1,88.85,2.23
27012025,60.09,88.85,87.01,89.19,83.01,83.67,-5.83
28012025,60.63,83.67,85.25,85.25,78.61,82.55,-1.34
29012025,52.04,82.55,83.0,85.99,82.6,84.12,1.9
30012025,61.79,84.12,85.25,87.0,83.61,85.93,2.15
31012025,52.81,85.93,86.4,91.27,84.35,89.98,4.71
03022025,69.61,89.31,87.95,92.45,87.72,90.14,0.93
04022025,67.29,90.14,92.4,92.69,89.51,91.55,1.56
05022025,65.06,91.55,92.9,93.37,91.22,92.62,1.17
06022025,61.45,92.62,93.0,96.0,91.97,95.08,2.66
07022025,51.69,95.08,96.75,96.75,91.51,93.52,-1.64
10022025,49.78,93.52,93.75,93.75,88.28,90.28,-3.46
11022025,58.71,90.28,90.28,90.28,80.78,82.4,-8.73
12022025,46.23,82.4,82.35,84.82,77.99,82.54,0.17
13022025,49.86,82.54,83.0,83.8,80.1,81.77,-0.93
14022025,68.8,81.77,82.5,82.5,75.17,76.18,-6.84
17022025,50.47,76.18,77.75,78.23,74.96,77.79,2.11
18022025,49.93,77.79,77.87,79.37,74.01,78.43,0.82
19022025,44.1,78.43,77.67,79.26,77.29,78.5,0.09
20022025,73.5,78.5,78.0,80.08,78.0,79.29,1.01
21022025,52.96,79.29,78.71,81.51,75.2,75.48,-4.81
24022025,55.11,75.48,74.88,75.51,73.22,75.14,-0.45
25022025,51.98,75.14,75.75,75.99,74.4,74.53,-0.81
27022025,68.99,74.53,74.99,75.0,68.61,71.13,-4.56
28022025,67.06,71.13,70.11,70.32,66.31,67.54,-5.05
03032025,72.67,67.54,68.0,70.76,63.63,65.19,-3.48
04032025,36.1,65.19,66.15,69.39,64.24,66.22,1.58
05032025,70.48,66.22,66.74,71.0,66.68,70.45,6.39
