Date,DelPerc
27122024,53.45
30122024,43.22
31122024,60.29
09092025,77.66
10092025,75.86
11092025,83.53
12092025,77.23
15092025,77.68
16092025,79.71
17092025,94.35
18092025,77.69
19092025,100.0
22092025,100.0
29122025,82.99
30122025,71.54
31122025,82.56
01012026,85.07
02012026,62.63
05012026,71.34
06012026,79.53
07012026,72.61
08012026,92.13
09012026,99.06
12012026,81.77
13012026,86.47
14012026,79.0
15012026,79.0
16012026,80.75
19012026,89.83
20012026,76.68
21012026,63.31
22012026,77.72
23012026,86.68
27012026,71.43
28012026,87.88
29012026,88.23
30012026,81.94
02022026,79.23
03022026,80.72
04022026,92.26
05022026,74.57
06022026,77.13
09022026,68.12
10022026,83.07
11022026,91.51
