Date,DelPerc
01102019,77.12
03102019,87.12
04102019,78.66
07102019,88.71
08102019,88.71
09102019,84.36
10102019,92.39
11102019,79.53
14102019,88.26
15102019,98.27
16102019,86.92
17102019,85.74
18102019,96.11
21102019,96.11
22102019,83.26
23102019,92.86
24102019,91.88
25102019,88.92
28102019,86.54
29102019,78.44
30102019,95.38
31102019,72.87
01112019,94.43
04112019,78.37
05112019,54.02
06112019,68.18
07112019,89.96
08112019,85.09
11112019,61.47
12112019,61.47
13112019,91.78
14112019,94.4
15112019,91.01
18112019,78.38
19112019,91.47
20112019,90.14
21112019,84.77
22112019,84.52
25112019,87.28
26112019,71.4
27112019,85.36
28112019,92.88
29112019,88.31
02122019,43.32
03122019,70.22
04122019,61.83
05122019,89.48
06122019,76.57
09122019,68.94
10122019,85.26
11122019,89.52
12122019,68.3
13122019,84.82
16122019,73.54
17122019,75.31
18122019,77.82
19122019,79.53
20122019,97.04
23122019,96.09
24122019,69.74
25122019,69.74
26122019,91.35
27122019,88.31
30122019,71.07
31122019,82.96
01012020,79.32
02012020,66.0
03012020,97.74
06012020,81.83
07012020,83.37
08012020,83.87
09012020,58.32
10012020,62.07
13012020,89.58
14012020,66.21
15012020,89.45
16012020,59.4
17012020,91.37
20012020,79.68
21012020,90.97
22012020,85.59
23012020,74.59
24012020,73.87
27012020,82.56
28012020,74.0
29012020,69.73
30012020,85.07
31012020,64.78
03022020,90.2
04022020,71.66
05022020,96.17
06022020,98.23
07022020,93.87
10022020,90.07
11022020,82.55
12022020,63.81
13022020,88.99
14022020,84.59
17022020,80.9
18022020,74.85
19022020,69.62
20022020,79.37
21022020,79.37
24022020,96.02
25022020,56.62
26022020,70.7
27022020,64.09
28022020,70.07
02032020,81.12
03032020,49.66
04032020,83.34
05032020,83.74
06032020,72.72
09032020,83.62
10032020,83.62
11032020,65.79
12032020,70.6
13032020,79.87
16032020,72.82
17032020,75.79
18032020,82.25
19032020,82.84
20032020,64.42
23032020,80.65
24032020,79.33
25032020,95.89
26032020,73.01
27032020,74.72
30032020,77.95
31032020,83.06
01042020,71.78
02042020,71.78
03042020,92.61
06042020,92.61
07042020,84.58
08042020,71.85
09042020,75.46
10042020,75.46
13042020,80.75
15042020,83.39
16042020,71.59
17042020,83.1
20042020,67.06
21042020,73.44
22042020,71.97
23042020,67.5
24042020,55.37
27042020,78.8
28042020,69.51
29042020,90.23
30042020,80.3
01052020,80.3
04052020,48.92
05052020,65.96
06052020,86.44
07052020,87.92
08052020,75.57
11052020,76.1
12052020,63.77
13052020,63.05
14052020,64.39
15052020,60.74
18052020,58.48
19052020,69.22
20052020,49.19
21052020,81.48
22052020,51.43
25052020,51.43
26052020,71.29
27052020,93.97
28052020,88.95
29052020,85.57
01062020,64.29
02062020,83.21
03062020,64.12
04062020,70.52
05062020,61.38
08062020,78.88
09062020,89.86
10062020,75.15
11062020,90.97
12062020,77.97
15062020,35.16
16062020,48.7
17062020,85.59
18062020,68.86
19062020,74.38
22062020,69.15
23062020,71.07
24062020,82.41
25062020,78.33
26062020,63.98
29062020,57.58
30062020,57.38
01072020,47.5
02072020,59.61
03072020,82.24
06072020,52.64
07072020,60.09
08072020,83.55
09072020,38.94
10072020,41.22
13072020,51.38
14072020,77.69
15072020,28.12
16072020,45.68
17072020,47.16
20072020,61.4
21072020,65.81
22072020,91.17
23072020,86.16
24072020,20.2
27072020,24.86
28072020,23.75
29072020,43.68
30072020,57.23
31072020,59.28
03082020,70.75
04082020,52.13
05082020,55.02
06082020,52.42
07082020,82.16
10082020,71.88
11082020,50.28
12082020,62.01
13082020,60.22
14082020,76.42
17082020,60.85
18082020,56.7
19082020,75.15
20082020,74.5
21082020,57.98
24082020,65.6
25082020,69.16
26082020,71.1
27082020,78.41
28082020,83.85
31082020,57.72
01092020,84.75
02092020,47.84
03092020,44.8
04092020,54.85
07092020,36.36
08092020,42.63
09092020,53.95
10092020,45.88
11092020,52.14
14092020,39.8
15092020,52.1
16092020,51.73
17092020,65.67
18092020,51.12
21092020,26.37
22092020,46.42
23092020,36.36
24092020,67.75
25092020,48.92
28092020,61.55
29092020,45.17
30092020,52.01
01102020,49.28
05102020,36.84
06102020,52.67
07102020,57.23
08102020,42.64
09102020,64.06
12102020,65.74
13102020,46.28
14102020,50.87
15102020,37.15
16102020,55.61
19102020,36.44
20102020,60.64
21102020,61.5
22102020,68.74
23102020,42.63
26102020,58.29
27102020,70.16
28102020,84.35
29102020,58.92
30102020,72.73
02112020,63.67
03112020,72.11
04112020,60.02
05112020,80.25
06112020,81.8
09112020,69.4
10112020,51.94
11112020,80.93
12112020,79.73
13112020,57.59
16112020,85.92
17112020,73.16
18112020,54.57
19112020,60.82
20112020,61.92
23112020,81.8
24112020,76.51
25112020,76.5
26112020,77.37
27112020,70.48
30112020,70.48
01122020,73.67
02122020,59.52
03122020,82.03
04122020,75.92
07122020,71.31
08122020,66.86
09122020,60.69
10122020,69.73
11122020,56.93
14122020,29.63
15122020,23.36
16122020,41.79
17122020,36.2
18122020,50.82
21122020,37.0
22122020,40.38
23122020,36.47
24122020,49.2
25122020,49.2
28122020,45.4
29122020,21.81
30122020,35.71
31122020,39.62
01012021,43.82
04012021,50.56
05012021,43.56
06012021,65.68
07012021,60.64
08012021,46.77
11012021,50.95
12012021,53.88
13012021,59.1
14012021,40.06
15012021,36.89
18012021,48.71
19012021,44.0
20012021,32.39
21012021,36.37
22012021,53.31
25012021,50.42
27012021,39.6
28012021,40.41
29012021,30.94
01022021,29.8
02022021,26.6
03022021,33.74
04022021,48.3
05022021,33.5
08022021,51.46
09022021,48.15
10022021,36.21
11022021,38.87
12022021,38.75
15022021,32.44
16022021,43.34
17022021,39.71
18022021,53.96
19022021,48.51
22022021,37.89
23022021,46.74
24022021,67.52
25022021,57.53
26022021,55.11
01032021,56.65
02032021,61.96
03032021,47.98
04032021,37.23
05032021,26.19
08032021,40.14
09032021,45.17
10032021,31.65
11032021,31.65
12032021,46.19
15032021,36.78
16032021,29.68
17032021,47.9
18032021,47.57
19032021,37.1
22032021,33.46
23032021,40.82
24032021,52.4
25032021,50.31
26032021,39.35
29032021,39.35
30032021,46.89
31032021,41.78
01042021,22.86
02042021,22.86
05042021,40.38
06042021,35.3
07042021,44.85
08042021,39.33
09042021,56.27
12042021,48.73
13042021,43.83
14042021,43.83
15042021,46.46
16042021,43.6
19042021,53.36
20042021,61.25
21042021,61.25
22042021,48.74
23042021,47.79
26042021,59.36
27042021,44.05
28042021,36.56
29042021,49.54
30042021,33.34
03052021,64.09
04052021,59.1
05052021,47.64
06052021,47.48
07052021,62.85
10052021,74.41
11052021,56.33
12052021,56.82
13052021,56.82
14052021,36.33
17052021,59.36
18052021,63.78
19052021,59.03
20052021,60.15
21052021,53.67
24052021,61.59
25052021,42.79
26052021,31.54
27052021,40.34
28052021,31.66
31052021,40.26
01062021,35.3
02062021,38.32
20072021,53.55
21072021,53.55
22072021,71.22
23072021,69.59
26072021,46.22
27072021,53.42
28072021,59.06
29072021,57.01
30072021,55.75
02082021,67.73
03082021,59.26
04082021,57.84
05082021,56.3
06082021,49.75
09082021,62.64
