Date,DelPerc
01102019,24.37
03102019,66.52
04102019,72.49
07102019,72.17
08102019,72.17
09102019,74.06
10102019,55.88
11102019,58.27
14102019,52.96
15102019,66.4
16102019,56.28
17102019,73.15
18102019,73.4
21102019,73.4
22102019,67.14
23102019,52.97
24102019,42.84
25102019,85.66
28102019,93.0
29102019,82.04
30102019,60.68
31102019,85.77
01112019,54.39
04112019,72.03
05112019,74.01
06112019,56.53
07112019,33.51
08112019,60.6
11112019,64.51
12112019,64.51
13112019,59.15
14112019,72.67
15112019,75.54
18112019,18.68
19112019,66.92
20112019,59.87
21112019,50.68
22112019,55.89
25112019,43.24
26112019,61.15
27112019,54.68
28112019,54.46
29112019,56.57
02122019,32.5
03122019,58.39
04122019,53.07
05122019,52.22
06122019,39.03
09122019,47.75
10122019,81.71
11122019,57.28
12122019,63.46
13122019,56.03
16122019,63.68
17122019,85.65
18122019,75.86
19122019,56.16
20122019,67.65
23122019,65.82
24122019,41.42
25122019,41.42
26122019,46.72
27122019,53.84
30122019,75.53
31122019,57.61
01012020,64.29
02012020,57.42
03012020,39.74
06012020,70.79
07012020,41.79
08012020,46.26
09012020,41.95
10012020,28.9
13012020,52.44
14012020,59.25
15012020,74.32
16012020,79.71
17012020,71.62
20012020,78.23
21012020,61.26
22012020,78.13
23012020,44.59
24012020,75.73
27012020,68.59
28012020,65.64
29012020,47.34
30012020,79.6
31012020,70.59
03022020,60.08
04022020,48.84
05022020,50.69
06022020,55.14
07022020,53.86
10022020,59.57
11022020,71.59
12022020,64.35
13022020,67.3
14022020,60.35
17022020,61.05
18022020,84.06
19022020,78.18
20022020,87.63
21022020,87.63
24022020,87.69
25022020,91.0
26022020,84.07
27022020,65.08
28022020,80.32
02032020,61.78
03032020,73.14
04032020,44.78
05032020,67.73
06032020,77.53
09032020,67.32
10032020,67.32
11032020,59.79
12032020,73.23
13032020,81.33
16032020,90.51
17032020,60.06
18032020,77.92
19032020,76.2
20032020,60.27
23032020,88.17
24032020,56.29
25032020,59.55
26032020,63.15
27032020,89.3
30032020,69.23
31032020,54.08
01042020,83.62
02042020,83.62
03042020,58.64
06042020,58.64
07042020,64.74
08042020,68.25
09042020,80.61
10042020,80.61
13042020,64.28
15042020,50.46
16042020,63.28
17042020,66.63
20042020,43.57
21042020,55.05
22042020,45.04
23042020,42.62
24042020,42.88
27042020,61.11
28042020,61.6
29042020,81.56
30042020,50.54
01052020,50.54
04052020,55.33
05052020,64.96
06052020,69.27
07052020,64.74
08052020,74.92
11052020,57.65
12052020,63.43
13052020,72.06
14052020,82.35
15052020,83.19
