Date,DelPerc
01102019,67.64
03102019,81.51
04102019,73.06
07102019,56.58
08102019,56.58
09102019,80.71
10102019,82.95
11102019,68.43
14102019,60.02
15102019,82.33
16102019,79.3
17102019,59.46
18102019,43.07
21102019,43.07
22102019,63.75
23102019,67.78
24102019,57.32
25102019,52.58
28102019,63.02
29102019,55.42
30102019,62.43
31102019,45.78
01112019,48.09
04112019,51.69
05112019,46.41
06112019,65.87
07112019,49.71
08112019,71.6
11112019,66.47
12112019,66.47
13112019,69.21
14112019,73.71
15112019,55.69
18112019,67.02
19112019,46.13
20112019,55.08
21112019,63.57
22112019,69.45
25112019,61.69
26112019,56.01
27112019,65.2
28112019,54.83
29112019,63.2
02122019,45.05
03122019,74.85
04122019,20.2
05122019,51.14
06122019,44.21
09122019,38.32
10122019,57.71
11122019,66.64
12122019,62.17
13122019,37.82
16122019,70.51
17122019,48.17
18122019,55.18
19122019,69.59
20122019,32.95
23122019,48.65
24122019,83.59
25122019,83.59
26122019,90.9
27122019,32.25
30122019,54.58
31122019,62.41
01012020,32.84
02012020,54.69
03012020,59.01
06012020,75.96
07012020,58.61
08012020,54.75
09012020,45.23
10012020,53.25
13012020,54.35
14012020,57.76
15012020,52.63
16012020,39.55
17012020,44.72
20012020,57.13
21012020,42.15
22012020,62.95
23012020,63.88
24012020,61.85
27012020,65.73
28012020,72.29
29012020,73.96
30012020,80.13
31012020,70.57
03022020,65.51
04022020,36.3
05022020,53.21
06022020,31.71
07022020,70.57
10022020,66.2
11022020,68.42
12022020,47.12
13022020,73.37
14022020,87.82
17022020,74.82
18022020,42.64
19022020,70.9
20022020,58.91
21022020,58.91
24022020,64.91
25022020,62.72
26022020,59.42
27022020,55.94
28022020,55.34
02032020,78.43
03032020,80.12
04032020,72.99
05032020,73.73
06032020,70.28
09032020,57.38
10032020,57.38
11032020,75.15
12032020,77.09
13032020,49.67
16032020,66.55
17032020,67.46
18032020,79.02
19032020,66.08
20032020,68.24
23032020,65.2
24032020,63.79
25032020,79.26
26032020,73.86
27032020,58.73
30032020,65.57
31032020,76.96
01042020,62.15
02042020,62.15
03042020,81.21
06042020,81.21
07042020,59.83
08042020,74.96
09042020,71.03
10042020,71.03
13042020,61.82
15042020,74.29
16042020,50.64
17042020,53.89
20042020,48.01
21042020,53.46
22042020,37.27
23042020,42.71
24042020,65.48
27042020,19.41
28042020,11.22
29042020,28.99
30042020,43.55
01052020,43.55
04052020,46.3
05052020,73.8
06052020,35.69
07052020,59.61
08052020,77.13
11052020,71.03
12052020,72.32
13052020,42.5
14052020,57.31
15052020,62.26
18052020,75.5
19052020,74.86
20052020,65.66
21052020,61.23
22052020,56.08
25052020,56.08
26052020,54.57
27052020,63.25
28052020,49.85
29052020,75.44
01062020,63.45
02062020,68.77
03062020,53.86
04062020,37.09
05062020,37.65
08062020,56.87
09062020,49.47
10062020,51.13
11062020,55.29
12062020,32.76
15062020,45.99
16062020,36.36
17062020,40.68
18062020,46.26
19062020,33.99
22062020,37.77
23062020,42.87
24062020,50.79
25062020,47.91
26062020,64.45
29062020,55.37
30062020,71.65
01072020,45.26
02072020,59.0
03072020,64.7
06072020,68.79
07072020,48.15
08072020,71.77
09072020,45.38
10072020,59.61
13072020,69.1
14072020,47.81
15072020,62.72
16072020,59.33
17072020,49.6
20072020,52.46
21072020,61.06
22072020,65.9
23072020,53.06
24072020,63.25
27072020,72.49
28072020,72.55
29072020,59.1
30072020,56.04
31072020,48.58
03082020,55.45
04082020,46.71
05082020,27.02
06082020,37.69
07082020,47.69
10082020,46.84
11082020,45.99
12082020,50.45
13082020,56.63
14082020,66.37
17082020,60.8
18082020,69.4
19082020,46.53
20082020,54.76
21082020,46.7
24082020,59.31
25082020,57.47
26082020,58.2
27082020,55.98
28082020,71.6
31082020,57.74
01092020,60.07
02092020,70.99
03092020,49.24
04092020,51.51
07092020,52.97
08092020,42.32
09092020,61.18
10092020,54.93
11092020,42.59
14092020,59.15
15092020,51.59
16092020,72.03
17092020,61.93
18092020,73.32
21092020,68.06
22092020,55.58
23092020,49.02
24092020,72.77
25092020,62.1
28092020,54.12
29092020,54.0
30092020,50.66
01102020,57.57
05102020,58.97
06102020,75.0
07102020,65.35
08102020,65.46
09102020,36.84
12102020,59.72
13102020,57.14
14102020,22.77
15102020,35.05
16102020,37.81
19102020,37.09
20102020,59.58
21102020,52.84
22102020,66.04
23102020,49.75
26102020,51.67
27102020,65.19
28102020,75.34
29102020,65.79
30102020,35.0
02112020,43.97
03112020,40.65
04112020,42.77
05112020,51.84
06112020,53.61
09112020,49.81
10112020,57.18
11112020,61.01
12112020,53.31
13112020,62.14
16112020,74.78
17112020,71.8
18112020,63.54
19112020,58.06
20112020,72.07
23112020,26.02
24112020,56.43
25112020,24.73
26112020,54.06
27112020,47.74
30112020,47.74
01122020,63.47
02122020,25.08
03122020,57.37
04122020,61.72
07122020,64.79
08122020,28.39
09122020,47.92
10122020,47.8
11122020,56.55
14122020,61.76
15122020,58.58
16122020,71.73
17122020,60.44
18122020,59.02
21122020,68.59
22122020,45.41
23122020,47.92
24122020,23.59
25122020,23.59
28122020,53.1
29122020,63.52
30122020,52.75
31122020,63.07
01012021,47.45
04012021,61.69
05012021,52.72
06012021,28.8
07012021,52.9
08012021,67.72
11012021,53.4
12012021,50.84
13012021,51.12
14012021,51.59
15012021,47.23
18012021,62.18
19012021,54.19
20012021,45.95
21012021,49.46
22012021,68.21
25012021,54.21
27012021,59.01
28012021,50.97
29012021,43.45
01022021,49.51
02022021,60.1
03022021,57.44
04022021,51.05
05022021,33.31
08022021,41.86
09022021,57.77
10022021,70.39
11022021,49.87
12022021,55.4
15022021,66.05
16022021,38.76
17022021,28.15
18022021,52.82
19022021,48.92
22022021,56.59
23022021,53.05
24022021,58.95
25022021,47.21
26022021,48.03
01032021,54.49
02032021,54.58
03032021,61.57
04032021,58.18
05032021,46.05
08032021,65.8
09032021,60.95
10032021,51.24
11032021,51.24
12032021,64.02
15032021,68.66
16032021,70.07
17032021,41.51
18032021,57.29
19032021,36.79
22032021,47.64
23032021,48.8
24032021,61.31
25032021,61.7
26032021,66.52
29032021,66.52
30032021,60.81
31032021,46.22
01042021,48.37
02042021,48.37
05042021,53.88
06042021,55.22
07042021,47.77
08042021,73.33
09042021,34.23
12042021,56.12
13042021,48.32
14042021,48.32
15042021,59.88
16042021,60.25
19042021,67.19
20042021,63.89
21042021,63.89
22042021,65.01
23042021,59.95
26042021,54.15
27042021,49.01
28042021,64.13
29042021,59.96
30042021,51.73
03052021,59.57
04052021,50.24
05052021,53.65
06052021,60.46
07052021,54.34
10052021,52.04
11052021,45.32
