Date,DelPerc
01102019,58.41
03102019,52.23
04102019,49.65
07102019,61.8
08102019,61.8
09102019,45.94
10102019,38.5
11102019,55.5
14102019,73.05
15102019,78.76
16102019,46.41
17102019,81.59
18102019,98.06
21102019,98.06
22102019,100.0
23102019,62.49
24102019,47.09
25102019,59.74
28102019,88.27
29102019,90.61
30102019,100.0
31102019,100.0
01112019,95.99
04112019,48.91
05112019,59.62
06112019,58.28
07112019,43.26
08112019,55.53
11112019,55.75
12112019,55.75
13112019,52.56
14112019,100.0
15112019,100.0
18112019,100.0
19112019,100.0
20112019,100.0
21112019,48.21
22112019,68.44
25112019,45.21
26112019,53.38
27112019,46.95
28112019,72.79
29112019,44.84
02122019,50.91
03122019,39.63
04122019,51.9
05122019,57.89
06122019,61.22
09122019,35.64
10122019,52.89
11122019,41.1
12122019,58.4
13122019,40.45
16122019,58.76
17122019,58.2
18122019,53.05
19122019,59.08
20122019,58.35
23122019,58.23
24122019,64.46
25122019,64.46
26122019,51.95
27122019,50.88
30122019,45.21
31122019,67.71
01012020,55.24
02012020,48.16
03012020,54.75
06012020,77.13
07012020,51.9
08012020,61.83
09012020,90.88
10012020,100.0
13012020,45.49
14012020,48.6
15012020,58.63
16012020,36.93
17012020,59.64
20012020,67.52
21012020,59.58
22012020,79.06
23012020,47.71
24012020,66.92
27012020,67.58
28012020,65.91
29012020,49.38
30012020,72.09
31012020,61.41
03022020,61.13
04022020,71.97
05022020,100.0
06022020,56.6
07022020,59.36
10022020,48.25
11022020,55.63
12022020,49.58
13022020,72.39
14022020,54.61
17022020,66.69
18022020,47.14
19022020,61.05
20022020,69.6
21022020,69.6
24022020,59.9
25022020,56.9
26022020,52.99
27022020,70.44
28022020,76.54
02032020,62.09
03032020,61.46
04032020,63.44
05032020,45.43
06032020,62.43
09032020,77.85
10032020,77.85
11032020,58.22
12032020,94.06
13032020,69.98
16032020,80.9
17032020,62.57
18032020,85.45
19032020,100.0
20032020,61.16
23032020,100.0
24032020,60.35
25032020,73.53
26032020,77.66
27032020,64.85
30032020,90.04
31032020,64.27
01042020,62.69
02042020,62.69
03042020,81.07
06042020,81.07
07042020,100.0
08042020,100.0
09042020,100.0
10042020,100.0
13042020,66.34
15042020,61.93
16042020,75.37
17042020,90.83
20042020,99.99
21042020,47.42
22042020,61.69
23042020,53.9
24042020,67.1
27042020,58.63
28042020,100.0
29042020,65.36
30042020,89.96
01052020,89.96
04052020,97.5
05052020,100.0
06052020,100.0
07052020,49.28
08052020,49.28
11052020,52.17
12052020,46.51
13052020,46.12
14052020,47.15
15052020,49.65
18052020,65.36
19052020,48.6
20052020,36.1
21052020,50.84
22052020,63.05
25052020,63.05
26052020,53.42
27052020,46.97
28052020,53.18
29052020,50.73
01062020,84.87
02062020,72.69
03062020,47.57
04062020,63.15
05062020,45.31
08062020,54.61
09062020,51.87
10062020,52.23
11062020,71.72
12062020,48.77
15062020,59.12
16062020,50.95
17062020,38.89
18062020,60.96
19062020,56.56
22062020,63.46
23062020,62.59
24062020,61.74
25062020,69.65
26062020,77.29
29062020,99.24
30062020,99.97
01072020,98.9
02072020,98.74
03072020,99.84
06072020,100.0
07072020,100.0
08072020,50.63
09072020,44.26
10072020,61.89
13072020,65.17
14072020,61.74
15072020,86.94
16072020,45.71
17072020,51.07
20072020,64.0
21072020,67.13
22072020,53.54
23072020,70.55
24072020,52.96
27072020,74.83
28072020,73.27
29072020,62.09
30072020,57.84
31072020,68.98
03082020,69.79
04082020,66.67
05082020,65.85
06082020,68.75
07082020,55.84
10082020,65.03
11082020,70.74
12082020,72.3
13082020,66.38
14082020,75.69
17082020,78.56
18082020,67.73
19082020,73.03
20082020,59.96
21082020,68.01
24082020,70.55
25082020,64.02
26082020,69.85
27082020,69.39
28082020,76.06
31082020,78.02
01092020,76.42
02092020,61.68
03092020,49.83
04092020,65.15
07092020,80.17
08092020,73.77
09092020,70.77
10092020,65.25
11092020,73.04
14092020,62.18
15092020,63.63
16092020,57.02
17092020,56.85
18092020,64.3
21092020,70.25
22092020,64.45
23092020,54.31
24092020,61.35
25092020,66.54
28092020,57.35
29092020,65.32
30092020,50.74
01102020,68.75
05102020,69.37
06102020,61.34
07102020,63.57
08102020,53.13
09102020,67.45
12102020,69.15
13102020,70.27
14102020,69.03
15102020,71.09
16102020,37.95
19102020,40.01
20102020,41.57
21102020,43.68
22102020,68.16
23102020,42.26
26102020,60.95
27102020,54.99
28102020,68.34
29102020,60.98
30102020,60.84
02112020,66.68
03112020,55.43
04112020,75.1
05112020,44.61
06112020,57.82
09112020,53.1
10112020,50.52
11112020,60.31
