Date,DelPerc
01102019,3.12
03102019,26.43
04102019,17.85
07102019,12.65
08102019,12.65
09102019,12.68
10102019,14.46
11102019,1.22
14102019,10.52
15102019,2.63
16102019,7.52
17102019,0.44
18102019,9.23
21102019,9.23
22102019,4.03
23102019,4.07
24102019,8.99
25102019,27.22
28102019,3.71
29102019,24.02
30102019,28.28
31102019,36.1
01112019,23.86
04112019,30.99
05112019,36.87
06112019,24.01
07112019,23.0
08112019,27.56
11112019,56.7
12112019,56.7
13112019,28.32
14112019,29.98
15112019,34.13
18112019,27.54
19112019,29.12
20112019,28.69
21112019,10.3
22112019,33.85
25112019,31.48
26112019,50.7
27112019,48.75
28112019,50.0
29112019,93.58
02122019,100.0
03122019,45.48
04122019,92.89
05122019,49.93
06122019,62.6
09122019,43.74
10122019,38.75
11122019,51.37
12122019,55.64
13122019,47.04
16122019,49.96
17122019,51.04
18122019,49.63
19122019,36.45
20122019,58.37
23122019,47.45
24122019,50.79
25122019,50.79
26122019,50.0
27122019,10.51
30122019,33.02
31122019,52.16
01012020,84.62
02012020,67.72
03012020,52.6
06012020,72.73
07012020,74.15
08012020,58.26
09012020,75.15
10012020,61.76
13012020,76.04
14012020,48.87
15012020,31.8
16012020,97.22
17012020,50.83
20012020,42.01
21012020,100.0
22012020,68.44
23012020,74.6
24012020,43.3
27012020,95.65
28012020,81.02
30012020,43.55
31012020,93.02
03022020,97.8
04022020,93.37
05022020,92.6
06022020,37.63
07022020,76.01
10022020,52.73
11022020,47.16
12022020,45.84
13022020,58.72
14022020,67.6
17022020,88.75
18022020,68.62
19022020,79.43
20022020,53.18
21022020,53.18
24022020,81.66
25022020,98.87
26022020,96.81
27022020,86.08
28022020,68.34
02032020,65.31
03032020,43.78
04032020,74.27
05032020,68.48
06032020,36.61
09032020,92.8
10032020,92.8
11032020,96.18
12032020,56.75
13032020,43.07
16032020,98.69
17032020,61.66
18032020,87.24
19032020,51.16
20032020,73.32
23032020,100.0
24032020,59.04
25032020,56.07
26032020,100.0
27032020,37.52
30032020,37.11
31032020,47.49
01042020,66.16
02042020,66.16
03042020,94.74
06042020,94.74
07042020,55.8
08042020,60.28
09042020,90.27
10042020,90.27
13042020,59.22
15042020,71.22
16042020,47.14
17042020,43.11
20042020,72.76
21042020,79.28
22042020,100.0
23042020,88.24
24042020,60.49
27042020,74.29
28042020,10.4
29042020,49.8
30042020,90.8
01052020,90.8
04052020,24.75
05052020,77.78
06052020,17.67
07052020,62.47
08052020,71.29
11052020,44.5
12052020,1.95
13052020,54.15
14052020,78.76
15052020,38.05
18052020,96.25
19052020,56.85
20052020,29.32
21052020,11.24
22052020,56.75
25052020,56.75
26052020,61.97
27052020,66.82
28052020,33.88
29052020,54.55
01062020,43.11
02062020,86.87
03062020,69.25
04062020,84.03
05062020,28.45
08062020,88.7
09062020,64.49
10062020,38.41
11062020,64.19
12062020,45.27
15062020,61.63
16062020,74.49
17062020,35.51
18062020,59.34
19062020,32.16
22062020,77.69
23062020,48.79
24062020,57.6
25062020,93.03
26062020,54.31
29062020,55.59
30062020,17.95
01072020,68.73
02072020,56.89
03072020,66.81
06072020,88.8
07072020,74.69
08072020,42.31
09072020,84.47
10072020,42.85
13072020,76.61
14072020,67.46
15072020,85.65
16072020,100.0
17072020,60.69
20072020,81.23
21072020,62.63
22072020,19.58
23072020,4.48
24072020,20.7
27072020,29.31
28072020,18.32
29072020,61.5
30072020,20.74
31072020,25.87
03082020,13.73
04082020,24.02
05082020,23.81
06082020,27.99
07082020,29.28
10082020,3.96
11082020,29.33
12082020,12.1
13082020,86.22
14082020,49.94
17082020,80.28
18082020,37.64
19082020,42.67
20082020,32.07
21082020,38.99
24082020,85.24
25082020,30.57
26082020,50.64
27082020,24.49
28082020,54.8
31082020,77.56
01092020,54.0
02092020,48.59
03092020,62.86
04092020,40.36
07092020,38.18
08092020,59.39
09092020,48.15
10092020,62.65
11092020,66.42
14092020,10.43
15092020,79.31
16092020,64.46
17092020,69.6
18092020,68.92
21092020,89.54
22092020,70.28
23092020,78.87
24092020,54.85
25092020,89.63
28092020,81.85
29092020,63.47
30092020,24.69
01102020,73.97
05102020,67.93
06102020,49.25
07102020,80.71
08102020,56.83
09102020,49.86
12102020,48.85
13102020,42.37
14102020,61.1
15102020,77.87
16102020,91.02
19102020,56.04
20102020,68.34
21102020,41.6
22102020,80.48
23102020,44.78
26102020,36.42
27102020,33.33
28102020,13.82
29102020,48.41
30102020,21.54
02112020,26.31
03112020,86.25
04112020,45.45
05112020,5.68
06112020,56.64
09112020,37.78
10112020,73.97
11112020,46.21
12112020,56.36
13112020,47.58
16112020,94.09
17112020,93.09
18112020,76.77
19112020,77.71
20112020,92.04
23112020,53.85
24112020,77.55
25112020,58.24
26112020,79.07
27112020,71.03
30112020,71.03
01122020,95.95
02122020,78.75
03122020,69.44
04122020,94.48
07122020,76.24
08122020,82.86
09122020,70.02
10122020,64.32
11122020,79.81
14122020,75.05
15122020,67.93
16122020,74.05
17122020,58.83
18122020,87.13
21122020,79.72
22122020,69.55
23122020,52.22
24122020,62.23
25122020,62.23
28122020,94.68
29122020,86.25
30122020,87.13
31122020,80.36
01012021,58.23
04012021,57.39
05012021,33.44
06012021,56.96
07012021,53.51
08012021,48.71
11012021,66.35
12012021,56.46
13012021,58.65
14012021,46.7
15012021,76.65
18012021,58.98
19012021,54.1
20012021,37.41
21012021,33.77
22012021,46.56
25012021,45.01
27012021,41.29
28012021,69.66
29012021,11.06
01022021,52.11
02022021,69.17
03022021,73.95
04022021,42.81
05022021,40.83
08022021,71.75
09022021,81.43
10022021,31.66
11022021,47.14
12022021,59.18
15022021,59.14
16022021,30.73
17022021,20.01
18022021,52.79
19022021,48.37
22022021,54.24
23022021,55.89
24022021,63.58
25022021,66.71
26022021,57.31
01032021,62.2
02032021,60.61
03032021,73.89
04032021,51.42
05032021,53.81
08032021,45.71
09032021,81.28
10032021,42.41
11032021,42.41
12032021,45.39
15032021,57.56
16032021,39.72
17032021,89.23
18032021,63.9
19032021,84.99
22032021,95.69
23032021,22.21
24032021,70.3
