Date,DelPerc
01102019,37.79
03102019,30.7
04102019,30.68
07102019,64.81
08102019,64.81
09102019,64.83
10102019,49.09
11102019,64.69
14102019,60.41
15102019,38.22
16102019,60.41
17102019,42.31
18102019,56.4
21102019,56.4
22102019,36.48
23102019,60.11
24102019,24.96
25102019,61.84
28102019,34.98
29102019,44.82
30102019,62.91
31102019,51.7
01112019,52.55
04112019,59.28
05112019,31.35
06112019,31.44
07112019,61.21
08112019,50.06
11112019,52.31
12112019,52.31
13112019,57.55
14112019,67.67
15112019,58.97
18112019,59.77
19112019,55.43
20112019,55.52
21112019,58.14
22112019,52.72
25112019,59.9
26112019,29.89
27112019,38.11
28112019,59.84
29112019,47.5
02122019,57.65
03122019,66.5
04122019,50.35
05122019,44.84
06122019,65.8
09122019,59.72
10122019,67.61
11122019,54.01
12122019,63.94
13122019,56.34
16122019,35.31
17122019,49.89
18122019,18.33
19122019,57.59
20122019,72.08
23122019,62.04
24122019,45.7
25122019,45.7
26122019,46.34
27122019,41.93
30122019,35.54
31122019,47.26
01012020,70.76
02012020,56.19
03012020,44.03
06012020,59.74
07012020,72.63
08012020,65.53
09012020,44.54
10012020,39.59
13012020,34.08
14012020,39.97
15012020,43.51
16012020,43.21
17012020,64.65
20012020,63.1
21012020,45.36
22012020,34.86
23012020,58.99
24012020,61.11
27012020,59.87
28012020,51.94
29012020,60.12
30012020,64.81
31012020,65.85
03022020,68.69
04022020,70.29
05022020,78.33
06022020,66.69
07022020,75.68
10022020,17.89
11022020,37.29
12022020,34.32
13022020,49.3
14022020,60.28
17022020,67.32
18022020,58.05
19022020,49.36
20022020,42.48
21022020,42.48
24022020,60.02
25022020,63.22
26022020,53.45
27022020,60.4
28022020,61.06
02032020,66.5
03032020,54.16
04032020,67.35
05032020,57.51
06032020,57.93
09032020,60.74
10032020,60.74
11032020,72.1
12032020,69.47
13032020,60.26
16032020,65.51
17032020,58.57
18032020,72.68
19032020,71.24
20032020,59.62
23032020,69.1
24032020,47.91
25032020,29.15
26032020,24.92
27032020,23.2
30032020,55.05
31032020,82.02
01042020,57.14
02042020,57.14
03042020,67.43
06042020,67.43
07042020,55.15
08042020,26.13
09042020,50.39
10042020,50.39
13042020,20.96
15042020,22.28
16042020,41.58
17042020,51.61
20042020,60.31
21042020,64.28
22042020,44.62
23042020,22.94
24042020,65.89
27042020,53.41
28042020,51.93
29042020,41.15
30042020,43.2
01052020,43.2
04052020,41.64
05052020,67.56
06052020,62.53
07052020,61.44
08052020,32.18
11052020,65.35
12052020,58.95
13052020,34.53
14052020,52.0
15052020,37.43
18052020,56.16
19052020,55.64
20052020,50.99
21052020,43.05
22052020,26.43
25052020,26.43
26052020,63.88
27052020,60.53
28052020,26.56
29052020,51.98
01062020,51.81
02062020,52.2
03062020,50.02
04062020,51.0
05062020,33.34
08062020,47.11
09062020,39.19
10062020,40.69
11062020,41.01
12062020,41.09
15062020,49.88
16062020,51.86
17062020,18.38
18062020,34.61
19062020,50.92
22062020,52.89
23062020,20.31
24062020,33.37
25062020,43.18
26062020,53.07
29062020,36.18
30062020,57.59
01072020,56.86
02072020,18.35
03072020,26.37
06072020,28.75
07072020,21.26
08072020,18.43
09072020,50.42
10072020,53.21
13072020,52.84
14072020,59.58
15072020,36.62
16072020,50.71
17072020,43.48
20072020,54.61
21072020,10.92
22072020,60.49
23072020,38.62
24072020,67.43
27072020,33.02
28072020,60.46
29072020,15.31
30072020,37.3
31072020,15.42
03082020,35.86
04082020,64.31
05082020,59.82
06082020,36.38
07082020,43.39
10082020,60.22
11082020,46.68
12082020,37.35
13082020,39.65
14082020,16.56
17082020,31.48
18082020,37.48
19082020,43.81
20082020,49.31
21082020,45.07
24082020,29.43
25082020,51.32
26082020,55.45
10112020,85.11
11112020,70.07
12112020,56.16
13112020,63.35
16112020,68.93
17112020,78.22
18112020,70.67
19112020,18.51
20112020,62.09
23112020,69.28
24112020,64.08
25112020,61.76
26112020,31.4
27112020,57.37
30112020,57.37
01122020,62.61
02122020,54.62
03122020,59.23
04122020,71.28
07122020,44.71
08122020,59.51
09122020,63.33
10122020,62.13
11122020,63.91
14122020,45.91
15122020,46.45
16122020,53.58
17122020,74.0
18122020,45.32
21122020,47.65
22122020,51.43
23122020,65.74
24122020,59.44
25122020,59.44
28122020,62.97
29122020,64.92
30122020,54.38
31122020,67.62
01012021,25.68
04012021,48.81
05012021,68.16
06012021,64.03
07012021,57.86
08012021,62.78
11012021,63.19
12012021,64.22
13012021,39.7
14012021,56.67
15012021,65.75
18012021,62.37
19012021,65.75
20012021,50.62
21012021,66.43
22012021,62.89
25012021,58.98
27012021,67.24
28012021,41.91
29012021,52.59
01022021,59.54
02022021,62.99
03022021,56.55
04022021,59.12
05022021,31.42
08022021,68.27
09022021,50.04
10022021,63.61
11022021,61.81
12022021,56.85
15022021,43.87
16022021,51.75
17022021,48.5
18022021,56.85
19022021,44.44
22022021,49.91
23022021,54.23
24022021,53.96
25022021,51.86
26022021,49.25
01032021,62.15
02032021,60.08
03032021,47.29
04032021,38.73
05032021,55.53
08032021,66.59
09032021,36.69
10032021,69.9
11032021,69.9
12032021,55.78
15032021,62.31
16032021,18.81
17032021,51.6
18032021,56.28
19032021,57.0
22032021,53.7
23032021,46.09
24032021,59.72
25032021,54.91
26032021,54.96
29032021,54.96
30032021,67.27
31032021,43.95
01042021,58.78
02042021,58.78
