Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,76.23,52.66,52.66,52.98,51.79,52.66,0.0
02012025,67.98,52.66,52.47,55.0,51.51,53.86,2.28
03012025,53.34,53.86,54.98,60.36,52.62,59.04,9.62
06012025,49.25,59.04,58.95,59.95,56.54,59.03,-0.02
07012025,59.37,59.03,59.44,59.44,56.83,58.12,-1.54
08012025,46.25,58.12,58.15,58.8,56.12,57.22,-1.55
09012025,53.13,57.22,58.49,58.96,56.22,57.14,-0.14
10012025,76.55,57.14,57.14,57.14,52.52,53.21,-6.88
13012025,58.66,53.21,53.2,54.19,50.55,52.01,-2.26
14012025,21.27,52.01,52.0,59.33,51.81,53.1,2.1
15012025,53.83,53.1,54.5,55.39,52.91,53.61,0.96
16012025,39.0,53.61,55.5,59.51,53.0,53.79,0.34
17012025,56.37,53.79,54.01,56.0,53.81,55.49,3.16
20012025,53.42,55.49,55.5,56.57,54.01,54.46,-1.86
21012025,69.18,54.46,55.89,58.7,54.22,56.61,3.95
22012025,56.8,56.61,57.45,58.8,54.25,54.79,-3.21
23012025,78.66,54.79,55.68,56.75,54.32,56.06,2.32
24012025,65.15,56.06,57.2,57.2,54.0,54.69,-2.44
27012025,77.08,54.69,55.86,55.86,51.6,51.98,-4.96
28012025,65.44,51.98,52.98,53.59,48.51,49.48,-4.81
29012025,71.52,49.48,49.48,51.04,48.32,49.92,0.89
30012025,93.28,49.92,50.64,50.88,50.02,50.56,1.28
31012025,61.75,50.56,50.7,52.0,49.7,50.58,0.04
03022025,58.41,53.59,52.1,52.1,51.35,51.92,-3.12
04022025,62.72,51.92,51.51,52.72,51.16,51.54,-0.73
05022025,54.96,51.54,51.99,53.5,51.99,53.32,3.45
06022025,66.61,53.32,53.09,54.0,52.02,52.41,-1.71
07022025,73.84,52.41,53.96,53.96,50.78,51.65,-1.45
10022025,85.05,51.65,51.41,51.59,49.2,49.52,-4.12
11022025,61.33,49.52,49.31,50.98,49.0,50.39,1.76
12022025,38.17,50.39,50.15,51.39,48.06,50.14,-0.5
13022025,49.5,50.14,52.9,52.9,49.0,49.17,-1.93
14022025,69.63,49.17,49.23,49.99,47.01,47.54,-3.32
17022025,63.81,47.54,47.3,48.95,47.3,47.56,0.04
18022025,77.43,47.56,47.56,48.97,46.49,46.65,-1.91
19022025,81.47,46.65,47.64,48.5,47.43,48.48,3.92
20022025,70.69,48.48,49.9,49.9,48.61,49.71,2.54
21022025,82.83,49.71,49.72,49.95,48.71,48.77,-1.89
24022025,84.22,48.77,49.41,50.46,46.0,46.56,-4.53
25022025,21.65,46.56,47.57,53.57,47.57,51.67,10.98
27022025,39.74,51.67,52.5,52.55,48.3,48.97,-5.23
28022025,62.96,48.97,48.98,48.98,46.01,47.6,-2.8
03032025,66.03,47.6,48.49,48.49,44.21,45.32,-4.79
04032025,45.29,45.32,43.3,46.32,43.3,44.24,-2.38
05032025,48.69,44.24,46.2,46.2,43.8,44.26,0.05
06032025,54.8,44.26,44.99,46.0,44.0,45.04,1.76
07032025,77.43,45.04,45.16,49.01,45.12,47.71,5.93
10032025,76.84,47.71,47.7,47.7,45.05,45.48,-4.67
11032025,62.5,45.48,44.22,45.48,44.22,44.51,-2.13
12032025,82.3,44.51,44.53,45.19,44.41,44.7,0.43
13032025,71.0,44.7,44.83,45.2,44.5,44.8,0.22
17032025,72.88,44.8,45.4,45.4,44.2,44.35,-1.0
18032025,72.07,44.35,45.02,45.33,44.2,44.7,0.79
19032025,71.79,44.7,44.68,45.7,44.42,44.98,0.63
20032025,68.95,44.98,44.26,45.9,43.62,44.64,-0.76
21032025,37.54,44.64,44.03,45.59,44.0,44.25,-0.87
24032025,54.8,44.25,44.26,45.8,43.5,45.08,1.88
25032025,81.77,45.08,45.07,45.78,43.5,43.71,-3.04
26032025,76.95,43.71,43.24,44.7,42.56,43.02,-1.58
27032025,83.48,43.02,42.2,43.0,41.16,42.59,-1.0
28032025,92.44,42.59,42.0,42.94,41.5,42.31,-0.66
01042025,72.87,42.31,41.7,43.63,41.7,43.23,2.17
02042025,99.02,43.23,43.64,44.88,43.36,43.6,0.86
03042025,82.0,43.6,42.7,47.0,42.7,45.34,3.99
04042025,60.08,45.34,44.55,46.0,44.34,44.82,-1.15
07042025,75.18,44.82,41.06,44.31,41.01,43.38,-3.21
08042025,45.2,43.38,43.03,45.32,42.6,44.31,2.14
09042025,82.77,44.31,43.1,45.44,43.1,45.2,2.01
11042025,75.79,45.2,46.05,46.06,44.0,44.32,-1.95
15042025,90.96,44.32,45.51,45.75,44.1,45.14,1.85
16042025,47.39,45.14,46.24,54.16,46.23,54.16,19.98
17042025,40.49,54.16,58.16,59.8,50.0,50.49,-6.78
21042025,70.19,50.49,50.51,51.89,48.59,49.57,-1.82
22042025,78.65,49.57,50.3,50.85,48.2,48.73,-1.69
23042025,57.16,48.73,50.0,50.0,48.01,48.3,-0.88
24042025,69.95,48.3,49.05,49.06,48.1,48.57,0.56
25042025,60.82,48.57,48.56,48.56,43.13,46.18,-4.92
28042025,66.55,46.18,45.6,47.21,43.74,44.77,-3.05
29042025,92.27,44.77,45.0,46.46,44.78,45.58,1.81
30042025,92.85,45.58,45.8,45.8,43.82,43.93,-3.62
02052025,61.59,43.93,43.93,45.0,43.49,44.13,0.46
05052025,71.93,44.13,45.01,45.4,43.72,44.14,0.02
06052025,61.1,44.14,44.2,45.17,43.5,43.81,-0.75
07052025,92.56,43.81,44.54,45.3,43.21,44.58,1.76
08052025,56.53,44.58,44.9,46.5,43.2,43.42,-2.6
09052025,93.43,43.42,44.1,44.1,42.9,43.48,0.14
12052025,68.41,43.48,43.54,48.25,43.53,45.92,5.61
13052025,70.86,45.92,46.47,47.5,46.0,47.44,3.31
14052025,50.81,47.44,47.5,47.5,46.01,46.87,-1.2
15052025,76.37,46.87,47.65,48.0,46.63,46.95,0.17
16052025,50.59,46.95,46.95,47.97,46.51,47.39,0.94
19052025,68.29,47.39,48.0,49.0,47.13,47.45,0.13
20052025,81.36,47.45,48.37,48.37,47.05,47.3,-0.32
21052025,71.94,47.3,47.03,48.0,45.0,45.82,-3.13
22052025,78.92,45.82,46.04,46.46,44.85,45.4,-0.92
23052025,68.96,45.4,45.65,46.38,45.01,45.73,0.73
26052025,71.3,45.73,46.39,46.98,45.36,46.53,1.75
27052025,61.52,46.53,46.76,48.0,46.3,47.18,1.4
28052025,70.59,47.18,47.45,47.45,46.51,46.79,-0.83
29052025,56.77,46.79,46.49,47.03,46.49,46.67,-0.26
30052025,89.24,46.67,46.99,47.47,46.6,47.35,1.46
02062025,72.98,47.35,46.6,48.03,46.51,47.43,0.17
03062025,68.1,47.43,47.9,47.9,46.33,46.6,-1.75
04062025,80.7,46.6,46.67,46.89,46.15,46.38,-0.47
05062025,92.22,46.38,47.02,48.1,46.17,47.79,3.04
06062025,79.44,47.79,47.89,48.48,47.0,47.68,-0.23
09062025,64.67,47.68,48.48,48.48,46.42,47.35,-0.69
10062025,64.07,47.35,46.74,48.6,46.74,48.29,1.99
11062025,32.66,48.29,49.11,54.7,48.3,51.0,5.61
