Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,49.42,777.2,781.3,797.0,779.05,793.4,2.08
02012025,49.84,793.4,794.95,800.0,786.25,793.55,0.02
03012025,60.86,793.55,794.7,806.8,793.55,799.5,0.75
06012025,53.31,799.5,802.5,802.5,763.05,766.9,-4.08
07012025,34.03,766.9,767.1,780.85,762.1,769.2,0.3
08012025,42.65,769.2,775.05,811.6,765.05,808.45,5.1
09012025,35.52,808.45,795.8,834.0,785.85,815.75,0.9
10012025,38.17,815.75,814.5,841.0,781.25,819.6,0.47
13012025,38.31,819.6,815.95,839.9,770.6,825.45,0.71
14012025,18.43,825.45,813.05,837.5,802.7,831.9,0.78
15012025,28.57,831.9,833.0,836.3,810.45,821.55,-1.24
16012025,36.23,821.55,820.0,828.1,810.0,815.3,-0.76
17012025,38.9,815.3,813.35,819.6,801.0,805.3,-1.23
20012025,32.52,805.3,809.9,832.1,800.15,819.4,1.75
21012025,36.64,819.4,829.0,834.0,789.95,802.4,-2.07
22012025,32.03,802.4,778.25,785.0,754.3,758.3,-5.5
23012025,40.09,758.3,760.0,764.6,748.4,753.25,-0.67
24012025,41.07,753.25,757.15,758.4,727.0,729.85,-3.11
27012025,47.41,729.85,729.95,730.1,690.0,702.8,-3.71
28012025,42.87,702.8,711.0,711.0,685.05,701.95,-0.12
29012025,42.28,701.95,710.9,720.0,703.15,716.4,2.06
30012025,41.76,716.4,719.9,730.4,708.9,711.55,-0.68
31012025,49.56,711.55,722.2,734.0,712.55,726.2,2.06
03022025,34.97,706.05,700.0,733.9,699.6,725.45,2.75
04022025,33.7,725.45,727.4,745.05,723.65,737.5,1.66
05022025,46.96,737.5,740.0,748.7,731.05,742.9,0.73
06022025,90.76,742.9,742.9,750.7,728.0,736.25,-0.9
07022025,44.95,736.25,736.3,742.5,725.05,729.95,-0.86
10022025,43.38,729.95,720.0,734.95,706.4,712.55,-2.38
11022025,54.41,712.55,703.25,708.25,685.55,689.35,-3.26
12022025,50.07,689.35,689.35,689.35,660.15,672.35,-2.47
13022025,59.91,672.35,685.0,685.45,649.0,652.65,-2.93
14022025,54.36,652.65,660.0,662.45,631.0,637.55,-2.31
17022025,40.27,637.55,637.0,641.95,616.1,637.2,-0.05
18022025,51.18,637.2,639.95,655.0,608.0,627.45,-1.53
19022025,43.86,627.45,630.5,644.6,626.0,635.0,1.2
20022025,38.89,635.0,631.0,648.25,629.1,636.55,0.24
21022025,45.15,636.55,642.0,653.85,625.45,637.4,0.13
24022025,49.08,637.4,635.0,635.0,616.2,622.6,-2.32
25022025,43.69,622.6,626.5,647.3,622.25,636.7,2.26
27022025,51.84,636.7,631.1,636.7,611.2,619.25,-2.74
28022025,58.58,619.25,617.0,617.65,581.0,595.0,-3.92
03032025,43.07,595.0,604.95,606.45,569.0,598.15,0.53
04032025,45.1,598.15,589.2,624.5,585.9,620.15,3.68
05032025,63.53,620.15,623.3,649.0,621.15,646.35,4.22
06032025,60.11,646.35,648.2,669.95,648.0,667.75,3.31
