Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,23.64,286.75,287.5,314.0,285.35,310.9,8.42
02012025,46.54,310.9,312.5,315.0,303.3,304.95,-1.91
03012025,47.63,304.95,304.95,312.4,303.5,310.6,1.85
06012025,23.74,310.6,313.7,326.85,299.5,302.8,-2.51
07012025,26.0,302.8,306.0,316.0,306.0,312.45,3.19
08012025,37.91,312.45,313.3,314.95,302.55,304.8,-2.45
09012025,46.64,304.8,304.85,306.95,290.1,291.45,-4.38
10012025,54.5,291.45,290.0,290.55,279.0,280.65,-3.71
13012025,63.66,280.65,280.0,280.65,265.0,270.5,-3.62
14012025,46.36,270.5,270.75,275.3,262.25,266.6,-1.44
15012025,43.98,266.6,268.05,273.55,263.0,266.25,-0.13
16012025,43.18,266.25,271.0,276.0,268.45,272.95,2.52
17012025,51.0,272.95,274.0,277.7,270.0,275.7,1.01
20012025,20.06,275.7,280.95,304.6,275.8,298.85,8.4
21012025,20.49,298.85,301.5,308.0,286.15,288.85,-3.35
22012025,41.05,288.85,287.0,288.95,270.7,279.05,-3.39
23012025,46.82,279.05,282.6,283.15,275.6,278.4,-0.23
24012025,46.54,278.4,278.7,280.8,268.75,272.55,-2.1
27012025,46.89,272.55,270.1,270.1,255.05,264.3,-3.03
28012025,38.36,264.3,267.5,267.5,248.75,262.05,-0.85
29012025,35.68,262.05,262.0,273.2,262.0,271.55,3.63
30012025,33.78,271.55,275.35,279.0,271.0,272.0,0.17
31012025,33.83,272.0,276.1,279.9,272.55,276.95,1.82
03022025,49.83,273.1,269.0,271.05,261.6,262.6,-3.84
04022025,39.96,262.6,263.05,271.75,263.05,270.4,2.97
05022025,51.07,270.4,271.2,280.0,270.8,274.55,1.53
06022025,46.75,274.55,275.4,276.4,268.25,269.85,-1.71
07022025,50.13,269.85,271.3,271.3,262.8,264.1,-2.13
10022025,51.7,264.1,268.05,270.95,250.0,251.55,-4.75
11022025,56.18,251.55,252.1,252.1,234.55,238.5,-5.19
12022025,45.78,238.5,239.8,243.0,223.5,240.1,0.67
13022025,47.19,240.1,236.2,238.9,219.55,225.25,-6.18
14022025,43.22,225.25,228.65,228.65,211.25,213.8,-5.08
17022025,34.34,213.8,213.8,220.95,205.75,217.15,1.57
18022025,38.24,217.15,219.95,221.0,201.4,205.55,-5.34
19022025,45.9,205.55,206.0,218.95,205.6,216.75,5.45
20022025,55.46,216.75,218.0,225.25,214.8,222.75,2.77
21022025,53.3,222.75,223.9,228.5,217.0,218.4,-1.95
24022025,53.34,218.4,214.0,225.5,211.15,216.5,-0.87
25022025,56.0,216.5,217.4,219.3,208.05,211.25,-2.42
27022025,51.38,211.25,208.0,210.35,203.0,204.5,-3.2
28022025,50.53,204.5,204.0,205.6,194.0,195.85,-4.23
03032025,50.23,195.85,196.1,202.0,186.0,188.92,-3.54
04032025,44.56,188.92,188.0,196.77,186.61,192.19,1.73
05032025,24.36,192.19,195.05,216.86,195.05,212.84,10.74
06032025,50.59,212.84,215.9,220.0,211.75,213.14,0.14
07032025,39.27,213.14,211.75,231.38,211.75,227.63,6.8
10032025,37.63,227.63,228.35,237.59,215.31,216.83,-4.74
11032025,23.86,216.83,215.0,225.05,212.0,214.7,-0.98
12032025,38.63,214.7,215.8,225.0,215.8,221.05,2.96
13032025,59.4,221.05,222.79,223.41,213.7,216.94,-1.86
17032025,60.48,216.94,216.0,219.19,212.75,213.04,-1.8
18032025,52.07,213.04,218.0,219.6,214.0,216.0,1.39
19032025,44.21,216.0,217.1,239.99,217.1,229.71,6.35
20032025,44.81,229.71,231.36,232.99,222.52,228.11,-0.7
21032025,50.82,228.11,229.29,234.5,226.01,229.75,0.72
24032025,34.42,229.75,229.72,240.84,228.5,232.8,1.33
25032025,49.9,232.8,233.97,234.95,220.0,220.89,-5.12
26032025,51.4,220.89,222.4,226.26,211.05,212.37,-3.86
27032025,53.78,212.37,213.5,217.4,209.93,211.96,-0.19
28032025,52.43,211.96,214.3,220.26,203.1,205.0,-3.28
01042025,11.23,205.0,205.95,220.0,205.51,216.02,5.38
02042025,37.3,216.02,217.0,218.28,210.0,215.48,-0.25
03042025,36.79,215.48,214.51,225.0,213.5,221.1,2.61
04042025,48.77,221.1,221.35,222.45,209.0,210.26,-4.9
07042025,37.54,210.26,175.36,199.99,175.25,198.54,-5.57
08042025,33.62,198.54,202.0,215.0,200.0,204.53,3.02
09042025,28.18,204.53,201.8,209.0,200.31,205.91,0.67
11042025,41.3,205.91,209.0,214.58,209.0,212.6,3.25
15042025,44.5,212.6,215.5,218.6,212.9,217.8,2.45
16042025,49.02,217.8,218.9,221.7,216.66,217.48,-0.15
17042025,16.97,217.48,229.04,248.0,225.35,228.76,5.19
21042025,39.66,228.76,230.0,231.87,219.0,227.85,-0.4
22042025,44.04,227.85,229.95,237.0,229.95,234.14,2.76
23042025,43.03,234.14,237.7,240.0,228.11,238.17,1.72
24042025,46.3,238.17,238.1,243.33,235.99,236.51,-0.7
25042025,42.2,236.51,235.0,236.72,224.0,229.01,-3.17
28042025,43.63,229.01,228.99,229.93,224.51,227.58,-0.62
29042025,46.05,227.58,230.0,233.09,226.01,226.32,-0.55
30042025,54.72,226.32,227.0,228.28,217.76,220.01,-2.79
02052025,43.59,220.01,218.1,225.19,216.7,218.06,-0.89
05052025,32.16,218.06,216.21,249.9,216.21,230.88,5.88
06052025,43.76,230.88,231.0,239.7,226.0,228.4,-1.07
07052025,37.07,228.4,228.9,232.8,221.36,231.02,1.15
08052025,39.46,231.02,232.66,237.0,224.05,226.15,-2.11
09052025,38.51,226.15,225.0,228.3,220.01,224.38,-0.78
12052025,36.11,224.38,235.1,243.33,231.28,239.14,6.58
13052025,43.24,239.14,240.4,249.0,240.0,247.11,3.33
14052025,47.41,247.11,249.05,261.99,247.0,257.06,4.03
15052025,34.71,257.06,261.0,270.3,261.0,263.84,2.64
16052025,44.81,263.84,265.9,271.01,264.8,268.3,1.69
19052025,39.99,268.3,280.8,280.8,263.08,270.67,0.88
