Date,DelPerc
01102019,60.68
03102019,50.86
04102019,38.33
07102019,69.73
08102019,69.73
09102019,55.01
10102019,58.82
11102019,60.66
14102019,56.09
15102019,68.06
16102019,36.73
17102019,51.91
18102019,40.75
21102019,40.75
22102019,34.31
23102019,52.28
24102019,44.16
25102019,49.24
28102019,66.07
29102019,47.07
30102019,52.86
31102019,56.34
01112019,58.29
04112019,61.79
05112019,57.99
06112019,46.42
07112019,59.45
08112019,46.33
11112019,74.08
12112019,74.08
13112019,75.91
14112019,28.0
15112019,46.21
18112019,67.09
19112019,49.1
20112019,45.25
21112019,60.56
22112019,45.26
25112019,50.78
26112019,34.79
27112019,53.05
28112019,35.73
29112019,48.35
02122019,43.07
03122019,22.2
04122019,39.84
05122019,34.18
06122019,51.23
09122019,42.13
10122019,47.52
11122019,58.17
12122019,38.44
13122019,41.97
16122019,48.86
17122019,35.86
18122019,43.16
19122019,35.71
20122019,24.63
23122019,48.75
24122019,55.99
25122019,55.99
26122019,43.88
27122019,51.42
30122019,40.64
31122019,36.17
01012020,47.0
02012020,29.78
03012020,55.44
06012020,44.53
07012020,54.76
08012020,64.14
09012020,39.74
10012020,39.27
13012020,43.04
14012020,30.41
15012020,50.6
16012020,30.25
17012020,32.07
20012020,50.98
21012020,40.52
22012020,53.75
23012020,32.39
24012020,29.45
27012020,49.98
28012020,49.82
29012020,42.64
30012020,43.48
31012020,39.68
03022020,45.04
04022020,50.5
05022020,42.9
06022020,46.99
07022020,48.73
10022020,55.73
11022020,26.94
12022020,61.11
13022020,48.28
14022020,42.37
17022020,63.51
18022020,59.19
19022020,46.66
20022020,38.82
21022020,38.82
24022020,49.27
25022020,73.14
26022020,66.12
27022020,47.88
28022020,75.16
02032020,55.64
03032020,55.83
04032020,61.45
05032020,45.66
06032020,58.57
09032020,58.2
10032020,58.2
11032020,80.26
12032020,64.33
13032020,57.69
16032020,60.01
17032020,55.34
18032020,52.36
19032020,41.61
20032020,46.51
23032020,58.37
24032020,61.06
25032020,55.71
26032020,67.49
27032020,50.22
30032020,47.67
31032020,80.4
01042020,63.43
02042020,63.43
03042020,55.8
06042020,55.8
07042020,64.69
08042020,55.35
09042020,70.89
10042020,70.89
13042020,71.55
15042020,65.14
16042020,56.11
17042020,57.25
20042020,38.07
21042020,56.73
22042020,53.14
23042020,49.81
24042020,79.51
27042020,52.23
28042020,57.23
29042020,34.43
30042020,44.55
01052020,44.55
04052020,63.18
05052020,57.77
06052020,40.12
07052020,52.5
08052020,43.39
11052020,51.27
12052020,37.62
13052020,58.39
14052020,21.51
15052020,50.46
18052020,54.45
19052020,49.51
20052020,39.97
21052020,40.66
22052020,72.02
25052020,72.02
26052020,43.37
27052020,53.13
28052020,53.46
29052020,56.58
01062020,62.05
02062020,59.91
03062020,39.8
04062020,53.66
05062020,28.03
08062020,50.81
09062020,60.3
10062020,56.62
11062020,35.04
12062020,28.27
15062020,51.7
16062020,42.55
17062020,45.99
18062020,54.49
19062020,44.18
