Date,DelPerc
24112022,61.0
25112022,35.14
28112022,48.56
29112022,34.88
30112022,36.48
01122022,55.8
02122022,43.27
05122022,41.74
06122022,54.79
07122022,53.17
08122022,65.38
09122022,46.33
12122022,57.32
13122022,72.02
14122022,51.24
15122022,50.0
16122022,47.27
19122022,41.89
20122022,66.05
21122022,53.64
22122022,59.56
23122022,80.07
26122022,47.21
27122022,71.91
28122022,64.65
29122022,70.52
30122022,61.42
02012023,32.99
03012023,39.83
04012023,51.25
05012023,41.33
06012023,59.63
09012023,26.68
10012023,20.63
11012023,27.16
12012023,25.41
13012023,43.42
16012023,46.46
17012023,58.88
18012023,48.72
19012023,29.93
20012023,42.75
23012023,54.38
24012023,66.97
25012023,53.16
27012023,61.11
30012023,56.21
31012023,38.41
01022023,18.05
02022023,69.41
03022023,47.06
06022023,32.81
07022023,62.55
08022023,69.92
09022023,56.0
10022023,52.84
13022023,80.31
14022023,58.44
15022023,38.84
16022023,66.94
17022023,74.8
20022023,83.16
21022023,38.85
22022023,63.23
23022023,43.22
24022023,75.4
27022023,82.62
28022023,63.13
01032023,55.86
02032023,35.08
03032023,48.62
06032023,46.0
07032023,46.0
08032023,74.19
09032023,77.8
10032023,32.46
13032023,68.84
14032023,47.43
15032023,68.02
16032023,71.88
17032023,68.47
20032023,83.66
21032023,58.83
22032023,95.08
23032023,95.6
24032023,65.31
27032023,68.52
28032023,62.55
29032023,73.85
30032023,73.85
31032023,63.26
03042023,72.47
04042023,72.47
05042023,66.32
06042023,61.38
07042023,61.38
10042023,42.19
11042023,65.44
12042023,98.56
13042023,68.63
14042023,68.63
17042023,52.71
18042023,48.82
19042023,46.32
20042023,63.59
21042023,63.02
24042023,62.78
25042023,63.96
26042023,72.24
27042023,70.15
28042023,61.33
01052023,61.33
02052023,88.97
03052023,46.5
04052023,74.08
05052023,51.37
08052023,52.73
09052023,62.74
10052023,54.48
11052023,55.45
12052023,59.01
15052023,58.54
16052023,67.02
17052023,60.55
18052023,64.97
19052023,61.21
22052023,31.59
23052023,59.96
24052023,66.26
25052023,40.02
26052023,56.4
29052023,57.45
30052023,69.13
31052023,69.2
01062023,55.29
02062023,83.31
05062023,70.18
06062023,63.5
07062023,70.53
08062023,61.31
09062023,95.93
12062023,77.04
13062023,77.48
14062023,76.66
15062023,71.54
16062023,64.73
19062023,84.84
20062023,60.32
21062023,91.21
22062023,88.93
23062023,54.65
26062023,88.47
27062023,60.29
28062023,58.59
29062023,58.59
30062023,54.83
03072023,68.67
04072023,58.53
05072023,84.68
06072023,86.8
07072023,59.36
10072023,33.11
11072023,50.35
12072023,54.53
13072023,57.72
14072023,41.56
17072023,57.94
18072023,41.88
19072023,58.99
20072023,60.37
21072023,47.86
24072023,51.66
25072023,50.02
26072023,46.0
27072023,46.1
28072023,60.93
31072023,50.78
01082023,43.08
02082023,52.24
03082023,49.28
04082023,49.95
07082023,32.18
08082023,37.62
09082023,41.48
10082023,54.5
11082023,72.17
14082023,65.8
16082023,60.89
17082023,52.8
18082023,33.49
21082023,65.04
22082023,45.98
23082023,64.67
24082023,45.19
25082023,46.06
28082023,47.72
29082023,49.24
30082023,3.77
31082023,49.83
01092023,63.19
04092023,57.0
05092023,65.73
06092023,58.99
07092023,69.28
08092023,79.97
11092023,93.24
12092023,59.11
13092023,54.28
14092023,54.26
15092023,76.9
18092023,55.46
19092023,55.46
20092023,42.59
21092023,59.46
22092023,67.35
25092023,69.92
26092023,54.3
27092023,74.34
28092023,62.84
29092023,64.93
03102023,52.55
04102023,60.1
05102023,53.57
06102023,52.79
09102023,65.17
10102023,35.35
11102023,41.61
12102023,53.03
13102023,56.48
16102023,58.75
17102023,49.67
18102023,48.9
19102023,55.06
20102023,52.48
23102023,45.34
24102023,45.34
25102023,56.52
26102023,47.38
27102023,66.91
30102023,63.28
31102023,44.82
01112023,49.21
02112023,51.01
03112023,73.63
06112023,59.59
07112023,46.99
08112023,56.09
09112023,65.09
10112023,72.53
13112023,52.64
14112023,52.64
15112023,69.25
16112023,74.29
17112023,69.57
20112023,58.04
21112023,67.96
22112023,56.3
23112023,66.55
24112023,75.93
27112023,75.93
28112023,65.71
29112023,83.2
30112023,57.69
01122023,93.55
04122023,67.37
05122023,70.94
06122023,69.88
07122023,70.89
08122023,61.51
11122023,74.99
12122023,87.24
13122023,87.25
14122023,90.17
15122023,55.94
18122023,94.51
19122023,92.59
20122023,87.17
21122023,51.52
22122023,55.34
25122023,55.34
26122023,82.56
27122023,73.46
28122023,68.49
29122023,86.58
01012024,64.63
02012024,48.75
03012024,94.03
04012024,45.09
05012024,46.57
08012024,63.76
09012024,40.49
10012024,40.62
11012024,47.88
12012024,50.52
15012024,53.64
16012024,51.57
17012024,54.12
18012024,26.43
19012024,56.57
22012024,54.54
23012024,41.17
24012024,69.97
25012024,51.76
29012024,49.05
30012024,20.7
31012024,39.66
01022024,60.9
02022024,56.41
05022024,58.24
06022024,55.03
07022024,41.31
08022024,43.97
09022024,56.73
12022024,65.25
13022024,47.87
14022024,53.9
15022024,41.48
16022024,54.34
19022024,69.54
20022024,70.4
21022024,58.81
22022024,54.42
23022024,81.64
26022024,60.39
27022024,78.79
28022024,69.67
29022024,50.52
01032024,75.45
04032024,59.26
05032024,59.18
06032024,56.27
07032024,59.64
08032024,59.64
