Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,27.65,329.5,333.0,350.0,330.85,345.65,4.9
02012025,32.02,345.65,345.05,351.0,337.3,341.5,-1.2
03012025,11.37,341.5,341.3,371.35,341.3,348.85,2.15
06012025,15.78,348.85,349.05,374.65,348.05,354.4,1.59
07012025,37.63,354.4,356.5,362.9,351.3,354.45,0.01
08012025,23.34,354.45,352.0,353.9,335.85,339.6,-4.19
09012025,26.67,339.6,339.6,347.15,334.9,343.9,1.27
10012025,25.74,343.9,345.7,345.7,327.0,328.65,-4.43
13012025,66.48,328.65,328.65,328.65,315.2,320.9,-2.36
14012025,72.61,320.9,320.0,333.85,314.5,325.8,1.53
15012025,34.06,325.8,330.7,335.45,320.15,331.35,1.7
16012025,35.94,331.35,330.5,332.95,319.0,323.5,-2.37
17012025,42.57,323.5,322.8,324.0,314.9,318.05,-1.68
20012025,49.25,318.05,315.2,319.8,310.4,314.25,-1.19
21012025,28.7,314.25,314.25,323.9,310.65,312.15,-0.67
22012025,72.28,312.15,312.2,319.85,307.8,310.2,-0.62
23012025,49.81,310.2,311.25,315.25,303.3,305.3,-1.58
24012025,29.47,305.3,302.75,311.15,301.6,305.35,0.02
27012025,44.45,305.35,306.95,306.95,291.1,295.2,-3.32
28012025,53.54,295.2,295.95,296.95,283.7,286.95,-2.79
29012025,42.92,286.95,286.0,296.0,284.65,289.95,1.05
30012025,52.04,289.95,289.95,295.0,286.4,290.05,0.03
31012025,58.02,290.05,291.6,299.0,284.0,289.6,-0.16
03022025,23.45,315.75,305.0,346.0,292.9,326.8,3.5
04022025,47.97,326.8,321.0,326.4,312.0,319.05,-2.37
05022025,64.36,319.05,323.75,324.6,315.2,318.5,-0.17
06022025,29.0,318.5,319.0,331.4,311.65,317.85,-0.2
07022025,27.15,317.85,319.0,332.0,299.0,323.15,1.67
10022025,46.36,323.15,323.8,327.7,308.85,311.75,-3.53
11022025,80.46,311.75,313.0,315.6,302.0,303.8,-2.55
12022025,44.28,303.8,298.1,310.8,291.75,296.6,-2.37
13022025,39.33,296.6,296.7,307.75,292.3,296.5,-0.03
14022025,40.16,296.5,297.0,306.4,295.6,299.85,1.13
17022025,30.09,299.85,299.05,304.0,284.85,298.0,-0.62
18022025,29.42,298.0,301.0,314.65,294.55,307.05,3.04
19022025,55.5,307.05,299.75,311.0,299.7,308.85,0.59
20022025,84.03,308.85,309.0,321.1,304.0,317.45,2.78
21022025,35.5,317.45,316.8,333.6,316.75,326.35,2.8
