Date,DelPerc
01102019,47.43
03102019,28.26
04102019,72.19
07102019,16.31
08102019,16.31
09102019,22.95
10102019,39.83
11102019,28.68
14102019,69.83
15102019,29.06
16102019,12.19
17102019,10.88
18102019,29.98
21102019,29.98
22102019,21.52
23102019,55.9
24102019,18.83
25102019,35.82
28102019,14.05
29102019,30.14
30102019,48.73
31102019,25.75
01112019,19.49
04112019,19.88
05112019,37.51
06112019,16.71
07112019,30.15
08112019,9.12
11112019,25.5
12112019,25.5
13112019,25.27
14112019,24.47
15112019,56.58
18112019,11.04
19112019,14.7
20112019,9.6
21112019,21.37
22112019,15.65
25112019,20.36
26112019,14.02
27112019,45.82
28112019,14.06
29112019,46.2
02122019,26.07
03122019,20.91
04122019,19.55
05122019,12.74
06122019,7.27
09122019,7.61
10122019,15.77
11122019,32.71
12122019,20.62
13122019,18.79
16122019,34.43
17122019,18.52
18122019,26.74
19122019,24.95
20122019,23.49
23122019,22.55
24122019,24.29
25122019,24.29
26122019,25.76
27122019,26.97
30122019,23.74
31122019,11.9
01012020,23.19
02012020,27.46
03012020,32.38
06012020,26.4
07012020,5.12
08012020,14.37
09012020,19.79
10012020,20.51
13012020,27.68
14012020,37.72
15012020,23.47
16012020,9.72
17012020,20.1
20012020,13.54
21012020,17.39
22012020,14.65
23012020,15.11
24012020,29.86
27012020,19.25
28012020,25.42
29012020,12.88
30012020,15.64
31012020,49.75
03022020,32.91
04022020,18.89
05022020,24.91
06022020,23.06
07022020,25.69
10022020,19.4
11022020,8.74
12022020,16.9
13022020,9.75
14022020,21.68
17022020,44.63
18022020,13.19
19022020,21.72
20022020,11.99
21022020,11.99
24022020,10.47
25022020,31.62
26022020,42.75
27022020,29.28
28022020,44.66
02032020,23.97
03032020,28.36
04032020,19.82
05032020,16.88
06032020,27.8
09032020,70.65
10032020,70.65
11032020,36.79
12032020,24.03
13032020,15.8
16032020,41.28
17032020,64.39
18032020,45.58
19032020,67.98
20032020,70.88
23032020,89.3
24032020,49.94
25032020,18.66
26032020,44.7
27032020,38.84
30032020,78.9
31032020,63.73
01042020,89.7
02042020,89.7
03042020,22.38
06042020,22.38
07042020,32.72
08042020,30.37
09042020,26.16
10042020,26.16
13042020,58.66
15042020,49.99
16042020,21.02
17042020,34.23
20042020,42.94
21042020,48.88
22042020,60.82
23042020,66.92
24042020,50.97
27042020,44.48
28042020,41.41
29042020,49.6
30042020,54.91
01052020,54.91
04052020,69.64
05052020,32.94
06052020,54.54
07052020,73.73
08052020,58.61
11052020,16.59
12052020,68.92
13052020,19.63
14052020,6.73
15052020,45.47
18052020,14.18
19052020,4.69
20052020,14.36
21052020,16.72
22052020,55.7
25052020,55.7
26052020,23.43
27052020,20.47
28052020,10.46
29052020,28.73
01062020,59.23
02062020,27.4
03062020,70.99
04062020,68.17
05062020,65.91
08062020,66.25
09062020,57.35
10062020,48.08
11062020,81.16
12062020,35.23
15062020,39.76
16062020,40.59
17062020,66.46
18062020,46.11
19062020,81.74
22062020,57.78
23062020,60.59
24062020,54.94
25062020,45.95
26062020,51.65
29062020,33.76
30062020,36.75
01072020,24.64
02072020,29.16
03072020,36.39
06072020,13.1
07072020,31.47
08072020,33.45
09072020,27.0
10072020,30.09
13072020,18.17
14072020,25.62
15072020,22.77
16072020,34.21
17072020,9.43
20072020,18.36
21072020,25.36
22072020,13.01
23072020,26.68
24072020,40.92
27072020,33.88
28072020,19.13
29072020,22.01
30072020,27.43
31072020,59.83
03082020,7.45
04082020,48.36
05082020,16.01
06082020,7.49
07082020,27.2
10082020,45.95
11082020,24.91
12082020,22.52
13082020,11.16
14082020,19.35
17082020,28.69
18082020,27.73
19082020,14.1
20082020,21.6
21082020,17.69
24082020,29.16
25082020,38.92
26082020,27.39
27082020,26.19
28082020,21.01
31082020,34.28
01092020,29.86
02092020,29.03
03092020,21.64
04092020,37.43
07092020,22.81
08092020,29.27
09092020,18.77
10092020,21.59
11092020,28.15
14092020,40.93
15092020,18.3
16092020,9.95
17092020,13.76
18092020,19.41
21092020,13.36
22092020,16.56
23092020,15.85
24092020,24.83
25092020,24.09
28092020,10.92
29092020,15.9
30092020,19.2
01102020,31.39
05102020,43.41
06102020,42.85
07102020,25.57
08102020,12.69
09102020,20.04
12102020,17.74
13102020,37.42
14102020,58.44
15102020,38.81
16102020,39.36
19102020,13.53
20102020,28.45
21102020,23.06
22102020,23.3
23102020,46.59
26102020,66.74
27102020,25.06
28102020,52.28
29102020,43.78
30102020,63.5
02112020,22.22
03112020,15.86
04112020,50.69
05112020,37.25
06112020,16.19
09112020,27.81
10112020,32.09
11112020,20.75
12112020,49.68
13112020,17.44
16112020,7.54
17112020,42.57
18112020,44.0
19112020,45.87
20112020,65.5
23112020,82.22
24112020,36.17
25112020,57.72
26112020,57.86
27112020,56.76
30112020,56.76
01122020,46.93
02122020,43.6
03122020,43.27
