Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,94.24,85.63,85.51,86.0,85.5,85.92,0.34
02012025,80.48,85.92,86.08,86.99,86.08,86.83,1.06
03012025,89.74,86.83,87.41,88.0,87.12,87.96,1.3
06012025,55.79,87.96,87.99,88.09,87.0,88.03,0.08
07012025,82.7,88.03,88.43,89.28,88.34,88.99,1.09
08012025,80.63,88.99,88.99,89.45,88.39,89.19,0.22
09012025,65.57,89.19,88.38,89.56,88.38,89.35,0.18
10012025,76.17,89.35,89.4,89.75,89.25,89.38,0.03
13012025,85.86,89.38,89.41,90.08,89.1,89.11,-0.3
14012025,85.62,89.11,89.46,89.46,87.95,88.06,-1.18
15012025,58.22,88.06,88.68,89.32,88.13,89.17,1.26
16012025,94.72,89.17,90.11,91.1,90.11,90.96,2.01
17012025,92.55,90.96,93.7,93.7,89.42,89.58,-1.52
20012025,80.47,89.58,89.59,90.4,89.22,90.25,0.75
21012025,88.42,90.25,90.74,90.75,89.73,89.79,-0.51
22012025,92.9,89.79,90.05,90.9,90.05,90.6,0.9
23012025,60.71,90.6,90.48,91.54,89.66,90.01,-0.65
24012025,82.82,90.01,90.74,90.95,90.23,90.5,0.54
27012025,69.46,90.5,89.97,90.15,88.1,89.46,-1.15
28012025,56.62,89.46,89.27,89.5,88.72,89.25,-0.23
29012025,62.39,89.25,89.35,90.4,89.35,89.9,0.73
30012025,86.92,89.9,90.13,92.88,90.12,91.41,1.68
31012025,80.3,91.41,92.49,92.79,91.94,92.4,1.08
03022025,95.95,92.5,92.88,92.88,91.55,92.6,0.11
04022025,86.41,92.6,93.24,93.24,92.78,92.96,0.39
05022025,68.98,92.96,93.5,95.25,93.5,95.13,2.33
06022025,65.92,95.13,95.08,95.5,93.51,93.83,-1.37
07022025,78.42,93.83,94.68,94.95,94.01,94.37,0.58
10022025,96.17,94.37,94.47,95.2,93.05,94.8,0.46
11022025,80.88,94.8,94.57,94.57,93.22,93.63,-1.23
12022025,57.6,93.63,93.65,94.0,93.03,93.29,-0.36
13022025,64.01,93.29,94.49,95.23,94.49,94.68,1.49
14022025,77.83,94.68,94.71,96.86,94.71,96.65,2.08
17022025,56.67,96.65,95.17,96.1,94.26,94.95,-1.76
18022025,81.5,94.95,94.96,95.57,94.8,95.16,0.22
19022025,67.87,95.16,96.08,96.74,95.2,96.59,1.5
20022025,89.13,96.59,96.59,96.89,96.01,96.7,0.11
21022025,73.61,96.7,96.41,96.6,95.95,96.05,-0.67
24022025,62.55,96.05,96.05,96.83,95.01,95.48,-0.59
25022025,98.56,95.48,95.66,95.66,94.56,95.04,-0.46
27022025,71.29,95.04,94.95,94.95,92.65,93.84,-1.26
28022025,79.36,93.84,92.91,93.33,92.29,92.94,-0.96
03032025,64.59,92.94,92.89,93.5,92.5,93.4,0.49
04032025,38.41,93.4,94.47,94.98,93.5,94.8,1.5
05032025,80.48,94.8,94.8,95.67,94.55,95.63,0.88
06032025,90.64,95.63,95.64,96.69,95.25,95.97,0.36
07032025,99.64,95.97,95.99,96.5,95.98,96.28,0.32
10032025,69.23,96.28,96.24,96.49,95.46,96.09,-0.2
11032025,66.99,96.09,95.49,96.14,95.08,95.61,-0.5
12032025,62.42,95.61,96.97,97.35,96.5,97.24,1.7
13032025,92.64,97.24,97.31,97.86,96.95,97.53,0.3
17032025,88.56,97.53,98.05,100.05,98.05,98.89,1.39
18032025,76.63,98.89,98.9,99.85,98.9,99.39,0.51
19032025,70.47,99.39,99.77,99.77,98.5,98.62,-0.77
20032025,56.67,98.62,98.63,99.37,97.9,97.92,-0.71
21032025,66.0,97.92,97.79,97.8,96.25,96.55,-1.4
24032025,65.5,96.55,99.2,99.2,96.11,96.27,-0.29
25032025,71.46,96.27,96.6,96.86,95.05,96.57,0.31
26032025,89.84,96.57,97.78,98.33,97.05,97.99,1.47
27032025,85.45,97.99,98.01,98.6,98.0,98.27,0.29
28032025,78.91,98.27,98.92,101.28,98.92,100.02,1.78
01042025,90.74,100.02,103.05,103.05,98.71,99.07,-0.95
02042025,83.62,99.07,99.07,99.57,98.1,99.21,0.14
03042025,75.84,99.21,99.21,99.21,95.41,95.68,-3.56
04042025,88.31,95.68,95.0,95.0,91.15,92.2,-3.64
07042025,64.33,92.2,92.0,92.0,86.0,89.19,-3.26
08042025,74.55,89.19,89.0,89.78,88.84,89.71,0.58
09042025,74.51,89.71,89.52,90.48,88.62,90.2,0.55
11042025,88.28,90.2,92.01,92.99,91.53,92.64,2.71
15042025,76.0,92.64,94.47,95.68,93.33,94.59,2.1
16042025,72.91,94.59,95.86,96.6,94.18,96.12,1.62
17042025,81.83,96.12,98.0,98.0,94.34,94.64,-1.54
21042025,79.69,94.64,95.2,96.59,94.76,95.37,0.77
22042025,57.68,95.37,96.17,98.37,94.12,94.83,-0.57
23042025,75.81,94.83,95.0,96.09,94.79,95.87,1.1
24042025,84.42,95.87,96.99,97.12,96.17,96.59,0.75
25042025,77.08,96.59,97.07,99.5,96.55,97.13,0.56
28042025,67.27,97.13,96.53,96.53,94.76,95.42,-1.76
29042025,76.25,95.42,95.9,96.75,95.41,96.64,1.28
30042025,85.89,96.64,96.17,96.17,93.51,93.86,-2.88
02052025,82.99,93.86,94.33,94.64,93.6,93.97,0.12
05052025,87.76,93.97,92.0,95.28,91.63,93.97,0.0
06052025,84.96,93.97,94.43,96.77,94.43,95.64,1.78
07052025,68.14,95.64,95.63,95.63,94.81,95.23,-0.43
08052025,44.66,95.23,95.7,95.7,93.37,94.78,-0.47
09052025,81.57,94.78,94.99,96.34,94.37,95.65,0.92
12052025,73.2,95.65,98.52,98.52,93.21,93.92,-1.81
13052025,65.24,93.92,96.74,96.74,94.67,96.49,2.74
14052025,44.15,96.49,95.5,96.3,94.72,95.72,-0.8
15052025,65.5,95.72,94.37,95.0,93.1,93.67,-2.14
16052025,63.41,93.67,96.48,96.48,94.17,94.3,0.67
19052025,94.67,94.3,94.77,95.24,94.3,95.07,0.82
20052025,68.1,95.07,95.07,95.07,94.0,94.54,-0.56
21052025,83.88,94.54,96.54,96.54,95.48,96.43,2.0
22052025,71.29,96.43,97.43,97.75,96.22,96.59,0.17
23052025,68.36,96.59,96.59,97.16,96.02,96.09,-0.52
26052025,85.37,96.09,96.97,97.5,95.32,96.87,0.81
27052025,67.13,96.87,97.37,97.37,96.11,96.37,-0.52
28052025,77.1,96.37,96.85,97.18,96.51,96.89,0.54
29052025,87.88,96.89,96.87,97.0,96.0,96.98,0.09
30052025,72.59,96.98,96.9,96.9,95.87,96.81,-0.18
02062025,65.53,96.81,96.99,97.7,96.14,97.24,0.44
03062025,56.7,97.24,98.47,99.68,98.25,99.52,2.34
04062025,67.4,99.52,102.0,102.0,99.73,100.41,0.89
05062025,61.9,100.41,100.91,103.7,100.07,102.71,2.29
06062025,62.19,102.71,103.22,105.25,103.01,104.87,2.1
09062025,80.11,104.87,107.49,107.49,104.45,105.48,0.58
10062025,78.51,105.48,106.0,106.6,105.5,106.42,0.89
11062025,79.35,106.42,103.75,106.98,103.75,105.69,-0.69
12062025,79.99,105.69,106.21,106.34,103.47,104.98,-0.67
13062025,86.34,104.98,107.6,107.6,105.2,106.26,1.22
16062025,70.5,106.26,108.91,108.91,105.6,106.08,-0.17
17062025,78.62,106.08,106.08,106.85,105.39,106.67,0.56
18062025,91.36,106.67,108.3,109.01,107.57,108.97,2.16
19062025,80.25,108.97,109.8,109.8,106.16,106.74,-2.05
20062025,76.21,106.74,105.51,106.49,104.0,105.91,-0.78
23062025,88.45,105.91,105.0,106.61,105.0,106.45,0.51
24062025,69.56,106.45,106.0,106.0,104.64,105.36,-1.02
25062025,78.37,105.36,105.37,105.94,104.06,104.62,-0.7
26062025,92.51,104.62,105.53,107.6,105.16,106.93,2.21
27062025,72.86,106.93,107.46,107.46,103.8,104.7,-2.09
30062025,83.63,104.7,104.69,105.5,104.18,105.05,0.33
01072025,73.36,105.05,105.58,106.45,104.76,106.26,1.15
02072025,81.0,106.26,108.91,108.91,104.54,105.29,-0.91
03072025,69.96,105.29,105.81,107.74,105.42,106.95,1.58
04072025,79.26,106.95,107.48,107.49,106.0,106.43,-0.49
07072025,77.04,106.43,109.09,109.09,105.7,106.5,0.07
08072025,91.96,106.5,107.04,107.47,106.5,106.87,0.35
09072025,98.58,106.87,107.28,107.28,105.9,106.38,-0.46
10072025,68.58,106.38,106.69,106.69,105.7,106.28,-0.09
11072025,61.52,106.28,108.42,109.5,107.29,109.38,2.92
14072025,66.1,109.38,112.66,112.94,111.05,112.78,3.11
15072025,79.9,112.78,116.16,116.16,110.16,110.93,-1.64
16072025,87.35,110.93,110.37,110.6,109.7,110.44,-0.44
17072025,78.27,110.44,110.64,110.64,109.53,109.81,-0.57
18072025,84.3,109.81,110.06,112.0,110.05,111.89,1.89
21072025,77.94,111.89,115.25,115.25,111.0,112.05,0.14
22072025,77.14,112.05,114.85,114.85,112.49,112.9,0.76
23072025,88.87,112.9,114.02,115.2,113.56,114.81,1.69
24072025,71.06,114.81,114.5,115.01,113.09,113.62,-1.04
25072025,85.73,113.62,114.18,114.27,113.25,113.61,-0.01
28072025,74.48,113.61,115.0,117.02,111.12,111.92,-1.49
29072025,70.49,111.92,115.28,115.28,111.38,112.19,0.24
30072025,70.62,112.19,112.52,112.65,112.04,112.5,0.28
31072025,77.74,112.5,110.5,110.51,109.44,109.61,-2.57
01082025,64.54,109.61,109.61,109.61,108.01,108.4,-1.1
04082025,65.99,108.4,105.15,110.97,105.15,110.82,2.23
05082025,70.71,110.82,111.77,111.77,110.84,111.34,0.47
06082025,79.82,111.34,114.12,114.12,111.67,111.88,0.49
07082025,74.79,111.88,111.0,113.6,111.0,113.43,1.39
08082025,72.65,113.43,113.98,114.08,112.0,113.7,0.24
11082025,74.25,113.7,113.13,113.14,111.48,112.23,-1.29
12082025,74.62,112.23,112.47,112.48,111.75,111.93,-0.27
13082025,77.01,111.93,112.49,114.05,112.49,113.98,1.83
14082025,89.11,113.98,117.4,117.4,113.22,113.49,-0.43
18082025,84.3,113.49,113.0,113.44,112.45,112.81,-0.6
19082025,91.52,112.81,112.24,112.24,111.68,112.13,-0.6
20082025,72.17,112.13,110.17,110.17,109.32,109.64,-2.22
21082025,88.38,109.64,111.38,111.91,111.31,111.75,1.92
22082025,83.4,111.75,114.54,114.54,112.15,112.61,0.77
25082025,58.71,112.61,113.67,115.2,113.66,114.82,1.96
26082025,71.2,114.82,114.82,116.26,114.35,114.56,-0.23
28082025,82.49,114.56,115.7,115.7,114.84,115.58,0.89
29082025,68.13,115.58,115.97,116.5,115.55,116.32,0.64
01092025,69.71,116.32,120.46,124.2,120.0,121.51,4.46
02092025,78.47,121.51,122.37,122.38,120.3,120.9,-0.5
03092025,78.5,120.9,124.53,129.8,120.8,121.92,0.84
04092025,83.5,121.92,122.8,122.8,120.73,121.9,-0.02
05092025,80.9,121.9,121.63,122.43,121.63,122.19,0.24
08092025,66.73,122.19,122.85,124.15,121.4,123.37,0.97
09092025,75.05,123.37,126.45,126.45,123.26,123.91,0.44
