Date,DelPerc
02022021,78.56
03022021,53.26
04022021,84.26
05022021,68.73
08022021,99.18
09022021,58.41
10022021,67.66
11022021,81.92
12022021,53.11
15022021,71.18
16022021,79.63
17022021,63.15
18022021,72.31
19022021,83.72
22022021,72.2
23022021,77.91
24022021,62.74
25022021,60.24
26022021,64.81
01032021,63.05
02032021,52.31
03032021,59.05
04032021,71.46
05032021,68.34
08032021,74.3
09032021,66.19
10032021,76.14
11032021,76.14
12032021,76.94
15032021,74.82
16032021,67.82
17032021,61.32
18032021,70.23
19032021,67.51
22032021,69.17
23032021,82.28
24032021,83.94
25032021,70.41
26032021,72.86
29032021,72.86
30032021,86.56
31032021,77.46
01042021,75.08
02042021,75.08
05042021,82.22
06042021,95.83
07042021,80.84
08042021,100.0
09042021,63.61
12042021,88.06
13042021,64.44
14042021,64.44
15042021,81.94
16042021,78.96
19042021,83.9
20042021,79.16
21042021,79.16
22042021,79.98
23042021,76.55
26042021,63.15
27042021,71.22
28042021,81.25
29042021,78.65
30042021,82.53
03052021,76.19
04052021,74.29
05052021,77.17
06052021,65.57
07052021,78.08
10052021,75.26
11052021,83.26
12052021,80.58
13052021,80.58
14052021,76.16
17052021,56.13
18052021,72.03
19052021,72.79
20052021,71.51
21052021,69.84
24052021,64.35
25052021,59.67
26052021,74.32
27052021,76.76
28052021,66.4
31052021,68.0
01062021,79.07
02062021,63.95
03062021,70.75
04062021,70.3
07062021,70.8
08062021,59.56
09062021,62.74
10062021,65.63
11062021,62.92
14062021,65.04
15062021,57.83
16062021,69.52
17062021,75.46
18062021,71.26
21062021,70.0
22062021,60.76
23062021,71.98
24062021,67.89
25062021,66.55
28062021,67.65
29062021,68.7
30062021,62.35
01072021,55.78
02072021,69.92
05072021,57.86
06072021,91.79
07072021,82.33
08072021,61.51
09072021,75.34
12072021,50.78
13072021,74.27
14072021,49.87
15072021,60.88
16072021,69.64
19072021,62.14
20072021,69.72
21072021,69.72
22072021,63.73
23072021,53.88
26072021,69.36
27072021,62.86
28072021,58.17
29072021,61.32
30072021,41.38
02082021,62.88
03082021,77.94
04082021,44.48
05082021,49.55
06082021,35.99
09082021,57.14
10082021,63.05
11082021,50.17
12082021,42.27
13082021,52.11
16082021,39.04
17082021,54.55
18082021,35.72
19082021,35.72
20082021,36.56
23082021,32.21
24082021,41.32
25082021,59.74
26082021,59.01
27082021,35.94
30082021,43.03
31082021,31.29
01092021,42.22
02092021,57.51
03092021,46.41
06092021,51.79
07092021,42.1
08092021,52.77
09092021,47.77
10092021,47.77
13092021,61.97
14092021,58.51
15092021,61.69
16092021,64.11
17092021,66.49
20092021,51.37
21092021,56.85
22092021,60.91
23092021,62.68
24092021,44.46
27092021,62.0
28092021,67.65
29092021,55.49
30092021,62.65
01102021,51.39
04102021,61.9
05102021,52.88
06102021,47.71
07102021,54.19
08102021,59.35
11102021,41.29
12102021,53.77
13102021,36.63
14102021,56.96
15102021,56.96
18102021,63.18
19102021,55.08
20102021,60.92
21102021,49.96
22102021,59.07
25102021,56.13
26102021,53.27
27102021,62.34
28102021,59.22
29102021,51.76
01112021,54.5
02112021,66.23
03112021,61.97
04112021,61.97
05112021,78.69
08112021,63.93
09112021,54.91
10112021,72.92
11112021,58.16
12112021,68.72
15112021,67.89
16112021,56.81
17112021,42.9
18112021,58.58
19112021,58.58
22112021,82.11
23112021,53.64
24112021,74.87
25112021,59.75
26112021,62.65
29112021,62.1
30112021,81.81
01122021,56.76
02122021,58.54
03122021,58.84
06122021,56.52
07122021,55.16
08122021,46.95
09122021,41.47
10122021,47.32
13122021,52.84
14122021,64.21
15122021,63.0
16122021,56.49
17122021,44.63
20122021,73.44
21122021,53.68
22122021,45.82
23122021,56.39
24122021,60.67
27122021,57.55
28122021,49.93
29122021,74.6
30122021,70.37
31122021,56.81
03012022,62.82
04012022,58.67
05012022,59.74
06012022,55.97
07012022,55.21
10012022,51.72
11012022,65.8
12012022,60.23
13012022,62.81
14012022,66.07
17012022,70.03
18012022,61.41
19012022,67.52
20012022,58.84
21012022,63.89
24012022,59.59
25012022,61.22
27012022,49.2
28012022,55.34
31012022,62.42
01022022,59.74
02022022,58.41
03022022,72.37
04022022,65.9
07022022,66.09
08022022,58.15
09022022,70.39
10022022,71.42
11022022,59.94
14022022,66.17
15022022,35.51
16022022,65.82
17022022,53.86
18022022,51.72
21022022,61.68
22022022,58.54
23022022,71.16
24022022,53.67
25022022,71.01
28022022,71.12
01032022,71.12
02032022,61.67
03032022,55.65
04032022,61.47
07032022,62.11
08032022,53.56
09032022,53.56
10032022,36.45
11032022,68.27
14032022,69.28
15032022,71.55
