Date,DelPerc
15012024,55.35
16012024,69.82
17012024,57.34
18012024,62.19
19012024,67.41
22012024,74.55
23012024,62.46
24012024,86.14
25012024,70.86
29012024,73.92
30012024,51.66
31012024,68.56
01022024,54.39
02022024,74.06
05022024,73.19
06022024,78.96
07022024,71.68
08022024,60.01
09022024,65.17
12022024,63.08
13022024,62.49
14022024,65.94
15022024,39.91
16022024,50.76
19022024,65.25
20022024,79.14
21022024,56.78
22022024,51.17
23022024,65.02
26022024,90.14
27022024,57.5
28022024,54.04
29022024,63.19
01032024,67.76
04032024,51.94
05032024,78.96
06032024,34.57
07032024,56.09
08032024,56.09
11032024,67.95
12032024,62.68
13032024,71.62
14032024,50.37
15032024,73.92
18032024,73.93
19032024,72.45
20032024,73.56
21032024,65.44
22032024,50.87
25032024,50.87
26032024,75.66
27032024,79.45
28032024,58.33
29032024,58.33
01042024,76.92
02042024,88.72
03042024,81.95
04042024,71.91
05042024,60.94
08042024,82.25
09042024,67.23
10042024,74.29
11042024,74.29
12042024,66.58
15042024,72.64
16042024,39.99
17042024,39.99
18042024,32.46
19042024,55.51
22042024,62.19
23042024,66.55
24042024,63.01
25042024,71.34
26042024,72.37
29042024,61.35
30042024,66.63
01052024,66.63
02052024,73.76
17052024,100.0
20052024,100.0
21052024,78.63
22052024,100.0
17062025,52.77
18062025,71.27
19062025,74.93
20062025,61.66
23062025,26.69
24062025,52.57
25062025,72.27
26062025,99.6
27062025,100.0
30062025,87.47
01072025,92.54
02072025,75.66
03072025,65.43
04072025,39.9
07072025,26.8
08072025,79.6
09072025,83.89
10072025,65.27
11072025,58.04
13102025,78.5
14102025,79.36
15102025,66.64
16102025,34.41
17102025,84.89
20102025,76.57
21102025,79.22
22102025,79.22
23102025,47.77
24102025,80.39
27102025,66.37
28102025,82.99
29102025,66.81
30102025,87.85
31102025,72.35
03112025,32.49
04112025,72.96
05112025,72.96
06112025,78.79
07112025,65.01
10112025,74.33
11112025,73.14
12112025,66.54
13112025,57.02
14112025,71.21
17112025,86.42
18112025,66.62
19112025,74.45
20112025,78.51
21112025,90.95
24112025,77.04
25112025,78.75
26112025,54.53
27112025,51.76
28112025,85.49
01122025,91.47
02122025,69.78
03122025,69.54
04122025,66.13
05122025,61.12
08122025,75.66
09122025,59.33
10122025,51.21
11122025,81.15
12122025,81.36
15122025,86.13
16122025,70.1
17122025,85.43
18122025,74.36
19122025,78.81
22122025,91.9
23122025,73.86
24122025,57.24
25122025,57.24
26122025,84.5
29122025,75.73
30122025,79.34
31122025,40.38
01012026,89.0
02012026,85.43
05012026,63.18
06012026,82.88
07012026,88.78
08012026,77.91
09012026,65.57
12012026,71.08
13012026,43.85
14012026,61.88
15012026,61.88
16012026,51.31
19012026,61.49
20012026,53.6
21012026,89.62
22012026,57.47
23012026,59.09
27012026,55.31
28012026,68.04
29012026,63.21
30012026,56.14
02022026,79.17
03022026,84.82
04022026,97.95
05022026,95.84
06022026,42.58
09022026,76.21
10022026,44.33
