Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
25032025,76.76,402.9,417.9,417.9,395.0,405.45,0.63
26032025,85.76,405.45,400.1,405.0,392.7,395.5,-2.45
27032025,66.57,395.5,380.0,399.95,380.0,390.65,-1.23
28032025,75.15,390.65,395.0,399.0,389.4,396.1,1.4
01042025,59.06,396.1,399.0,409.3,394.15,401.9,1.46
02042025,69.64,401.9,406.05,414.7,395.05,408.95,1.75
03042025,51.03,408.95,390.65,415.0,390.65,406.3,-0.65
04042025,52.18,406.3,404.2,420.0,395.0,419.0,3.13
07042025,52.56,419.0,380.0,397.75,377.1,383.9,-8.38
08042025,46.01,383.9,383.9,421.0,381.35,410.35,6.89
09042025,44.39,410.35,422.0,422.0,397.55,408.65,-0.41
11042025,50.05,408.65,419.95,424.0,402.8,416.95,2.03
15042025,64.07,416.95,416.95,431.65,416.95,427.8,2.6
16042025,70.32,427.8,430.0,440.0,416.25,439.15,2.65
17042025,76.06,439.15,438.65,443.5,427.85,432.4,-1.54
21042025,63.56,432.4,432.0,444.9,427.05,436.25,0.89
22042025,55.53,436.25,439.95,475.0,429.55,466.95,7.04
23042025,85.62,466.95,488.95,488.95,460.6,471.7,1.02
24042025,60.1,471.7,501.0,518.8,489.0,501.15,6.24
25042025,53.11,501.15,507.5,510.0,482.55,486.65,-2.89
28042025,40.13,486.65,493.9,525.0,493.9,505.65,3.9
29042025,58.38,505.65,519.0,519.0,506.25,508.55,0.57
30042025,60.38,508.55,514.0,520.0,490.0,492.55,-3.15
02052025,47.0,492.55,499.8,506.7,490.0,500.6,1.63
05052025,69.13,500.6,513.9,529.0,501.0,524.9,4.85
06052025,60.38,524.9,524.8,530.0,501.0,505.65,-3.67
07052025,48.29,505.65,501.0,510.95,491.1,504.4,-0.25
08052025,53.17,504.4,504.0,512.65,463.05,484.3,-3.98
09052025,49.12,484.3,474.55,503.85,465.1,486.2,0.39
12052025,51.35,486.2,486.2,509.0,465.0,504.4,3.74
13052025,40.87,504.4,519.0,544.55,504.4,514.35,1.97
14052025,57.9,514.35,521.0,522.95,510.15,515.25,0.17
15052025,58.61,515.25,520.0,520.0,476.1,480.35,-6.77
16052025,49.86,480.35,476.0,484.55,468.0,473.45,-1.44
19052025,48.67,473.45,474.0,485.75,465.0,466.55,-1.46
20052025,34.55,466.55,458.0,482.7,458.0,473.75,1.54
21052025,59.22,473.75,466.45,484.95,455.0,457.65,-3.4
22052025,47.57,457.65,458.0,468.0,451.8,462.3,1.02
23052025,70.35,462.3,472.5,472.5,449.0,454.25,-1.74
26052025,52.36,454.25,443.5,465.9,443.5,462.55,1.83
27052025,57.14,462.55,467.0,490.0,453.25,486.6,5.2
28052025,45.21,486.6,485.0,505.45,476.6,502.0,3.16
29052025,60.5,502.0,504.45,504.8,487.6,491.55,-2.08
30052025,63.59,491.55,485.1,505.0,484.85,497.6,1.23
02062025,54.63,497.6,497.0,522.5,488.8,513.75,3.25
03062025,54.84,513.75,520.0,525.2,509.55,514.9,0.22
04062025,57.33,514.9,514.85,523.9,505.45,522.15,1.41
05062025,56.97,522.15,522.15,529.0,515.1,525.0,0.55
06062025,51.11,525.0,530.0,537.45,510.4,520.1,-0.93
09062025,59.31,520.1,527.9,537.0,508.05,532.85,2.45
10062025,74.52,532.85,538.0,539.05,527.0,535.85,0.56
11062025,61.3,535.85,539.8,550.0,532.25,544.05,1.53
12062025,65.21,544.05,540.0,550.0,530.6,539.1,-0.91
13062025,38.52,539.1,547.95,561.9,527.55,548.9,1.82
16062025,51.03,548.9,548.9,560.0,537.05,544.85,-0.74
17062025,47.47,544.85,547.0,556.8,531.0,535.5,-1.72
18062025,54.37,535.5,531.0,545.9,531.0,539.45,0.74
19062025,59.36,539.45,535.5,558.0,533.55,545.35,1.09
20062025,50.42,545.35,545.5,558.0,541.0,554.4,1.66
23062025,41.19,554.4,554.35,558.0,540.3,544.5,-1.79
24062025,69.26,544.5,544.8,553.45,535.55,538.45,-1.11
25062025,63.2,538.45,535.0,542.95,524.0,528.7,-1.81
26062025,66.15,528.7,526.0,538.2,509.05,522.1,-1.25
27062025,64.91,522.1,524.95,530.15,510.8,514.85,-1.39
30062025,51.44,514.85,514.3,530.0,514.0,526.7,2.3
01072025,54.99,526.7,530.0,535.65,507.0,516.55,-1.93
02072025,50.02,516.55,516.55,528.0,502.0,523.8,1.4
03072025,46.28,523.8,515.05,535.0,515.05,523.9,0.02
04072025,50.79,523.9,518.7,530.95,518.05,527.35,0.66
07072025,52.25,527.35,530.0,532.0,511.0,521.45,-1.12
08072025,55.12,521.45,518.85,529.2,515.0,520.3,-0.22
09072025,14.0,520.3,533.0,577.7,531.4,547.95,5.31
10072025,37.46,547.95,550.95,560.0,539.05,540.85,-1.3
