Date,DelPerc
01102019,86.33
03102019,79.09
04102019,86.43
07102019,98.49
08102019,98.49
09102019,78.48
10102019,89.79
11102019,73.53
14102019,85.31
15102019,93.31
16102019,83.4
17102019,83.21
18102019,92.76
21102019,92.76
22102019,83.95
23102019,93.39
24102019,61.77
25102019,58.06
28102019,61.9
29102019,51.29
30102019,62.1
31102019,65.1
01112019,62.65
04112019,54.33
05112019,54.97
06112019,54.49
07112019,62.48
08112019,66.88
11112019,57.02
12112019,57.02
13112019,65.95
14112019,73.4
15112019,64.1
18112019,72.17
19112019,60.58
20112019,78.66
21112019,72.05
22112019,85.78
25112019,84.72
26112019,71.9
27112019,57.02
28112019,72.48
29112019,68.88
02122019,54.9
03122019,71.74
04122019,53.84
05122019,77.67
06122019,79.68
09122019,61.2
10122019,85.08
11122019,86.61
12122019,87.75
13122019,69.04
16122019,85.66
17122019,74.98
18122019,69.9
19122019,78.27
20122019,71.18
23122019,69.74
24122019,75.55
25122019,75.55
26122019,76.76
27122019,55.57
30122019,69.32
31122019,82.32
01012020,81.52
02012020,66.63
03012020,77.89
06012020,79.57
07012020,58.33
08012020,43.64
09012020,62.11
10012020,60.28
13012020,58.02
14012020,66.69
15012020,69.98
16012020,75.53
17012020,85.2
20012020,83.6
21012020,87.55
22012020,58.08
23012020,75.18
24012020,64.15
27012020,68.35
28012020,40.54
29012020,64.48
30012020,64.32
31012020,65.93
03022020,69.94
04022020,60.13
05022020,51.19
06022020,60.67
07022020,52.25
10022020,57.99
11022020,57.45
12022020,58.48
13022020,62.76
14022020,45.0
17022020,69.62
18022020,55.43
19022020,70.31
20022020,67.76
21022020,67.76
24022020,49.16
25022020,53.22
26022020,43.54
27022020,43.88
28022020,64.32
02032020,65.98
03032020,66.55
04032020,56.99
05032020,53.94
06032020,62.77
09032020,64.88
10032020,64.88
11032020,50.48
12032020,55.82
13032020,67.64
16032020,61.83
17032020,56.76
18032020,81.82
19032020,49.39
20032020,66.53
23032020,62.61
24032020,42.05
25032020,64.37
26032020,58.35
27032020,60.25
30032020,55.81
31032020,74.42
01042020,55.71
02042020,55.71
03042020,56.66
06042020,56.66
07042020,58.65
08042020,48.17
09042020,53.27
10042020,53.27
13042020,34.07
15042020,43.01
16042020,53.41
17042020,42.7
20042020,43.72
21042020,66.57
22042020,54.75
23042020,50.05
24042020,71.96
27042020,63.24
28042020,54.85
29042020,57.54
30042020,50.4
01052020,50.4
04052020,45.04
05052020,64.89
06052020,48.86
07052020,82.03
08052020,69.96
11052020,55.78
12052020,46.22
13052020,56.78
14052020,49.16
15052020,43.62
18052020,39.06
19052020,46.94
20052020,54.4
21052020,58.46
22052020,43.11
25052020,43.11
26052020,50.87
27052020,52.3
28052020,61.86
29052020,48.33
01062020,58.83
02062020,67.13
03062020,47.87
04062020,60.83
05062020,47.0
08062020,60.73
09062020,57.42
10062020,52.95
11062020,42.73
12062020,28.76
15062020,41.82
16062020,46.26
17062020,27.15
18062020,34.15
19062020,44.57
22062020,45.84
23062020,43.48
24062020,43.37
25062020,34.83
26062020,32.9
29062020,34.5
30062020,34.93
01072020,53.43
02072020,62.87
03072020,52.88
06072020,52.17
07072020,51.8
08072020,63.04
09072020,44.87
10072020,42.76
13072020,57.28
14072020,52.68
15072020,43.83
16072020,54.88
17072020,51.0
20072020,47.58
21072020,49.82
22072020,41.81
23072020,54.99
24072020,46.54
27072020,54.57
28072020,48.05
29072020,52.3
30072020,46.04
31072020,49.98
03082020,52.09
04082020,59.98
05082020,48.31
06082020,65.38
07082020,75.23
10082020,44.55
11082020,57.69
12082020,50.81
13082020,59.83
14082020,54.39
17082020,54.93
18082020,55.88
19082020,60.52
20082020,66.18
21082020,66.32
24082020,54.07
25082020,58.88
26082020,66.95
27082020,73.91
28082020,60.16
31082020,70.24
01092020,62.63
02092020,57.46
03092020,57.24
04092020,65.42
07092020,58.0
08092020,68.49
09092020,64.39
10092020,56.98
11092020,62.96
14092020,57.87
15092020,45.4
16092020,34.65
17092020,49.4
18092020,56.72
21092020,67.39
22092020,63.76
23092020,45.86
24092020,56.14
25092020,37.92
28092020,46.99
29092020,58.72
30092020,30.02
01102020,43.94
05102020,46.44
06102020,46.67
07102020,38.56
08102020,52.47
09102020,45.02
12102020,55.09
13102020,31.94
14102020,42.21
15102020,46.76
16102020,26.2
19102020,34.75
20102020,39.05
21102020,40.27
22102020,37.17
23102020,26.85
26102020,31.2
27102020,35.69
28102020,36.79
29102020,25.65
30102020,32.42
02112020,32.81
03112020,26.87
04112020,33.22
05112020,39.34
06112020,39.75
09112020,51.55
10112020,42.26
11112020,43.85
12112020,50.02
13112020,49.63
16112020,71.12
17112020,52.17
18112020,57.12
19112020,41.83
20112020,52.22
23112020,31.26
24112020,42.43
25112020,46.35
26112020,48.65
27112020,55.51
30112020,55.51
01122020,53.16
02122020,50.54
03122020,49.82
04122020,53.71
07122020,48.02
08122020,44.3
09122020,53.73
10122020,54.45
11122020,59.55
14122020,62.02
15122020,53.68
16122020,44.84
17122020,47.0
18122020,55.34
21122020,63.35
22122020,45.51
23122020,60.07
24122020,52.6
25122020,52.6
28122020,31.88
29122020,43.09
30122020,36.08
31122020,47.94
01012021,44.87
04012021,66.3
05012021,43.41
06012021,46.2
07012021,47.66
08012021,45.28
11012021,57.75
12012021,56.99
13012021,58.57
14012021,59.86
15012021,47.8
18012021,50.95
19012021,53.52
20012021,57.29
21012021,55.06
22012021,54.58
25012021,48.17
27012021,35.08
28012021,27.28
29012021,49.41
01022021,46.39
02022021,41.99
03022021,49.43
04022021,61.35
05022021,62.04
08022021,60.15
09022021,60.47
10022021,39.06
11022021,51.84
12022021,40.85
15022021,63.07
16022021,50.56
17022021,57.41
18022021,62.3
19022021,27.22
22022021,44.78
23022021,48.3
24022021,53.55
25022021,37.1
26022021,51.44
01032021,50.13
02032021,58.7
03032021,49.62
04032021,30.15
05032021,26.7
08032021,34.45
09032021,40.9
10032021,39.31
11032021,39.31
12032021,53.53
15032021,39.05
16032021,52.62
17032021,57.92
18032021,27.38
19032021,35.6
22032021,24.37
23032021,28.46
24032021,53.6
25032021,39.55
26032021,42.07
29032021,42.07
30032021,23.73
31032021,28.89
01042021,46.12
02042021,46.12
05042021,46.8
06042021,55.71
07042021,57.51
08042021,47.14
09042021,32.82
12042021,48.02
13042021,35.14
14042021,35.14
15042021,47.87
16042021,45.97
19042021,52.92
20042021,30.53
21042021,30.53
22042021,57.72
23042021,63.66
26042021,36.65
27042021,52.66
28042021,29.36
29042021,45.09
30042021,48.87
03052021,44.89
04052021,48.66
05052021,54.46
06052021,59.96
07052021,44.46
10052021,54.58
11052021,45.62
12052021,51.39
13052021,51.39
14052021,51.74
17052021,38.0
18052021,47.32
19052021,43.2
20052021,45.25
21052021,43.54
24052021,53.14
25052021,47.58
26052021,48.91
27052021,56.59
28052021,54.77
31052021,48.9
01062021,47.6
02062021,43.53
03062021,46.12
04062021,52.15
07062021,45.89
08062021,41.88
09062021,44.58
10062021,49.64
