Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,37.9,2185.05,2195.0,2204.8,2146.05,2172.85,-0.56
02012025,51.64,2172.85,2175.0,2201.95,2134.0,2138.05,-1.6
03012025,52.78,2138.05,2140.0,2166.0,2110.05,2115.7,-1.05
06012025,49.53,2115.7,2123.1,2123.1,1989.85,1999.8,-5.48
07012025,47.14,1999.8,2018.25,2099.65,2010.05,2067.9,3.41
08012025,48.51,2067.9,2070.0,2115.0,2005.4,2063.5,-0.21
09012025,54.51,2063.5,2061.0,2133.0,2061.0,2092.3,1.4
10012025,58.52,2092.3,2092.0,2100.0,2065.05,2083.0,-0.44
13012025,60.81,2083.0,2043.0,2066.9,1940.0,1947.7,-6.5
14012025,59.96,1947.7,1948.0,2014.9,1948.0,1996.45,2.5
15012025,51.77,1996.45,1996.45,2009.9,1950.1,1957.85,-1.93
16012025,60.03,1957.85,1966.8,1994.0,1955.0,1960.7,0.15
17012025,52.64,1960.7,1980.3,1992.55,1950.0,1956.75,-0.2
20012025,59.76,1956.75,1950.0,1984.5,1945.0,1949.85,-0.35
21012025,49.15,1949.85,1960.0,1983.35,1911.5,1927.0,-1.17
22012025,59.91,1927.0,1937.1,1982.0,1910.0,1958.35,1.63
23012025,58.66,1958.35,1948.0,1979.75,1925.0,1934.6,-1.21
24012025,53.79,1934.6,1944.8,1956.8,1897.45,1909.15,-1.32
27012025,49.54,1909.15,1909.15,1909.15,1764.0,1890.55,-0.97
28012025,47.28,1890.55,1890.0,1988.8,1767.0,1980.15,4.74
29012025,44.95,1980.15,1968.35,2005.0,1911.0,1999.7,0.99
30012025,48.47,1999.7,2003.0,2003.0,1953.5,1996.75,-0.15
31012025,52.07,1996.75,1999.7,2037.75,1967.35,2031.05,1.72
03022025,42.25,2001.8,2001.8,2035.6,1961.0,2009.85,0.4
04022025,44.69,2009.85,1999.45,2056.0,1972.45,2001.5,-0.42
05022025,72.24,2001.5,2023.0,2045.75,1960.1,2003.5,0.1
06022025,59.14,2003.5,2006.0,2036.0,1986.9,2018.3,0.74
07022025,47.72,2018.3,2042.0,2044.0,2010.65,2019.3,0.05
10022025,39.99,2019.3,1950.0,2015.0,1950.0,2005.7,-0.67
11022025,53.73,2005.7,2014.0,2014.0,1951.3,1973.15,-1.62
12022025,55.35,1973.15,1970.0,2007.0,1887.3,1996.1,1.16
13022025,55.16,1996.1,1985.0,2031.0,1974.35,2003.1,0.35
14022025,44.11,2003.1,2014.4,2014.4,1880.1,1967.35,-1.78
17022025,49.36,1967.35,1937.85,1980.0,1918.05,1956.9,-0.53
18022025,64.58,1956.9,1957.0,2010.0,1957.0,1981.15,1.24
19022025,49.8,1981.15,1961.0,2029.0,1955.0,2016.45,1.78
20022025,64.38,2016.45,2016.0,2049.85,2004.1,2034.9,0.91
21022025,33.52,2034.9,2065.4,2065.4,1982.05,2003.65,-1.54
24022025,35.89,2003.65,2000.0,2000.0,1829.1,1915.3,-4.41
25022025,54.52,1915.3,1910.0,1926.95,1850.0,1898.85,-0.86
27022025,51.13,1898.85,1895.0,1901.6,1826.0,1853.3,-2.4
28022025,58.63,1853.3,1852.9,1875.7,1768.5,1847.75,-0.3
03032025,46.05,1847.75,1849.0,1850.6,1740.0,1765.3,-4.46
04032025,48.9,1765.3,1765.0,1774.0,1670.0,1679.95,-4.83
05032025,52.8,1679.95,1685.9,1800.0,1685.85,1781.05,6.02
06032025,77.99,1781.05,1798.0,1876.8,1784.55,1827.9,2.63
07032025,48.99,1827.9,1827.9,1885.0,1825.0,1867.35,2.16
10032025,45.75,1867.35,1861.0,1893.0,1752.2,1808.4,-3.16
11032025,57.86,1808.4,1750.0,1852.75,1750.0,1814.6,0.34
12032025,57.09,1814.6,1823.7,1839.9,1793.25,1810.05,-0.25
13032025,52.6,1810.05,1814.6,1827.95,1769.95,1779.45,-1.69
17032025,51.01,1779.45,1779.45,1794.5,1750.15,1759.55,-1.12
18032025,61.24,1759.55,1759.55,1858.0,1759.55,1846.45,4.94
19032025,58.59,1846.45,1846.45,1855.25,1812.0,1847.75,0.07
20032025,68.78,1847.75,1869.0,1880.0,1819.55,1834.95,-0.69
21032025,53.23,1834.95,1844.6,1925.0,1825.35,1837.5,0.14
24032025,48.17,1837.5,1845.0,1908.6,1845.0,1899.3,3.36
25032025,57.45,1899.3,1900.0,1909.5,1866.1,1883.0,-0.86
26032025,64.42,1883.0,1899.5,1900.0,1816.4,1823.3,-3.17
27032025,48.34,1823.3,1820.0,1884.95,1805.8,1866.3,2.36
28032025,57.87,1866.3,1873.3,1910.65,1863.75,1888.9,1.21
01042025,48.36,1888.9,1877.0,1880.0,1840.95,1848.0,-2.17
02042025,51.47,1848.0,1874.9,1925.0,1837.25,1915.75,3.67
03042025,49.99,1915.75,1851.0,1925.0,1851.0,1916.85,0.06
04042025,56.08,1916.85,1916.85,1919.4,1815.0,1825.45,-4.77
07042025,45.5,1825.45,1711.0,1767.0,1662.55,1729.75,-5.24
08042025,46.25,1729.75,1778.7,1799.0,1735.15,1764.05,1.98
09042025,43.4,1764.05,1721.0,1758.7,1701.0,1706.8,-3.25
11042025,40.53,1706.8,1765.0,1810.3,1739.8,1782.25,4.42
15042025,52.06,1782.25,1810.3,1863.0,1805.0,1847.1,3.64
16042025,48.71,1847.1,1845.5,1875.4,1830.0,1851.4,0.23
17042025,46.64,1851.4,1851.4,1888.0,1831.0,1877.3,1.4
21042025,51.14,1877.3,1877.3,1900.1,1849.9,1867.3,-0.53
22042025,47.04,1867.3,1883.7,1938.1,1861.4,1912.3,2.41
23042025,37.71,1912.3,1907.0,1942.7,1887.1,1925.6,0.7
24042025,50.25,1925.6,1934.8,1959.0,1905.6,1920.5,-0.26
25042025,43.66,1920.5,1920.0,1928.7,1809.9,1860.0,-3.15
28042025,42.09,1860.0,1877.7,1880.2,1835.0,1859.0,-0.05
29042025,51.66,1859.0,1877.0,1906.3,1821.4,1831.3,-1.49
30042025,59.1,1831.3,1848.0,1855.1,1789.1,1796.7,-1.89
02052025,49.7,1796.7,1805.0,1829.9,1766.0,1771.7,-1.39
05052025,46.22,1771.7,1785.0,1869.0,1761.7,1861.0,5.04
06052025,49.96,1861.0,1874.0,1874.0,1800.1,1811.7,-2.65
07052025,36.91,1811.7,1801.0,1879.0,1786.0,1861.0,2.72
08052025,17.47,1861.0,1994.4,2175.0,1961.0,2121.5,14.0
09052025,18.58,2121.5,2100.0,2269.0,2085.1,2191.4,3.29
12052025,25.99,2191.4,2240.0,2293.9,2222.2,2256.7,2.98
13052025,41.49,2256.7,2255.0,2373.8,2230.1,2361.1,4.63
14052025,40.48,2361.1,2361.1,2474.0,2332.4,2445.6,3.58
15052025,43.78,2445.6,2451.0,2474.0,2327.3,2444.2,-0.06
16052025,64.39,2444.2,2435.1,2435.1,2324.2,2356.3,-3.6
19052025,56.99,2356.3,2356.3,2425.5,2342.8,2382.4,1.11
20052025,44.32,2382.4,2404.0,2460.0,2341.6,2365.2,-0.72
21052025,50.97,2365.2,2365.2,2530.0,2357.7,2486.3,5.12
22052025,44.44,2486.3,2489.0,2548.5,2400.0,2447.1,-1.58
23052025,55.08,2447.1,2466.7,2466.7,2401.1,2410.7,-1.49
26052025,66.67,2410.7,2465.0,2465.0,2390.0,2399.6,-0.46
27052025,42.56,2399.6,2386.0,2430.5,2375.0,2404.9,0.22
28052025,50.46,2404.9,2412.0,2427.9,2345.1,2356.3,-2.02
29052025,57.64,2356.3,2360.6,2394.3,2351.4,2388.3,1.36
30052025,47.75,2388.3,2418.0,2580.0,2364.3,2468.9,3.37
