Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,36.29,700.1,710.6,733.15,707.0,720.25,2.88
02012025,53.8,720.25,735.0,735.0,705.15,727.4,0.99
03012025,17.28,727.4,732.0,733.75,712.95,720.35,-0.97
06012025,13.88,720.35,724.1,724.1,711.8,718.3,-0.28
07012025,20.38,718.3,720.2,721.85,705.4,716.0,-0.32
08012025,37.19,716.0,719.7,719.7,697.45,703.95,-1.68
09012025,24.53,703.95,720.0,720.0,687.25,693.0,-1.56
10012025,15.76,693.0,687.0,707.65,672.45,696.45,0.5
13012025,73.84,696.45,713.0,719.9,651.05,661.25,-5.05
14012025,13.77,661.25,670.0,673.95,656.4,665.95,0.71
15012025,15.08,665.95,675.95,686.75,665.0,666.95,0.15
16012025,12.62,666.95,670.4,683.4,669.7,676.1,1.37
17012025,44.29,676.1,679.4,686.9,647.7,655.85,-3.0
20012025,19.03,655.85,655.9,674.95,653.8,667.35,1.75
21012025,17.8,667.35,689.0,699.8,654.05,662.85,-0.67
22012025,13.91,662.85,666.3,666.3,655.0,658.7,-0.63
23012025,46.11,658.7,664.8,687.7,654.5,669.8,1.69
24012025,26.44,669.8,664.8,691.0,659.0,681.45,1.74
27012025,21.56,681.45,675.3,676.0,650.0,651.35,-4.42
28012025,34.19,651.35,668.85,668.85,645.0,649.15,-0.34
29012025,17.85,649.15,660.0,660.0,645.0,647.35,-0.28
30012025,37.08,647.35,667.0,667.0,646.7,647.75,0.06
31012025,42.71,647.75,658.0,660.0,644.0,645.15,-0.4
03022025,17.8,642.35,652.95,652.95,642.0,642.75,0.06
04022025,28.9,642.75,665.0,665.0,636.0,646.8,0.63
05022025,40.52,646.8,658.5,700.3,646.25,668.65,3.38
06022025,24.07,668.65,657.0,682.45,650.9,670.15,0.22
07022025,25.9,670.15,690.0,698.0,676.0,690.05,2.97
10022025,7.86,690.05,686.25,687.35,678.25,683.3,-0.98
11022025,28.02,683.3,693.0,693.0,670.05,677.95,-0.78
12022025,27.45,677.95,673.6,695.0,642.1,678.2,0.04
13022025,8.54,678.2,681.6,689.3,674.5,679.45,0.18
14022025,12.31,679.45,695.0,706.5,660.05,664.9,-2.14
17022025,10.13,664.9,666.9,676.9,653.0,657.85,-1.06
18022025,15.13,657.85,660.3,660.3,643.0,651.25,-1.0
19022025,25.44,651.25,652.95,675.0,638.0,644.3,-1.07
20022025,17.06,644.3,646.0,709.7,641.15,672.7,4.41
21022025,7.33,672.7,666.55,688.8,660.0,677.9,0.77
24022025,45.91,677.9,662.0,687.0,659.4,679.25,0.2
25022025,11.37,679.25,661.95,672.3,655.25,661.15,-2.66
27022025,88.43,661.15,664.0,664.0,648.0,655.95,-0.79
28022025,84.7,655.95,657.9,657.9,641.0,644.05,-1.81
03032025,36.13,644.05,644.05,647.0,623.55,633.2,-1.68
04032025,21.4,633.2,626.8,654.0,626.8,638.15,0.78
05032025,31.04,638.15,633.85,649.1,628.55,634.1,-0.63
06032025,46.33,634.1,631.3,636.0,617.25,629.35,-0.75
07032025,52.7,629.35,654.45,654.45,631.15,634.7,0.85
10032025,63.28,634.7,633.1,635.75,624.95,631.45,-0.51
11032025,68.93,631.45,626.65,652.5,625.5,641.35,1.57
12032025,13.61,641.35,630.55,654.4,628.05,647.2,0.91
13032025,42.87,647.2,639.05,654.9,638.55,646.05,-0.18
17032025,74.99,646.05,647.65,654.4,637.55,648.05,0.31
18032025,14.92,648.05,666.85,668.0,641.0,657.3,1.43
19032025,34.73,657.3,664.85,667.3,646.75,649.4,-1.2
20032025,44.5,649.4,647.7,662.5,642.65,645.8,-0.55
21032025,25.15,645.8,645.7,670.0,638.3,656.4,1.64
24032025,29.39,656.4,665.0,665.0,652.05,656.05,-0.05
25032025,62.92,656.05,657.3,657.95,647.8,650.45,-0.85
26032025,9.59,650.45,653.7,655.0,647.05,650.8,0.05
27032025,61.32,650.8,647.55,660.95,645.05,650.1,-0.11
28032025,41.97,650.1,653.35,653.35,623.3,632.8,-2.66
01042025,59.33,632.8,628.4,659.8,610.0,655.85,3.64
