Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
24022025,73.34,271.05,265.55,275.0,265.55,268.5,-0.94
25022025,77.79,268.5,265.95,272.5,261.95,264.25,-1.58
27022025,84.16,264.25,270.0,272.7,254.0,264.85,0.23
28022025,80.5,264.85,261.3,261.3,251.6,251.6,-5.0
03032025,79.49,251.6,246.0,251.4,239.05,239.3,-4.89
04032025,82.92,239.3,239.4,242.0,227.35,227.35,-4.99
05032025,58.34,227.35,222.95,238.7,219.0,235.5,3.58
06032025,52.86,235.5,237.3,247.25,232.05,245.85,4.39
07032025,79.47,245.85,246.9,250.85,237.1,243.85,-0.81
10032025,45.21,243.85,244.0,249.0,233.35,240.25,-1.48
11032025,62.67,240.25,232.5,252.0,231.6,245.95,2.37
12032025,75.89,245.95,247.8,258.2,246.0,252.25,2.56
13032025,73.79,252.25,254.0,254.0,248.55,251.95,-0.12
17032025,76.4,251.95,250.05,263.8,247.0,258.85,2.74
18032025,73.63,258.85,261.0,267.15,258.15,261.4,0.99
19032025,86.68,261.4,269.7,274.45,265.75,274.25,4.92
20032025,84.14,274.25,276.1,287.95,276.1,287.95,5.0
21032025,70.06,287.95,295.0,297.0,275.65,292.5,1.58
01042025,84.28,322.05,311.0,338.0,311.0,321.2,-0.26
02042025,69.49,321.2,326.9,328.5,318.25,321.2,0.0
03042025,84.26,321.2,327.0,330.0,315.0,327.2,1.87
04042025,86.06,327.2,327.2,330.8,311.0,322.25,-1.51
07042025,100.0,322.25,307.0,307.0,306.15,306.15,-5.0
08042025,77.81,306.15,298.95,304.4,293.1,297.6,-2.79
09042025,82.59,297.6,297.6,308.2,292.4,300.15,0.86
11042025,81.9,300.15,300.0,315.15,298.05,314.85,4.9
15042025,71.83,314.85,321.7,323.6,314.1,316.8,0.62
16042025,88.17,316.8,316.8,322.0,312.2,314.05,-0.87
17042025,68.9,314.05,311.0,329.75,311.0,328.05,4.46
21042025,67.5,328.05,328.05,342.45,320.0,322.25,-1.77
22042025,75.79,322.25,321.15,329.0,315.1,317.75,-1.4
23042025,55.78,317.75,319.6,321.45,305.0,311.25,-2.05
24042025,73.95,311.25,311.2,314.55,308.1,310.55,-0.22
25042025,79.53,310.55,310.65,310.65,295.05,296.0,-4.69
28042025,76.28,296.0,297.0,300.1,287.65,290.65,-1.81
29042025,58.75,290.65,294.3,294.95,288.0,288.25,-0.83
30042025,76.47,288.25,281.6,293.25,280.9,290.1,0.64
02052025,62.86,290.1,284.0,290.55,279.1,283.5,-2.28
05052025,61.91,283.5,286.0,290.1,283.5,285.1,0.56
06052025,82.01,285.1,289.0,289.0,282.0,283.1,-0.7
07052025,83.03,283.1,282.2,292.75,282.2,289.55,2.28
08052025,65.92,289.55,290.45,290.5,275.5,281.25,-2.87
09052025,49.74,281.25,271.0,279.6,270.4,277.45,-1.35
12052025,90.3,277.45,279.0,291.3,279.0,289.85,4.47
13052025,74.34,289.85,289.75,290.9,278.0,279.85,-3.45
14052025,78.72,279.85,281.1,287.0,277.95,281.65,0.64
15052025,73.14,281.65,283.6,285.8,281.2,282.05,0.14
16052025,80.81,282.05,280.0,284.0,278.55,280.6,-0.51
19052025,65.85,280.6,279.7,283.6,279.7,280.65,0.02
20052025,56.05,280.65,278.5,284.0,273.05,277.9,-0.98
21052025,74.71,277.9,283.95,284.0,272.0,280.6,0.97
22052025,50.83,280.6,277.0,282.4,275.95,279.65,-0.34
23052025,71.41,279.65,277.0,285.0,276.0,280.4,0.27
26052025,71.61,280.4,282.95,285.75,279.55,283.2,1.0
27052025,76.61,283.2,283.3,286.0,280.45,284.25,0.37
28052025,70.15,284.25,284.0,287.1,276.25,279.2,-1.78
29052025,78.04,279.2,281.45,293.15,278.5,293.15,5.0
30052025,57.0,293.15,301.0,303.9,289.55,291.95,-0.41
