Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,39.76,543.0,544.55,571.6,541.1,563.9,3.85
02012025,43.27,563.9,567.45,571.9,553.0,559.0,-0.87
03012025,42.97,559.0,555.25,565.8,554.75,556.5,-0.45
06012025,45.12,556.5,557.1,559.25,515.5,517.7,-6.97
07012025,42.75,517.7,522.8,532.5,512.95,523.35,1.09
08012025,41.0,523.35,528.0,537.85,496.0,502.0,-4.08
09012025,46.99,502.0,503.0,503.8,480.9,484.2,-3.55
10012025,43.13,484.2,483.75,487.8,457.95,466.45,-3.67
13012025,42.59,466.45,459.0,463.95,430.5,433.4,-7.09
14012025,52.54,433.4,434.8,456.85,427.25,446.85,3.1
15012025,40.72,446.85,449.0,465.0,444.15,449.9,0.68
16012025,36.55,449.9,454.95,479.6,454.95,474.8,5.53
17012025,40.0,474.8,473.65,481.5,459.2,479.5,0.99
20012025,43.17,479.5,482.65,498.0,473.8,494.2,3.07
21012025,37.06,494.2,493.7,499.05,470.25,478.9,-3.1
22012025,35.63,478.9,478.9,478.9,452.0,465.45,-2.81
23012025,33.73,465.45,468.4,472.0,455.0,458.65,-1.46
24012025,40.31,458.65,460.75,460.75,437.1,439.75,-4.12
27012025,37.38,439.75,430.0,430.0,407.8,415.2,-5.58
28012025,35.78,415.2,422.05,422.05,373.1,397.4,-4.29
29012025,18.06,397.4,399.35,475.0,398.95,457.35,15.09
30012025,31.32,457.35,456.0,456.75,420.55,424.65,-7.15
31012025,25.03,424.65,426.0,439.7,426.0,436.2,2.72
03022025,33.23,433.9,414.5,427.0,413.15,420.85,-3.01
04022025,34.08,420.85,432.5,453.8,425.1,451.45,7.27
05022025,25.95,451.45,450.0,471.0,448.25,466.95,3.43
06022025,20.11,466.95,487.0,489.0,467.55,481.85,3.19
07022025,21.06,481.85,480.0,490.4,396.7,479.45,-0.5
10022025,33.52,479.45,479.45,484.7,452.65,461.3,-3.79
11022025,36.71,461.3,461.55,465.0,431.0,434.7,-5.77
12022025,25.37,434.7,436.75,452.0,406.0,447.7,2.99
13022025,22.69,447.7,457.0,464.45,435.15,437.75,-2.22
14022025,33.1,437.75,440.8,440.8,407.15,423.25,-3.31
17022025,23.26,423.25,415.05,424.35,404.2,407.5,-3.72
18022025,28.91,407.5,411.2,412.65,376.55,389.55,-4.4
19022025,23.34,389.55,386.8,429.25,380.2,419.6,7.71
20022025,26.96,419.6,417.5,426.75,408.95,419.1,-0.12
21022025,26.73,419.1,421.3,439.0,415.45,417.25,-0.44
24022025,26.72,417.25,415.0,424.9,402.55,412.65,-1.1
25022025,27.97,412.65,416.75,419.7,407.45,409.6,-0.74
27022025,35.41,409.6,414.15,415.35,390.05,392.55,-4.16
28022025,27.62,392.55,381.8,398.55,374.5,392.05,-0.13
03032025,26.52,392.05,397.8,397.8,361.55,374.8,-4.4
04032025,36.96,374.8,371.5,404.0,368.0,396.55,5.8
