Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
21042025,67.39,366.9,380.0,390.9,364.5,382.75,4.32
22042025,50.79,382.75,398.0,421.0,380.4,395.45,3.32
23042025,37.84,395.45,393.0,409.35,373.5,380.9,-3.68
24042025,45.57,380.9,376.5,393.45,369.95,377.45,-0.91
25042025,34.96,377.45,389.85,389.85,355.0,362.95,-3.84
28042025,33.01,362.95,370.0,370.0,337.0,347.7,-4.2
29042025,38.32,347.7,338.05,376.8,335.55,351.35,1.05
30042025,26.45,351.35,351.0,358.35,342.5,347.35,-1.14
02052025,36.69,347.35,338.35,367.45,338.35,346.2,-0.33
05052025,35.51,346.2,340.25,363.15,335.05,341.0,-1.5
06052025,26.16,341.0,369.0,369.0,334.4,336.6,-1.29
07052025,26.31,336.6,350.0,350.0,320.2,330.7,-1.75
08052025,31.4,330.7,334.2,356.0,326.05,342.8,3.66
09052025,32.57,342.8,332.95,340.0,327.25,335.15,-2.23
12052025,47.91,335.15,339.35,354.95,332.05,349.55,4.3
13052025,75.2,349.55,350.2,360.0,340.0,348.35,-0.34
14052025,59.83,348.35,360.0,363.0,344.8,349.85,0.43
15052025,65.97,349.85,351.25,352.8,340.0,347.0,-0.81
16052025,70.32,347.0,346.05,376.55,343.95,364.5,5.04
19052025,49.35,364.5,369.9,369.9,347.75,353.3,-3.07
20052025,61.0,353.3,368.4,375.95,350.2,358.75,1.54
21052025,73.71,358.75,369.3,373.0,352.0,354.65,-1.14
22052025,47.83,354.65,363.95,370.0,349.05,368.95,4.03
23052025,77.35,368.95,366.05,388.35,362.0,369.8,0.23
26052025,49.98,369.8,385.7,403.4,370.05,385.25,4.18
27052025,62.39,385.25,386.0,390.8,373.0,386.1,0.22
28052025,52.67,386.1,384.6,389.0,379.0,381.85,-1.1
29052025,48.28,381.85,379.05,379.05,363.0,364.65,-4.5
30052025,50.09,364.65,382.8,382.85,347.0,350.05,-4.0
02062025,33.8,350.05,352.4,361.1,343.05,347.35,-0.77
03062025,50.84,347.35,353.9,362.35,335.0,342.4,-1.43
04062025,54.62,342.4,340.0,353.0,325.25,331.2,-3.27
05062025,85.16,331.2,344.85,346.7,324.0,342.0,3.26
06062025,45.12,342.0,348.5,352.2,331.6,350.0,2.34
09062025,39.31,350.0,350.0,354.95,331.0,337.2,-3.66
10062025,50.88,337.2,348.8,348.8,334.8,339.05,0.55
11062025,72.26,339.05,338.2,344.95,328.05,335.0,-1.19
12062025,87.55,335.0,328.15,344.8,325.1,333.4,-0.48
13062025,42.07,333.4,332.3,341.9,323.0,332.8,-0.18
16062025,43.39,332.8,336.85,336.85,322.4,331.2,-0.48
17062025,82.29,331.2,330.0,341.3,328.75,335.9,1.42
18062025,54.99,335.9,337.05,337.75,314.05,318.9,-5.06
19062025,26.41,318.9,325.05,382.65,319.5,349.55,9.61
20062025,28.2,349.55,346.0,394.0,346.0,374.4,7.11
23062025,33.14,374.4,382.0,390.0,366.25,375.95,0.41
24062025,40.28,375.95,377.0,381.95,364.1,372.35,-0.96
25062025,50.23,372.35,377.1,390.0,361.1,369.15,-0.86
26062025,45.25,369.15,374.7,388.0,365.05,376.7,2.05
27062025,41.84,376.7,375.05,385.85,370.65,380.4,0.98
30062025,58.2,380.4,386.1,392.2,381.0,384.55,1.09
01072025,42.63,384.55,388.0,418.8,387.5,395.05,2.73
02072025,57.04,395.05,398.1,412.9,388.55,409.05,3.54
03072025,42.82,409.05,409.45,411.45,392.6,405.95,-0.76
04072025,45.23,405.95,400.15,409.5,388.0,390.9,-3.71
07072025,38.52,390.9,383.0,403.0,382.5,401.5,2.71
08072025,48.11,401.5,404.7,405.0,382.0,383.6,-4.46
09072025,44.45,383.6,380.3,392.6,371.05,388.45,1.26
10072025,54.57,388.45,392.85,402.0,386.1,399.25,2.78
11072025,52.03,399.25,401.5,413.0,394.25,401.3,0.51
14072025,39.76,401.3,398.0,407.75,391.15,397.5,-0.95
15072025,32.88,397.5,400.0,402.95,385.55,389.25,-2.08
16072025,42.58,389.25,390.0,390.0,378.7,385.2,-1.04
17072025,24.14,385.2,390.0,392.0,381.3,386.7,0.39
18072025,55.29,386.7,390.5,395.75,367.35,384.75,-0.5
21072025,72.42,384.75,389.95,391.95,382.15,389.0,1.1
22072025,64.18,389.0,395.05,404.85,390.0,392.4,0.87
23072025,67.21,392.4,394.9,396.75,387.5,387.7,-1.2
24072025,65.17,387.7,396.65,396.65,375.05,377.65,-2.59
25072025,54.02,377.65,390.0,391.95,358.0,360.65,-4.5
28072025,69.87,360.65,367.05,373.95,361.35,368.45,2.16
29072025,45.95,368.45,374.6,374.6,350.6,358.7,-2.65
30072025,66.38,358.7,364.55,367.0,355.25,357.4,-0.36
31072025,20.13,357.4,359.05,404.0,350.0,369.85,3.48
01082025,39.71,369.85,373.0,373.0,361.05,363.25,-1.78
04082025,79.19,363.25,357.05,374.75,357.05,369.75,1.79
05082025,56.5,369.75,380.0,405.0,371.3,389.75,5.41
06082025,66.62,389.75,399.85,399.85,378.6,381.05,-2.23
07082025,45.77,381.05,376.0,393.5,375.0,382.2,0.3
08082025,46.46,382.2,388.55,389.5,372.1,377.8,-1.15
11082025,62.69,377.8,380.0,388.0,376.6,378.1,0.08
12082025,83.32,378.1,385.4,385.65,376.95,379.1,0.26
13082025,65.63,379.1,364.95,376.75,364.95,371.15,-2.1
14082025,49.54,371.15,369.95,382.05,363.0,370.2,-0.26
18082025,50.39,370.2,371.4,402.1,370.6,380.6,2.81
19082025,58.07,380.6,378.25,382.0,363.0,379.45,-0.3
20082025,65.99,379.45,384.15,392.9,371.9,389.4,2.62
21082025,50.68,389.4,399.8,399.8,381.45,384.45,-1.27
22082025,55.09,384.45,375.15,414.1,373.5,394.4,2.59
25082025,62.57,394.4,394.75,400.0,381.0,383.25,-2.83
26082025,32.32,383.25,393.05,397.5,374.05,382.7,-0.14
28082025,87.16,382.7,389.05,397.95,377.95,389.25,1.71
29082025,32.41,389.25,385.0,393.0,380.5,381.5,-1.99
01092025,72.42,381.5,389.0,403.85,384.8,396.25,3.87
02092025,77.57,396.25,405.4,407.35,395.5,397.65,0.35
03092025,71.79,397.65,399.7,403.75,388.0,393.75,-0.98
04092025,25.62,393.75,397.4,404.2,390.85,397.05,0.84
05092025,16.59,397.05,388.0,403.0,388.0,397.7,0.16
08092025,54.34,397.7,387.85,397.5,381.0,390.55,-1.8
09092025,84.26,390.55,390.95,400.0,385.95,394.1,0.91
10092025,82.89,394.1,383.45,401.7,379.95,385.95,-2.07
11092025,40.89,385.95,383.0,418.8,382.85,387.5,0.4
12092025,23.62,387.5,388.75,396.05,385.1,388.55,0.27
15092025,62.79,388.55,390.95,400.0,387.05,388.15,-0.1
16092025,57.32,388.15,393.2,394.6,376.95,383.0,-1.33
17092025,77.03,383.0,384.5,392.45,375.0,377.85,-1.34
18092025,89.44,377.85,382.35,382.35,370.0,370.8,-1.87
19092025,61.66,370.8,375.0,381.85,370.0,372.75,0.53
22092025,65.08,372.75,375.85,384.0,370.2,370.7,-0.55
23092025,80.53,370.7,375.05,375.15,369.95,370.55,-0.04
24092025,83.46,370.55,365.0,380.0,359.0,375.35,1.3
25092025,72.45,375.35,382.8,382.8,372.0,376.85,0.4
26092025,35.35,376.85,367.85,381.0,364.15,370.55,-1.67
29092025,40.66,370.55,378.1,382.0,361.75,373.7,0.85
30092025,55.66,373.7,366.15,374.1,361.2,361.7,-3.21
01102025,79.45,361.7,369.05,380.0,361.2,365.55,1.06
03102025,55.35,365.55,365.5,380.0,363.45,373.2,2.09
06102025,70.76,373.2,380.75,380.75,368.15,370.1,-0.83
07102025,48.78,370.1,371.0,380.0,367.65,375.3,1.41
08102025,79.45,375.3,377.45,385.95,368.5,382.7,1.97
09102025,82.8,382.7,372.3,389.45,372.1,379.0,-0.97
10102025,72.69,379.0,393.75,393.75,373.05,379.85,0.22
13102025,56.97,379.85,389.05,389.05,375.1,379.25,-0.16
14102025,47.95,379.25,389.0,389.0,365.0,371.85,-1.95
15102025,48.93,371.85,383.05,383.05,366.55,374.75,0.78
16102025,50.31,374.75,376.45,382.25,358.35,364.6,-2.71
17102025,68.46,364.6,366.0,372.5,360.15,361.95,-0.73
20102025,48.99,361.95,357.5,369.0,357.5,366.25,1.19
21102025,95.45,366.25,374.35,377.8,368.05,374.8,2.33
22102025,95.45,366.25,374.35,377.8,368.05,374.8,2.33
23102025,39.95,374.8,379.0,379.2,365.75,374.0,-0.21
24102025,32.45,374.0,365.45,378.45,361.55,365.85,-2.18
27102025,43.69,365.85,370.1,371.3,326.1,351.4,-3.95
28102025,55.82,351.4,361.05,363.95,349.35,357.4,1.71
29102025,66.2,357.4,361.2,368.8,357.65,359.85,0.69
30102025,49.06,359.85,367.6,367.6,348.9,363.7,1.07
31102025,72.81,363.7,367.4,368.9,357.55,364.7,0.27
03112025,66.23,364.7,370.45,375.95,356.0,359.3,-1.48
04112025,63.31,359.3,359.6,361.5,351.0,354.2,-1.42
05112025,63.31,359.3,359.6,361.5,351.0,354.2,-1.42
06112025,60.69,354.2,352.9,358.0,347.05,352.8,-0.4
07112025,58.11,352.8,343.0,355.0,333.0,343.25,-2.71
10112025,58.98,343.25,345.0,362.75,325.5,340.1,-0.92
11112025,84.63,340.1,339.8,339.8,330.3,336.3,-1.12
12112025,68.87,336.3,352.65,354.85,335.0,347.3,3.27
13112025,78.41,347.3,356.75,357.0,330.1,335.95,-3.27
14112025,55.28,335.95,325.0,340.9,323.2,327.25,-2.59
17112025,60.95,327.25,329.05,335.7,325.1,330.0,0.84
18112025,67.44,330.0,334.25,335.0,310.25,314.05,-4.83
19112025,66.05,314.05,310.9,337.4,301.1,329.15,4.81
20112025,39.07,329.15,328.9,337.8,322.6,328.15,-0.3
21112025,43.54,328.15,325.45,330.5,321.65,325.2,-0.9
24112025,61.95,325.2,313.0,321.8,305.15,309.15,-4.94
25112025,27.95,309.15,301.0,335.0,301.0,330.4,6.87
26112025,75.35,330.4,339.5,358.25,330.0,354.05,7.16
