Date,DelPerc
01102019,77.68
03102019,46.87
04102019,98.28
07102019,97.25
08102019,97.25
09102019,52.88
10102019,77.75
11102019,54.28
14102019,61.97
15102019,85.59
16102019,82.15
17102019,95.39
18102019,92.1
21102019,92.1
22102019,64.51
23102019,57.63
24102019,75.96
25102019,74.69
28102019,65.79
29102019,56.54
30102019,89.07
31102019,89.84
01112019,65.56
04112019,65.69
05112019,62.6
06112019,72.54
07112019,51.9
08112019,90.67
11112019,78.73
12112019,78.73
13112019,96.47
14112019,95.8
15112019,66.56
18112019,52.21
19112019,76.81
20112019,74.02
21112019,66.64
22112019,96.67
25112019,84.32
26112019,77.56
27112019,67.12
28112019,70.02
29112019,70.69
02122019,88.96
03122019,62.06
04122019,58.64
05122019,77.02
06122019,94.3
09122019,68.21
10122019,67.25
11122019,90.28
12122019,88.11
13122019,97.78
16122019,60.44
17122019,66.08
18122019,57.14
19122019,56.05
20122019,58.94
23122019,71.14
24122019,70.91
25122019,70.91
26122019,85.58
27122019,85.65
30122019,61.23
31122019,79.02
01012020,61.69
02012020,81.99
03012020,75.19
06012020,75.16
07012020,57.88
08012020,71.61
09012020,67.14
10012020,92.52
13012020,83.77
14012020,85.36
15012020,61.66
16012020,43.34
17012020,72.57
20012020,86.57
21012020,65.56
22012020,59.27
23012020,57.56
24012020,90.41
27012020,77.32
28012020,75.6
29012020,88.25
30012020,97.4
31012020,82.55
03022020,92.34
04022020,62.29
05022020,59.1
06022020,62.09
07022020,95.84
10022020,77.99
11022020,57.6
12022020,57.78
13022020,50.16
14022020,78.97
17022020,98.14
18022020,98.63
19022020,56.98
20022020,39.8
21022020,39.8
24022020,76.43
25022020,56.38
26022020,51.38
27022020,97.36
28022020,64.67
02032020,52.93
03032020,98.62
04032020,93.72
05032020,78.84
06032020,48.53
09032020,92.62
10032020,92.62
11032020,79.99
12032020,82.01
13032020,63.69
16032020,85.5
17032020,70.01
18032020,65.4
19032020,77.89
20032020,67.39
23032020,66.68
24032020,80.99
25032020,84.75
26032020,72.06
27032020,81.49
30032020,75.45
31032020,57.47
01042020,70.56
02042020,70.56
03042020,62.4
06042020,62.4
07042020,89.82
08042020,60.3
09042020,63.56
10042020,63.56
13042020,67.28
15042020,69.99
16042020,83.22
17042020,97.1
20042020,62.89
21042020,87.95
22042020,49.96
23042020,64.34
24042020,66.54
27042020,64.33
28042020,57.47
29042020,59.83
30042020,64.04
01052020,64.04
04052020,64.97
05052020,89.22
06052020,92.53
07052020,45.18
08052020,59.73
11052020,72.83
12052020,72.34
13052020,59.79
14052020,91.34
15052020,64.73
18052020,51.74
19052020,50.55
20052020,89.81
21052020,78.74
22052020,73.2
25052020,73.2
26052020,85.65
27052020,91.34
28052020,69.2
29052020,54.72
01062020,56.38
02062020,81.85
03062020,80.11
04062020,85.25
05062020,73.73
08062020,64.28
09062020,95.78
10062020,87.17
11062020,43.72
12062020,59.49
15062020,65.78
16062020,72.04
17062020,67.3
18062020,78.99
19062020,73.65
22062020,78.68
23062020,75.14
24062020,54.32
25062020,84.3
26062020,46.22
29062020,54.7
