Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,44.12,60.15,61.39,67.0,60.0,63.69,5.89
02012025,54.36,63.69,63.8,68.0,62.7,64.37,1.07
03012025,41.93,64.37,65.0,65.43,63.0,63.84,-0.82
06012025,58.16,63.84,63.09,63.5,60.0,60.59,-5.09
07012025,60.41,60.59,62.6,62.6,60.11,60.59,0.0
08012025,77.68,60.59,60.43,61.48,58.1,58.72,-3.09
09012025,62.5,58.72,59.94,60.29,58.0,58.18,-0.92
10012025,61.09,58.18,58.18,58.34,55.57,56.66,-2.61
13012025,56.8,56.66,55.8,56.97,54.0,54.31,-4.15
14012025,34.07,54.31,54.7,58.98,54.1,58.42,7.57
15012025,45.63,58.42,59.5,59.5,57.62,58.18,-0.41
16012025,51.8,58.18,58.18,59.12,57.27,57.42,-1.31
17012025,54.51,57.42,57.88,58.99,57.65,58.01,1.03
20012025,64.49,58.01,60.0,60.0,57.12,57.78,-0.4
21012025,56.2,57.78,59.86,59.86,55.0,55.35,-4.21
22012025,42.53,55.35,55.87,56.89,55.11,56.02,1.21
23012025,69.53,56.02,56.49,56.49,54.15,54.8,-2.18
24012025,48.01,54.8,55.65,55.65,53.22,53.94,-1.57
27012025,55.3,53.94,54.2,54.42,51.82,53.06,-1.63
28012025,48.5,53.06,56.99,57.8,51.5,52.21,-1.6
29012025,67.11,52.21,52.31,54.08,52.31,52.94,1.4
30012025,25.54,52.94,54.7,59.5,53.01,55.35,4.55
31012025,48.04,55.35,55.71,55.71,53.2,54.52,-1.5
03022025,56.74,54.87,55.89,55.89,54.16,54.24,-1.15
04022025,78.55,54.24,54.15,55.47,53.62,53.8,-0.81
05022025,67.2,53.8,54.45,54.87,53.56,53.69,-0.2
06022025,78.52,53.69,53.56,54.59,53.48,53.63,-0.11
07022025,67.66,53.63,54.08,54.49,53.63,53.92,0.54
10022025,71.27,53.92,54.86,54.86,53.46,53.52,-0.74
11022025,76.14,53.52,53.78,53.9,51.31,52.25,-2.37
12022025,46.76,52.25,52.07,52.5,46.3,49.32,-5.61
13022025,41.64,49.32,53.24,53.5,49.31,49.8,0.97
14022025,65.15,49.8,50.35,50.35,44.14,45.2,-9.24
17022025,66.42,45.2,44.8,44.8,41.41,43.31,-4.18
18022025,64.4,43.31,43.44,43.78,39.99,40.66,-6.12
19022025,70.27,40.66,39.1,42.34,37.15,38.43,-5.48
20022025,68.7,38.43,38.43,39.7,38.0,39.03,1.56
21022025,62.22,39.03,39.48,40.74,39.11,39.5,1.2
24022025,66.72,39.5,40.25,40.5,39.14,40.11,1.54
25022025,69.35,40.11,40.8,40.8,39.61,39.76,-0.87
27022025,54.0,39.76,40.7,40.7,37.8,38.25,-3.8
28022025,42.52,38.25,38.25,38.25,35.25,36.31,-5.07
03032025,59.92,36.31,37.25,37.31,35.32,36.33,0.06
04032025,79.22,36.33,37.3,38.99,36.82,38.81,6.83
05032025,49.7,38.81,38.95,40.5,38.71,39.56,1.93
06032025,44.05,39.56,39.26,42.4,39.26,40.8,3.13
07032025,61.19,40.8,41.78,41.79,40.62,40.76,-0.1
10032025,64.8,40.76,40.01,41.48,37.2,37.87,-7.09
11032025,58.25,37.87,36.7,39.4,36.5,38.85,2.59
12032025,71.17,38.85,39.85,40.35,36.66,37.84,-2.6
13032025,44.35,37.84,37.72,39.49,37.72,39.2,3.59
17032025,60.87,39.2,40.15,40.15,36.25,36.94,-5.77
18032025,54.11,36.94,37.0,38.49,37.0,37.27,0.89
19032025,78.6,37.27,37.75,39.88,37.51,38.75,3.97
20032025,63.22,38.75,39.7,41.28,39.7,40.54,4.62
21032025,67.31,40.54,40.54,41.99,39.51,40.25,-0.72
24032025,79.15,40.25,41.25,41.5,38.25,39.1,-2.86
25032025,45.95,39.1,39.0,40.45,36.81,37.45,-4.22
26032025,74.28,37.45,37.65,38.0,34.7,35.69,-4.7
27032025,72.23,35.69,35.43,35.8,32.97,33.3,-6.7
28032025,65.57,33.3,33.94,35.0,32.1,32.72,-1.74
01042025,53.82,32.72,33.06,34.47,31.6,31.92,-2.44
02042025,54.64,31.92,32.0,32.37,31.75,31.84,-0.25
03042025,54.23,31.84,32.78,35.0,31.76,34.53,8.45
04042025,58.44,34.53,35.48,35.5,33.5,33.8,-2.11
07042025,53.43,33.8,32.0,32.42,30.4,31.65,-6.36
08042025,53.05,31.65,33.39,33.64,32.21,33.3,5.21
09042025,69.34,33.3,33.39,34.23,32.72,33.41,0.33
25082025,70.92,38.75,39.65,42.55,39.01,40.13,3.56
26082025,17.94,40.13,40.89,44.0,39.5,40.85,1.79
28082025,68.28,40.85,41.26,41.49,38.5,40.21,-1.57
29082025,55.13,40.21,40.8,42.18,39.3,40.23,0.05
01092025,65.23,40.23,39.37,41.5,38.35,39.09,-2.83
02092025,74.0,39.09,39.0,40.4,38.71,39.05,-0.1
03092025,63.83,39.05,39.01,39.99,38.8,39.24,0.49
04092025,66.05,39.24,41.3,41.38,38.0,38.38,-2.19
05092025,70.55,38.38,38.41,39.5,38.27,38.4,0.05
08092025,35.48,38.4,39.17,42.94,38.13,39.74,3.49
09092025,51.78,39.74,39.1,42.03,39.1,40.64,2.26
10092025,92.02,40.64,39.7,41.6,39.7,40.01,-1.55
11092025,73.13,40.01,40.01,41.95,39.65,40.67,1.65
12092025,75.24,40.67,40.25,40.9,39.21,39.72,-2.34
15092025,62.81,39.72,39.16,41.1,39.16,39.79,0.18
16092025,69.63,39.79,39.8,40.5,39.2,39.56,-0.58
17092025,47.58,39.56,39.0,40.99,39.0,39.94,0.96
18092025,65.36,39.94,39.73,40.65,39.55,40.2,0.65
19092025,78.89,40.2,40.51,40.99,39.65,40.1,-0.25
22092025,80.5,40.1,40.31,40.5,38.55,39.37,-1.82
23092025,75.98,39.37,39.37,40.25,39.1,40.16,2.01
24092025,86.6,40.16,40.0,40.78,38.31,39.36,-1.99
25092025,77.37,39.36,38.52,40.17,38.52,39.93,1.45
26092025,73.75,39.93,41.29,41.29,38.62,38.86,-2.68
29092025,88.52,38.86,39.26,40.35,38.13,38.36,-1.29
30092025,74.41,38.36,39.15,39.89,38.26,38.57,0.55
01102025,75.44,38.57,38.6,39.73,38.26,38.69,0.31
03102025,70.38,38.69,40.38,41.99,38.26,39.11,1.09
06102025,89.62,39.11,39.9,39.9,38.31,38.71,-1.02
07102025,98.09,38.71,39.69,39.69,38.46,38.76,0.13
08102025,85.67,38.76,39.15,39.2,38.0,38.14,-1.6
09102025,86.48,38.14,37.57,38.93,37.57,38.16,0.05
10102025,72.33,38.16,38.2,39.5,37.53,38.9,1.94
13102025,67.57,38.9,40.3,40.3,38.15,38.23,-1.72
14102025,81.54,38.23,39.2,39.49,36.97,37.72,-1.33
15102025,37.23,37.72,38.98,40.3,37.3,38.91,3.15
16102025,83.67,38.91,38.91,39.89,38.6,38.76,-0.39
17102025,79.51,38.76,38.95,39.9,37.89,38.05,-1.83
20102025,83.62,38.05,38.98,39.1,37.81,38.45,1.05
21102025,64.76,38.45,39.23,39.5,37.5,37.68,-2.0
22102025,64.76,38.45,39.23,39.5,37.5,37.68,-2.0
23102025,45.28,37.68,38.8,41.79,38.43,39.35,4.43
24102025,81.83,39.35,39.35,39.35,38.35,38.49,-2.19
27102025,75.68,38.49,39.0,39.3,38.31,39.02,1.38
28102025,46.0,39.02,39.4,42.25,39.4,41.11,5.36
29102025,52.22,41.11,42.8,44.48,42.25,43.23,5.16
30102025,69.93,43.23,43.99,43.99,41.17,42.0,-2.85
31102025,55.22,42.0,42.21,44.9,40.1,44.09,4.98
03112025,61.81,44.09,45.2,45.2,43.5,43.98,-0.25
04112025,56.52,43.98,43.95,44.48,39.3,40.24,-8.5
05112025,56.52,43.98,43.95,44.48,39.3,40.24,-8.5
06112025,75.72,40.24,40.01,40.8,39.2,39.78,-1.14
07112025,57.16,39.78,39.5,39.7,38.07,39.11,-1.68
10112025,74.95,39.11,39.49,40.0,38.61,39.18,0.18
11112025,92.22,39.18,39.48,39.48,38.21,38.58,-1.53
12112025,30.58,38.58,38.58,44.44,38.05,40.78,5.7
13112025,45.29,40.78,40.65,43.45,40.12,40.92,0.34
14112025,22.77,40.92,40.92,41.71,38.04,38.93,-4.86
17112025,74.24,38.93,39.98,40.8,38.2,40.41,3.8
18112025,31.81,40.41,40.47,41.7,39.01,39.72,-1.71
19112025,28.57,39.72,39.72,41.7,38.55,38.94,-1.96
20112025,56.11,38.94,39.48,39.71,38.7,39.51,1.46
21112025,64.12,39.51,39.51,39.88,38.9,39.06,-1.14
24112025,70.63,39.06,39.01,39.82,38.06,38.27,-2.02
25112025,61.5,38.27,38.72,40.39,38.22,38.97,1.83
26112025,57.31,38.97,39.01,39.87,38.31,38.86,-0.28
27112025,71.23,38.86,38.86,39.26,38.5,38.7,-0.41
28112025,68.05,38.7,38.77,39.06,38.7,38.72,0.05
01122025,72.46,38.72,38.96,39.89,38.6,38.78,0.15
02122025,66.62,38.78,38.61,39.59,38.6,38.71,-0.18
03122025,90.71,38.71,38.7,38.7,37.9,38.0,-1.83
04122025,96.76,38.0,37.8,38.5,37.61,37.71,-0.76
05122025,78.66,37.71,37.99,38.37,37.5,37.55,-0.42
08122025,94.5,37.55,37.55,37.55,37.01,37.27,-0.75
09122025,80.73,37.27,37.09,38.39,36.88,37.09,-0.48
10122025,75.61,37.09,37.49,38.49,36.97,37.12,0.08
11122025,72.89,37.12,37.05,37.88,36.52,37.44,0.86
12122025,58.88,37.44,37.9,37.99,36.1,36.75,-1.84
15122025,70.24,36.75,37.48,38.54,36.6,37.98,3.35
16122025,77.04,37.98,37.2,38.03,37.01,37.05,-2.45
17122025,77.96,37.05,37.1,37.7,36.1,37.01,-0.11
18122025,86.47,37.01,37.11,37.11,36.04,36.4,-1.65
19122025,49.12,36.4,36.4,37.49,36.03,36.33,-0.19
22122025,80.15,36.33,37.89,37.89,34.0,34.47,-5.12
23122025,75.29,34.47,34.07,34.9,33.2,33.81,-1.91
24122025,86.12,33.81,33.74,34.6,33.74,34.44,1.86
25122025,86.12,33.81,33.74,34.6,33.74,34.44,1.86
26122025,90.16,34.44,34.48,35.0,34.0,34.5,0.17
29122025,70.31,34.5,34.74,34.99,33.01,33.21,-3.74
30122025,93.79,33.21,33.21,33.7,33.0,33.51,0.9
31122025,86.82,33.51,33.49,34.2,33.0,33.59,0.24
01012026,80.84,33.59,33.59,34.23,33.0,33.38,-0.63
02012026,71.06,33.38,33.73,35.95,33.36,34.19,2.43
05012026,90.96,34.19,34.24,34.24,33.38,34.03,-0.47
06012026,61.35,34.03,33.99,36.49,33.26,34.35,0.94
07012026,57.42,34.35,34.2,35.73,33.41,34.5,0.44
08012026,68.12,34.5,34.35,34.35,32.2,32.73,-5.13
09012026,86.81,32.73,32.49,32.98,31.1,31.77,-2.93
12012026,69.53,31.77,31.77,32.2,30.6,31.34,-1.35
13012026,69.01,31.34,31.24,31.49,30.0,30.9,-1.4
14012026,95.52,30.9,30.91,31.64,30.47,31.4,1.62
15012026,95.52,30.9,30.91,31.64,30.47,31.4,1.62
16012026,88.45,31.4,31.49,31.73,29.9,30.13,-4.04
19012026,84.71,30.13,30.24,30.35,29.15,29.34,-2.62
20012026,63.63,29.34,29.49,29.9,28.0,28.46,-3.0
21012026,73.66,28.46,28.0,29.96,26.5,27.39,-3.76
22012026,69.12,27.39,27.49,27.99,26.81,27.07,-1.17
23012026,94.61,27.07,27.34,28.24,27.34,27.58,1.88
27012026,77.95,27.58,27.99,28.5,27.47,27.9,1.16
28012026,68.52,27.9,27.8,28.9,27.1,27.56,-1.22
29012026,64.44,27.56,27.99,28.78,27.6,27.87,1.12
30012026,85.32,27.87,27.74,28.69,27.6,27.84,-0.11
02022026,79.39,29.32,29.74,29.74,27.71,28.29,-3.51
03022026,87.37,28.29,31.5,31.5,28.58,29.96,5.9
04022026,91.77,29.96,29.96,30.41,29.01,29.47,-1.64
05022026,44.36,29.47,29.47,29.99,28.76,29.18,-0.98
06022026,96.53,29.18,29.21,29.75,29.18,29.6,1.44
09022026,53.29,29.6,30.48,32.49,30.02,30.91,4.43
10022026,62.32,30.91,31.49,31.9,29.51,30.31,-1.94
11022026,68.34,30.31,30.36,31.3,29.7,30.38,0.23
12022026,75.85,30.38,30.56,30.58,29.5,30.1,-0.92
13022026,89.12,30.1,30.06,30.06,29.2,29.49,-2.03
