Date,DelPerc
01102019,21.7
03102019,22.71
04102019,34.11
07102019,33.52
08102019,33.52
09102019,25.3
10102019,5.89
11102019,27.21
14102019,32.38
15102019,28.51
16102019,21.21
17102019,33.64
18102019,27.51
21102019,27.51
22102019,39.69
23102019,22.04
24102019,29.19
25102019,19.24
28102019,19.81
29102019,30.23
30102019,30.66
31102019,29.9
01112019,32.64
04112019,45.58
05112019,21.98
06112019,50.36
07112019,47.84
08112019,36.27
11112019,34.82
12112019,34.82
13112019,41.64
14112019,47.3
15112019,37.41
18112019,52.68
19112019,53.82
20112019,33.16
21112019,50.67
22112019,38.24
25112019,46.03
26112019,50.43
27112019,42.9
28112019,44.27
29112019,37.14
02122019,37.48
03122019,29.82
04122019,17.19
05122019,36.39
06122019,25.43
09122019,29.19
10122019,21.92
11122019,13.73
12122019,45.07
13122019,51.54
16122019,56.49
17122019,29.31
18122019,34.49
19122019,35.84
20122019,36.18
23122019,29.66
24122019,38.28
25122019,38.28
26122019,22.98
27122019,44.85
30122019,35.28
31122019,32.21
01012020,8.72
02012020,31.05
03012020,35.54
06012020,39.38
07012020,20.76
08012020,16.6
09012020,25.81
10012020,23.34
13012020,23.53
14012020,20.36
15012020,28.19
16012020,24.94
17012020,36.32
20012020,30.12
21012020,28.09
22012020,21.77
23012020,31.14
24012020,37.33
27012020,42.94
28012020,23.86
29012020,27.74
30012020,40.55
31012020,42.04
03022020,28.65
04022020,10.0
05022020,31.38
06022020,28.48
07022020,23.6
10022020,17.1
11022020,30.67
12022020,30.63
13022020,30.26
14022020,27.34
17022020,19.67
18022020,29.97
19022020,33.74
20022020,37.86
21022020,37.86
24022020,44.59
25022020,41.64
26022020,44.7
27022020,41.02
28022020,49.26
02032020,38.22
03032020,27.41
04032020,34.72
05032020,34.38
06032020,32.55
09032020,43.93
10032020,43.93
11032020,24.83
12032020,30.37
13032020,30.99
16032020,38.9
17032020,40.0
18032020,36.77
19032020,32.63
20032020,27.87
23032020,45.96
24032020,39.71
25032020,41.94
26032020,37.5
27032020,20.31
30032020,19.98
31032020,28.35
01042020,26.09
02042020,26.09
03042020,38.02
06042020,38.02
07042020,32.89
08042020,35.75
09042020,17.89
10042020,17.89
13042020,16.88
15042020,17.49
16042020,11.76
17042020,16.28
20042020,18.49
21042020,18.5
22042020,16.43
23042020,12.92
24042020,15.98
27042020,15.47
28042020,13.41
29042020,9.93
30042020,14.8
01052020,14.8
04052020,15.47
05052020,6.36
06052020,14.71
07052020,8.17
08052020,7.28
11052020,12.52
12052020,12.95
13052020,19.64
14052020,22.18
15052020,10.34
18052020,21.05
19052020,14.01
20052020,21.09
21052020,11.45
22052020,11.9
25052020,11.9
26052020,17.34
27052020,24.6
28052020,30.87
29052020,34.78
01062020,27.72
02062020,22.74
03062020,20.59
04062020,25.14
05062020,22.93
08062020,14.94
09062020,14.57
10062020,15.88
11062020,10.83
12062020,12.7
15062020,16.52
16062020,14.09
17062020,18.07
18062020,19.58
19062020,19.0
22062020,13.42
23062020,15.88
24062020,19.21
25062020,14.62
26062020,15.56
29062020,32.77
30062020,29.83
01072020,22.03
02072020,17.57
03072020,7.77
06072020,14.01
07072020,24.82
08072020,21.1
09072020,15.7
10072020,14.07
13072020,13.88
14072020,19.23
15072020,16.94
16072020,15.17
17072020,12.56
20072020,16.73
21072020,25.97
22072020,19.4
23072020,16.16
24072020,15.52
27072020,16.6
28072020,12.41
29072020,15.79
30072020,18.49
31072020,10.14
03082020,15.45
04082020,21.58
05082020,22.62
06082020,19.64
07082020,18.08
10082020,12.17
11082020,17.65
12082020,19.86
13082020,27.21
14082020,9.83
17082020,13.12
18082020,16.26
19082020,13.73
20082020,14.56
