Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,40.56,875.2,874.3,875.9,859.1,867.7,-0.86
02012025,54.18,867.7,869.8,889.0,868.0,881.65,1.61
03012025,45.94,881.65,899.0,924.2,883.4,902.7,2.39
06012025,58.76,902.7,902.75,909.7,867.0,882.1,-2.28
07012025,65.03,882.1,878.0,907.0,874.95,904.55,2.55
08012025,43.04,904.55,903.5,913.0,880.15,898.45,-0.67
09012025,52.05,898.45,899.3,909.95,862.1,869.15,-3.26
10012025,19.49,869.15,869.0,890.0,825.0,840.2,-3.33
13012025,37.93,840.2,849.8,882.0,827.0,839.75,-0.05
14012025,63.4,839.75,846.8,862.9,832.5,850.2,1.24
15012025,42.56,850.2,862.95,900.0,854.75,898.45,5.68
16012025,33.75,898.45,898.45,966.55,898.45,942.8,4.94
17012025,32.2,942.8,940.0,952.0,914.1,920.15,-2.4
20012025,31.58,920.15,930.55,975.4,914.75,937.25,1.86
21012025,36.71,937.25,947.0,948.0,870.0,873.55,-6.8
22012025,30.88,873.55,886.65,886.65,837.2,847.25,-3.01
23012025,45.09,847.25,850.0,862.0,815.45,839.5,-0.91
24012025,39.74,839.5,844.55,847.25,793.1,797.6,-4.99
27012025,42.03,797.6,784.15,790.0,736.2,765.0,-4.09
28012025,31.15,765.0,764.95,823.5,706.05,803.3,5.01
29012025,24.88,803.3,803.3,830.0,796.05,806.4,0.39
30012025,27.91,806.4,810.0,839.25,801.45,807.55,0.14
31012025,43.07,807.55,810.0,813.5,792.0,797.4,-1.26
03022025,24.59,860.9,850.0,863.35,739.55,766.2,-11.0
04022025,47.49,766.2,766.2,804.9,766.2,794.05,3.63
05022025,39.99,794.05,793.0,810.3,782.0,796.95,0.37
06022025,44.5,796.95,795.0,813.45,775.1,784.85,-1.52
07022025,28.46,784.85,788.8,790.85,764.45,774.2,-1.36
10022025,43.6,774.2,774.2,790.0,768.95,781.3,0.92
11022025,46.05,781.3,777.55,777.55,742.2,752.0,-3.75
12022025,33.27,752.0,746.4,756.0,705.0,733.75,-2.43
13022025,45.41,733.75,741.05,764.05,726.05,758.5,3.37
14022025,52.96,758.5,758.5,758.5,700.0,702.35,-7.4
17022025,51.05,702.35,690.0,722.3,675.0,716.95,2.08
18022025,50.39,716.95,725.0,725.0,688.9,696.7,-2.82
19022025,41.99,696.7,691.35,750.0,686.55,737.0,5.78
20022025,44.29,737.0,737.0,781.85,727.8,765.95,3.93
21022025,69.69,765.95,770.5,799.0,760.0,789.75,3.11
24022025,44.45,789.75,789.75,797.4,771.1,774.85,-1.89
25022025,59.22,774.85,776.4,797.0,771.8,794.85,2.58
27022025,38.86,794.85,794.05,803.5,741.05,750.45,-5.59
28022025,49.55,750.45,750.45,750.45,707.5,714.9,-4.74
03032025,47.45,714.9,721.45,750.4,681.6,688.05,-3.76
04032025,44.45,688.05,677.75,723.75,667.5,715.9,4.05
05032025,47.79,715.9,725.0,765.0,710.95,762.05,6.45
06032025,49.49,762.05,773.5,783.5,759.15,764.7,0.35
07032025,32.09,764.7,768.5,779.45,755.4,770.15,0.71
10032025,41.49,770.15,766.85,777.1,758.0,765.6,-0.59
11032025,41.48,765.6,758.0,758.0,731.2,756.25,-1.22
12032025,36.24,756.25,763.7,795.2,735.05,760.95,0.62
13032025,47.4,760.95,768.55,768.55,737.7,740.95,-2.63
17032025,36.13,740.95,755.0,763.5,738.0,745.95,0.67
18032025,56.17,745.95,753.35,772.8,746.1,769.15,3.11
19032025,61.85,769.15,776.75,804.4,768.0,793.3,3.14
20032025,44.06,793.3,804.0,820.0,797.0,804.8,1.45
21032025,54.75,804.8,812.0,819.0,786.1,789.95,-1.85
24032025,46.77,789.95,790.25,795.0,774.0,777.8,-1.54
25032025,57.27,777.8,782.45,782.45,755.0,755.75,-2.83
26032025,50.13,755.75,758.0,765.0,732.0,735.5,-2.68
27032025,58.83,735.5,728.95,753.6,720.05,729.05,-0.88
28032025,62.55,729.05,728.0,741.45,698.45,704.55,-3.36
01042025,39.67,704.55,707.0,737.0,700.9,728.25,3.36
02042025,46.27,728.25,734.9,744.0,716.75,729.8,0.21
03042025,39.91,729.8,722.0,735.0,713.75,723.8,-0.82
04042025,47.38,723.8,730.0,750.0,691.0,695.75,-3.88
07042025,34.9,695.75,667.0,694.85,634.0,687.55,-1.18
08042025,59.0,687.55,688.0,697.9,637.35,642.95,-6.49
09042025,41.95,642.95,641.4,663.0,639.1,654.2,1.75
11042025,58.44,654.2,661.0,677.55,655.25,657.6,0.52
15042025,63.08,657.6,667.45,667.45,655.95,659.55,0.3
16042025,31.34,659.55,665.0,697.95,665.0,681.95,3.4
17042025,43.73,681.95,685.0,696.0,666.0,681.95,0.0
21042025,58.87,681.95,681.95,684.0,668.1,669.4,-1.84
22042025,57.48,669.4,676.0,676.75,664.6,667.3,-0.31
23042025,62.73,667.3,676.0,676.0,654.55,660.4,-1.03
24042025,53.22,660.4,660.0,660.05,645.25,647.5,-1.95
25042025,46.71,647.5,654.0,654.0,625.0,627.15,-3.14
28042025,47.21,627.15,625.0,644.95,615.0,618.55,-1.37
29042025,46.97,618.55,627.85,636.35,609.1,621.55,0.49
30042025,48.38,621.55,625.95,625.95,598.0,608.65,-2.08
02052025,57.2,608.65,614.65,623.9,596.0,597.65,-1.81
05052025,67.64,597.65,597.95,603.35,591.2,599.65,0.33
06052025,51.97,599.65,600.9,607.95,576.75,579.55,-3.35
07052025,28.02,579.55,572.75,617.95,563.55,604.95,4.38
08052025,34.75,604.95,609.8,643.75,585.2,593.3,-1.93
09052025,51.09,593.3,584.4,592.85,574.4,582.2,-1.87
12052025,60.27,582.2,586.9,629.65,586.9,611.15,4.97
13052025,45.42,611.15,608.0,639.45,606.6,630.75,3.21
14052025,57.48,630.75,634.95,635.8,618.1,619.55,-1.78
15052025,52.82,619.55,624.0,634.0,617.3,624.65,0.82
16052025,53.02,624.65,628.25,642.95,619.0,620.35,-0.69
19052025,51.8,620.35,620.35,645.0,620.35,626.1,0.93
20052025,59.47,626.1,628.0,629.0,615.0,617.45,-1.38
21052025,59.46,617.45,622.35,622.35,593.1,598.4,-3.09
22052025,65.76,598.4,585.0,588.8,562.5,568.7,-4.96
23052025,59.7,568.7,570.0,572.0,559.6,567.75,-0.17
26052025,55.6,567.75,575.0,583.2,566.8,573.3,0.98
27052025,57.39,573.3,567.55,573.9,562.55,564.05,-1.61
28052025,61.39,564.05,560.0,583.0,554.25,556.15,-1.4
29052025,58.04,556.15,564.7,564.7,541.0,544.1,-2.17
30052025,52.85,544.1,546.3,550.55,537.7,545.9,0.33
02062025,61.6,545.9,544.0,549.7,536.6,542.15,-0.69
03062025,66.39,542.15,550.0,550.05,524.7,528.4,-2.54
04062025,36.46,528.4,533.6,584.0,529.35,579.2,9.61
05062025,32.55,579.2,581.0,615.0,581.0,591.2,2.07
06062025,52.01,591.2,590.8,598.75,578.0,580.85,-1.75
09062025,42.13,580.85,581.45,598.8,580.0,588.5,1.32
10062025,47.24,588.5,589.0,604.95,579.35,581.4,-1.21
11062025,63.89,581.4,583.75,612.15,583.75,602.2,3.58
12062025,44.4,602.2,604.0,625.55,593.65,603.35,0.19
13062025,32.91,603.35,600.0,603.35,585.5,595.9,-1.23
16062025,41.92,595.9,595.2,596.7,582.55,586.4,-1.59
17062025,48.68,586.4,583.05,592.05,568.05,570.7,-2.68
18062025,34.96,570.7,570.7,583.95,567.0,578.9,1.44
19062025,26.74,578.9,588.0,598.5,560.25,564.9,-2.42
20062025,36.98,564.9,564.9,570.0,556.7,563.25,-0.29
23062025,45.64,563.25,567.2,567.2,555.0,556.85,-1.14
24062025,41.64,556.85,560.2,578.55,558.1,560.95,0.74
25062025,42.63,560.95,562.9,588.85,562.9,581.8,3.72
26062025,49.17,581.8,584.0,592.8,575.5,584.7,0.5
27062025,45.2,584.7,586.4,594.75,583.0,587.05,0.4
30062025,53.29,587.05,589.9,603.0,585.4,596.9,1.68
01072025,46.37,596.9,599.75,599.9,581.9,584.9,-2.01
02072025,58.28,584.9,584.0,602.0,582.0,598.8,2.38
03072025,48.96,598.8,598.0,603.4,592.85,598.6,-0.03
04072025,54.52,598.6,601.1,610.0,595.0,605.65,1.18
07072025,58.34,605.65,605.65,611.7,588.15,590.65,-2.48
08072025,58.47,590.65,595.0,596.8,583.0,592.3,0.28
09072025,51.44,592.3,592.3,600.0,584.0,586.5,-0.98
10072025,44.66,586.5,591.9,591.9,576.45,585.4,-0.19
11072025,56.29,585.4,585.0,592.3,581.0,582.55,-0.49
14072025,48.85,582.55,582.5,596.85,576.65,591.9,1.61
15072025,59.73,591.9,598.0,602.0,591.7,595.85,0.67
16072025,59.21,595.85,590.2,599.85,590.2,596.15,0.05
17072025,63.07,596.15,598.85,612.0,594.0,607.65,1.93
18072025,45.41,607.65,613.7,627.6,603.0,615.6,1.31
21072025,53.06,615.6,618.8,622.95,601.2,607.55,-1.31
22072025,55.22,607.55,612.6,619.0,602.15,605.9,-0.27
23072025,43.78,605.9,614.0,614.0,596.55,603.1,-0.46
24072025,66.14,603.1,603.1,604.75,582.7,587.2,-2.64
25072025,60.91,587.2,587.15,588.65,570.15,573.75,-2.29
28072025,42.04,573.75,576.65,613.4,563.1,605.2,5.48
29072025,50.09,605.2,609.9,609.9,593.0,596.3,-1.47
30072025,44.85,596.3,598.1,603.45,591.5,594.2,-0.35
31072025,17.88,594.2,591.05,609.8,582.45,594.2,0.0
01082025,52.23,594.2,594.2,597.35,573.1,578.1,-2.71
04082025,17.2,578.1,578.4,620.0,571.45,598.2,3.48
05082025,32.56,598.2,602.0,616.0,565.8,572.1,-4.36
06082025,50.05,572.1,574.7,603.0,572.25,584.4,2.15
07082025,14.39,584.4,579.6,640.6,579.1,615.7,5.36
08082025,28.92,615.7,619.8,630.9,600.0,603.95,-1.91
11082025,49.32,603.95,608.8,608.8,581.1,593.1,-1.8
12082025,39.64,593.1,593.1,605.2,585.55,596.25,0.53
13082025,47.27,596.25,595.0,604.5,592.1,601.15,0.82
14082025,53.22,601.15,595.1,603.4,592.0,594.2,-1.16
18082025,19.72,594.2,603.5,675.0,603.5,664.35,11.81
19082025,33.35,664.35,668.3,675.0,655.0,658.1,-0.94
20082025,37.67,658.1,655.0,678.9,655.0,664.85,1.03
21082025,52.47,664.85,674.0,674.0,651.0,653.25,-1.74
22082025,40.97,653.25,655.0,675.0,646.95,666.95,2.1
25082025,43.12,666.95,670.0,686.95,660.5,676.4,1.42
26082025,41.33,676.4,677.0,677.8,654.0,659.25,-2.54
28082025,50.72,659.25,658.95,664.15,635.2,639.95,-2.93
29082025,29.23,639.95,641.0,657.75,631.8,638.55,-0.22
01092025,50.03,638.55,641.9,648.35,626.5,629.3,-1.45
02092025,44.22,629.3,635.0,677.7,625.05,669.8,6.44
03092025,50.89,669.8,671.1,672.6,661.0,665.2,-0.69
04092025,33.94,665.2,671.8,700.0,663.9,680.5,2.3
05092025,31.15,680.5,685.4,688.0,670.05,681.95,0.21
08092025,48.72,681.95,682.0,712.55,682.0,689.1,1.05
09092025,48.6,689.1,683.0,692.75,678.1,686.75,-0.34
10092025,45.95,686.75,692.8,717.15,685.55,695.45,1.27
11092025,46.4,695.45,692.85,696.8,654.1,660.15,-5.08
12092025,51.85,660.15,660.0,674.9,660.0,672.7,1.9
15092025,47.88,672.7,674.7,674.7,661.7,671.0,-0.25
16092025,48.43,671.0,670.6,695.1,670.6,689.0,2.68
17092025,56.53,689.0,689.0,705.8,683.85,701.2,1.77
18092025,40.31,701.2,704.7,716.2,697.75,706.7,0.78
19092025,46.08,706.7,703.0,720.05,703.0,711.95,0.74
22092025,53.19,711.95,707.0,721.3,705.65,713.6,0.23
23092025,51.04,713.6,713.6,724.0,707.9,711.4,-0.31
24092025,29.71,711.4,711.4,722.6,690.2,700.1,-1.59
25092025,58.59,700.1,703.8,703.8,680.15,684.15,-2.28
26092025,31.12,684.15,672.0,685.0,653.35,669.35,-2.16
29092025,45.43,669.35,669.35,688.9,663.2,682.7,1.99
30092025,40.73,682.7,675.0,687.8,671.15,677.7,-0.73
01102025,58.77,677.7,677.7,681.9,654.85,660.9,-2.48
03102025,53.12,660.9,666.2,680.35,662.3,676.55,2.37
06102025,61.27,676.55,683.3,687.65,676.0,680.95,0.65
07102025,47.15,680.95,681.0,688.7,672.8,673.35,-1.12
08102025,44.94,673.35,668.2,688.0,668.2,677.45,0.61
09102025,50.4,677.45,671.4,690.5,671.4,677.8,0.05
10102025,61.02,677.8,675.1,679.95,665.3,667.35,-1.54
13102025,43.54,667.35,663.05,689.75,663.05,673.0,0.85
14102025,60.11,673.0,675.3,685.0,668.5,671.9,-0.16
15102025,60.45,671.9,673.0,675.5,665.2,674.0,0.31
16102025,52.03,674.0,673.0,692.9,673.0,690.0,2.37
17102025,37.22,690.0,693.0,714.45,684.8,688.5,-0.22
20102025,45.88,688.5,686.0,712.5,686.0,701.5,1.89
21102025,55.98,701.5,702.1,711.5,701.5,705.85,0.62
22102025,55.98,701.5,702.1,711.5,701.5,705.85,0.62
23102025,52.85,705.85,704.5,725.0,701.35,707.25,0.2
24102025,52.78,707.25,704.0,711.9,698.0,704.05,-0.45
27102025,58.07,704.05,710.0,722.45,706.55,711.75,1.09
28102025,50.49,711.75,718.85,753.0,709.0,747.05,4.96
29102025,42.32,747.05,758.25,776.9,743.0,773.85,3.59
30102025,45.75,773.85,775.95,795.0,755.4,788.05,1.83
31102025,61.3,788.05,788.0,804.05,775.75,787.65,-0.05
03112025,27.3,787.65,807.7,813.95,716.85,723.65,-8.13
04112025,44.65,723.65,733.0,739.7,705.1,708.85,-2.05
05112025,44.65,723.65,733.0,739.7,705.1,708.85,-2.05
06112025,49.34,708.85,709.0,715.55,666.5,670.05,-5.47
07112025,43.33,670.05,673.6,680.0,657.0,666.35,-0.55
10112025,53.06,666.35,667.8,671.4,635.15,641.4,-3.74
11112025,49.67,641.4,647.0,655.4,627.15,648.05,1.04
12112025,51.0,648.05,650.0,652.8,631.0,636.4,-1.8
13112025,48.05,636.4,637.65,660.6,633.7,640.4,0.63
14112025,49.65,640.4,640.4,647.25,635.6,643.15,0.43
17112025,59.78,643.15,640.3,645.45,628.0,629.45,-2.13
18112025,52.82,629.45,629.55,634.95,625.55,631.15,0.27
19112025,56.83,631.15,631.15,633.1,614.0,616.15,-2.38
20112025,47.1,616.15,615.1,624.1,612.3,616.7,0.09
21112025,66.13,616.7,615.35,625.0,610.2,619.3,0.42
24112025,58.92,619.3,618.75,618.75,591.2,598.0,-3.44
25112025,43.85,598.0,598.0,633.35,590.3,622.9,4.16
26112025,59.8,622.9,622.0,630.0,614.05,623.75,0.14
27112025,57.35,623.75,620.0,632.45,614.15,617.4,-1.02
28112025,73.65,617.4,614.25,619.0,608.85,612.9,-0.73
01122025,49.8,612.9,611.0,617.05,598.0,608.45,-0.73
02122025,59.63,608.45,608.45,609.75,595.0,597.05,-1.87
03122025,75.26,597.05,596.9,606.8,591.0,602.55,0.92
04122025,78.1,602.55,594.0,609.6,591.0,597.2,-0.89
05122025,61.07,597.2,597.75,597.75,570.0,573.35,-3.99
08122025,63.06,573.35,573.75,574.9,561.25,569.4,-0.69
09122025,35.6,569.4,569.0,591.7,556.0,588.75,3.4
10122025,52.8,588.75,585.05,594.95,577.65,581.25,-1.27
11122025,50.88,581.25,580.0,589.95,573.5,588.2,1.2
12122025,49.71,588.2,588.2,625.0,586.85,621.3,5.63
15122025,66.38,621.3,617.5,617.5,591.8,596.85,-3.94
16122025,51.28,596.85,592.5,603.3,589.9,592.35,-0.75
17122025,53.91,592.35,592.35,594.0,580.0,582.55,-1.65
18122025,44.77,582.55,582.5,582.55,571.05,573.8,-1.5
19122025,47.32,573.8,573.0,589.9,572.0,587.75,2.43
22122025,37.6,587.75,588.9,608.4,588.5,596.55,1.5
23122025,32.51,596.55,596.0,620.5,592.25,608.9,2.07
24122025,56.97,608.9,606.5,612.35,586.55,589.25,-3.23
25122025,56.97,608.9,606.5,612.35,586.55,589.25,-3.23
26122025,56.63,589.25,592.4,594.65,575.1,577.2,-2.04
29122025,56.3,577.2,578.4,580.2,564.25,570.75,-1.12
30122025,60.84,570.75,573.8,579.0,554.4,562.0,-1.53
31122025,44.28,562.0,562.6,577.25,562.6,573.75,2.09
01012026,55.33,573.75,574.9,583.65,572.4,578.4,0.81
02012026,58.83,578.4,581.4,595.25,573.5,592.9,2.51
05012026,68.96,592.9,596.0,596.0,584.0,589.35,-0.6
06012026,57.84,589.35,592.5,592.5,572.05,575.8,-2.3
07012026,56.26,575.8,578.95,587.45,573.0,583.95,1.42
08012026,55.06,583.95,578.1,589.05,572.0,577.5,-1.1
09012026,58.81,577.5,575.0,580.0,566.25,577.6,0.02
12012026,45.68,577.6,565.0,572.95,555.0,561.4,-2.8
13012026,66.37,561.4,562.0,571.2,546.0,548.95,-2.22
14012026,43.66,548.95,551.8,552.4,536.5,538.55,-1.89
15012026,43.66,548.95,551.8,552.4,536.5,538.55,-1.89
16012026,58.75,538.55,538.55,544.95,518.5,520.65,-3.32
19012026,57.16,520.65,513.05,525.75,506.4,509.2,-2.2
20012026,58.69,509.2,504.6,510.55,485.0,488.05,-4.15
21012026,46.51,488.05,485.5,500.65,475.55,487.6,-0.09
22012026,59.58,487.6,496.85,508.15,490.9,495.1,1.54
23012026,52.97,495.1,495.1,498.05,479.5,485.6,-1.92
27012026,51.49,485.6,485.55,505.6,480.3,502.4,3.46
28012026,61.14,502.4,507.45,517.45,495.0,498.15,-0.85
29012026,58.89,498.15,499.0,500.5,485.0,487.45,-2.15
30012026,56.79,487.45,487.75,512.0,484.9,493.1,1.16
02022026,41.24,477.55,476.9,479.9,463.0,474.95,-0.54
03022026,46.82,474.95,500.1,549.4,500.1,532.85,12.19
04022026,66.32,532.85,537.8,547.9,526.05,542.05,1.73
05022026,49.26,542.05,537.05,542.8,521.0,522.7,-3.57
06022026,51.47,522.7,525.3,527.95,502.3,506.4,-3.12
09022026,43.58,506.4,507.1,549.4,507.1,539.6,6.56
10022026,80.39,539.6,539.6,546.0,532.3,537.1,-0.46
11022026,64.47,537.1,534.15,548.0,528.6,530.75,-1.18
12022026,50.43,530.75,533.5,535.0,525.0,527.6,-0.59
13022026,59.04,527.6,527.65,527.65,505.8,511.5,-3.05
