Date,DelPerc
01102019,60.08
03102019,86.79
04102019,73.37
07102019,63.77
08102019,63.77
09102019,61.1
10102019,72.21
11102019,56.13
14102019,51.06
15102019,53.63
16102019,50.86
17102019,58.91
18102019,62.83
21102019,62.83
22102019,80.17
23102019,73.72
24102019,76.59
25102019,72.1
28102019,49.1
29102019,88.22
30102019,67.46
31102019,55.14
01112019,75.31
04112019,72.83
05112019,81.23
06112019,94.36
07112019,61.22
08112019,59.05
11112019,79.3
12112019,79.3
13112019,54.12
14112019,71.64
15112019,63.04
18112019,43.92
19112019,54.13
20112019,55.26
21112019,70.85
22112019,62.74
25112019,59.51
26112019,75.59
27112019,49.04
28112019,55.17
29112019,89.05
02122019,92.11
03122019,76.37
04122019,65.63
05122019,90.42
06122019,63.47
09122019,80.2
10122019,65.58
11122019,81.99
12122019,69.47
13122019,66.49
16122019,49.15
17122019,65.16
18122019,57.8
19122019,61.31
20122019,67.33
23122019,77.91
24122019,65.79
25122019,65.79
26122019,65.79
27122019,63.52
30122019,82.87
31122019,65.91
01012020,61.03
02012020,47.66
03012020,64.37
06012020,80.31
07012020,56.28
08012020,70.81
09012020,68.75
10012020,57.96
13012020,55.36
14012020,73.11
15012020,65.29
16012020,58.12
17012020,18.1
20012020,78.96
21012020,94.63
22012020,96.02
23012020,52.5
24012020,75.81
27012020,64.08
28012020,68.34
29012020,62.13
30012020,64.11
31012020,69.82
03022020,67.12
04022020,69.34
05022020,34.81
06022020,49.68
07022020,72.49
10022020,54.75
11022020,48.42
12022020,60.46
13022020,68.7
14022020,69.57
17022020,65.32
18022020,76.56
19022020,66.88
20022020,77.61
21022020,77.61
24022020,86.61
25022020,78.2
26022020,73.76
27022020,59.69
28022020,70.37
02032020,65.78
03032020,43.26
04032020,51.18
05032020,55.95
06032020,89.53
09032020,54.31
10032020,54.31
11032020,58.54
12032020,67.53
13032020,55.38
16032020,67.74
17032020,56.96
18032020,69.03
19032020,57.17
20032020,75.87
23032020,94.17
24032020,58.78
25032020,95.94
26032020,94.79
27032020,52.78
30032020,98.67
31032020,65.25
01042020,63.25
02042020,63.25
03042020,80.43
06042020,80.43
07042020,66.02
08042020,67.28
09042020,35.5
10042020,35.5
13042020,92.92
15042020,56.0
16042020,59.17
17042020,62.83
20042020,40.37
21042020,40.04
22042020,56.85
23042020,64.83
24042020,80.13
27042020,63.73
28042020,69.67
29042020,58.6
30042020,49.85
01052020,49.85
04052020,44.57
05052020,50.2
06052020,54.49
07052020,68.35
08052020,61.73
11052020,80.0
12052020,95.94
13052020,89.2
14052020,79.19
15052020,67.08
18052020,93.98
19052020,15.55
20052020,88.16
21052020,34.29
22052020,56.49
25052020,56.49
26052020,56.52
27052020,81.58
28052020,59.22
29052020,63.03
01062020,64.36
02062020,56.95
03062020,57.53
04062020,61.16
