Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,53.78,6.68,6.75,7.15,6.71,6.87,2.84
02012025,55.48,6.87,6.98,7.19,6.75,6.86,-0.15
03012025,66.77,6.86,6.87,6.95,6.52,6.57,-4.23
06012025,63.62,6.57,6.94,6.94,6.24,6.33,-3.65
07012025,61.4,6.33,6.4,6.52,5.06,5.69,-10.11
08012025,44.24,5.69,5.8,6.82,5.75,6.82,19.86
09012025,33.78,6.82,7.5,7.8,6.65,6.84,0.29
10012025,48.65,6.84,6.8,7.13,6.3,6.47,-5.41
13012025,57.62,6.47,6.34,6.52,5.6,5.97,-7.73
14012025,36.41,5.97,6.09,6.44,6.09,6.29,5.36
15012025,70.64,6.29,6.42,6.45,6.3,6.3,0.16
16012025,46.18,6.3,6.79,6.79,6.03,6.2,-1.59
17012025,37.92,6.2,6.35,6.68,6.18,6.24,0.65
20012025,63.03,6.24,6.4,6.47,6.27,6.33,1.44
21012025,53.32,6.33,6.47,6.47,6.04,6.14,-3.0
22012025,58.54,6.14,6.34,6.34,6.0,6.06,-1.3
23012025,71.89,6.06,6.17,6.19,5.95,6.08,0.33
24012025,59.69,6.08,6.15,6.15,5.8,5.95,-2.14
27012025,67.45,5.95,6.1,6.1,5.7,5.78,-2.86
28012025,41.93,5.78,5.72,6.6,5.51,5.72,-1.04
29012025,67.56,5.72,5.9,5.91,5.06,5.24,-8.39
30012025,60.44,5.24,5.4,5.59,5.3,5.45,4.01
31012025,53.65,5.45,5.78,5.78,5.47,5.61,2.94
03022025,70.91,5.57,5.57,5.57,5.4,5.51,-1.08
04022025,75.35,5.51,5.51,5.65,5.48,5.55,0.73
05022025,48.23,5.55,5.7,6.15,5.55,5.95,7.21
06022025,51.64,5.95,6.3,6.3,5.7,5.94,-0.17
07022025,59.2,5.94,5.9,5.9,5.72,5.82,-2.02
10022025,64.94,5.82,5.8,5.89,5.6,5.75,-1.2
11022025,74.58,5.75,5.75,5.9,5.5,5.51,-4.17
12022025,68.65,5.51,5.61,5.7,5.3,5.47,-0.73
13022025,53.58,5.47,5.47,5.68,5.25,5.39,-1.46
14022025,74.7,5.39,5.6,5.6,5.25,5.28,-2.04
17022025,56.13,5.28,5.39,5.52,5.0,5.05,-4.36
18022025,57.12,5.05,5.24,5.3,5.04,5.14,1.78
19022025,68.34,5.14,5.25,5.3,5.12,5.15,0.19
20022025,45.1,5.15,5.12,5.89,5.12,5.47,6.21
21022025,55.85,5.47,5.47,5.68,5.2,5.28,-3.47
24022025,58.02,5.28,5.28,5.4,5.1,5.14,-2.65
25022025,75.2,5.14,5.0,5.4,5.0,5.11,-0.58
27022025,53.74,5.11,5.0,5.16,4.52,4.86,-4.89
28022025,58.15,4.86,4.86,5.01,4.57,4.81,-1.03
03032025,64.14,4.81,4.85,4.93,4.25,4.62,-3.95
04032025,48.03,4.62,4.76,4.8,4.63,4.7,1.73
05032025,55.74,4.7,4.52,4.82,4.52,4.77,1.49
06032025,48.19,4.77,5.0,5.1,4.86,4.97,4.19
07032025,57.48,4.97,5.1,5.15,4.72,4.92,-1.01
10032025,74.19,4.92,4.93,5.04,4.6,4.75,-3.46
11032025,59.14,4.75,5.0,5.0,4.61,4.68,-1.47
12032025,85.73,4.68,4.77,4.77,4.64,4.65,-0.64
13032025,87.04,4.65,4.73,4.73,4.49,4.52,-2.8
17032025,74.88,4.52,4.5,4.7,4.5,4.55,0.66
18032025,59.54,4.55,4.68,4.72,4.41,4.6,1.1
19032025,71.5,4.6,4.7,4.85,4.56,4.68,1.74
20032025,86.53,4.68,4.83,4.84,4.66,4.68,0.0
21032025,63.85,4.68,4.56,4.84,4.56,4.74,1.28
24032025,82.77,4.74,4.82,4.83,4.7,4.73,-0.21
25032025,88.71,4.73,4.75,4.79,4.64,4.71,-0.42
26032025,89.91,4.71,4.57,4.72,4.45,4.46,-5.31
27032025,73.57,4.46,4.52,4.56,4.0,4.09,-8.3
28032025,80.42,4.09,4.15,4.24,3.82,3.95,-3.42
01042025,79.43,3.95,3.95,4.05,3.85,3.99,1.01
02042025,55.29,3.99,3.99,4.09,3.95,3.96,-0.75
03042025,51.54,3.96,3.98,4.0,3.9,3.93,-0.76
04042025,85.71,3.93,3.98,3.98,3.76,3.79,-3.56
07042025,73.95,3.79,3.61,3.67,3.43,3.5,-7.65
08042025,58.85,3.5,3.73,3.73,3.5,3.62,3.43
09042025,67.86,3.62,3.64,3.72,3.4,3.61,-0.28
14072025,32.55,4.02,4.26,4.82,4.26,4.82,19.9
15072025,36.17,4.82,5.18,5.78,5.03,5.78,19.92
16072025,29.72,5.78,6.2,6.35,5.91,6.35,9.86
17072025,38.16,6.35,6.35,6.57,5.71,5.74,-9.61
18072025,36.39,5.74,5.74,6.19,5.16,5.16,-10.1
20102025,51.51,3.98,4.25,4.25,3.76,3.93,-1.26
21102025,81.0,3.93,3.94,4.02,3.94,3.97,1.02
22102025,81.0,3.93,3.94,4.02,3.94,3.97,1.02
23102025,67.3,3.97,3.95,4.1,3.9,3.97,0.0
24102025,56.21,3.97,3.98,4.13,3.94,3.99,0.5
27102025,76.05,3.99,3.99,4.07,3.71,3.91,-2.01
28102025,72.43,3.91,3.99,4.0,3.9,3.92,0.26
29102025,70.91,3.92,3.91,3.98,3.87,3.93,0.26
30102025,70.69,3.93,3.93,3.97,3.91,3.94,0.25
31102025,89.37,3.94,3.94,4.0,3.93,3.97,0.76
03112025,73.98,3.97,3.97,4.0,3.92,3.94,-0.76
04112025,79.17,3.94,3.94,3.99,3.9,3.93,-0.25
05112025,79.17,3.94,3.94,3.99,3.9,3.93,-0.25
06112025,70.52,3.93,3.85,3.99,3.85,3.91,-0.51
07112025,74.34,3.91,3.92,3.96,3.85,3.86,-1.28
10112025,83.17,3.86,3.86,3.94,3.82,3.87,0.26
11112025,96.19,3.87,3.87,3.87,3.8,3.8,-1.81
12112025,82.5,3.8,3.83,3.94,3.8,3.87,1.84
13112025,68.77,3.87,3.87,3.95,3.82,3.88,0.26
14112025,66.42,3.88,3.99,3.99,3.66,3.79,-2.32
17112025,79.83,3.79,3.85,3.86,3.71,3.76,-0.79
18112025,90.97,3.76,3.85,3.85,3.76,3.79,0.8
19112025,66.84,3.79,3.8,3.87,3.7,3.75,-1.06
20112025,80.09,3.75,3.8,3.81,3.7,3.75,0.0
