Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,62.83,278.2,279.85,284.4,278.2,282.1,1.4
02012025,70.23,282.1,286.2,286.2,277.55,279.35,-0.97
03012025,69.48,279.35,285.0,285.0,277.1,280.1,0.27
06012025,81.96,280.1,279.15,279.2,266.55,272.55,-2.7
07012025,50.01,272.55,271.9,286.95,271.9,277.75,1.91
08012025,67.6,277.75,277.85,277.85,263.35,268.15,-3.46
09012025,35.48,268.15,266.8,272.95,266.0,266.2,-0.73
10012025,59.98,266.2,269.9,269.9,250.0,253.15,-4.9
13012025,64.53,253.15,255.0,255.0,236.6,239.85,-5.25
14012025,53.57,239.85,240.7,248.45,239.9,243.85,1.67
15012025,42.65,243.85,246.45,251.4,242.05,246.95,1.27
16012025,20.04,246.95,250.0,296.3,249.85,295.1,19.5
17012025,41.95,295.1,295.9,295.9,271.95,273.25,-7.4
20012025,62.52,273.25,273.25,279.95,266.35,268.95,-1.57
21012025,16.92,268.95,271.0,315.0,271.0,293.45,9.11
22012025,40.49,293.45,292.8,292.8,267.25,276.65,-5.72
23012025,39.8,276.65,275.1,279.75,269.0,270.55,-2.2
24012025,23.21,270.55,272.0,284.75,268.25,271.05,0.18
27012025,55.74,271.05,269.0,269.8,250.0,254.15,-6.24
28012025,46.68,254.15,254.25,260.45,238.35,241.15,-5.12
29012025,14.33,241.15,243.0,289.35,242.95,249.35,3.4
30012025,42.45,249.35,249.55,256.0,245.0,247.8,-0.62
31012025,35.38,247.8,248.0,253.9,243.8,250.05,0.91
03022025,44.69,247.25,249.5,259.65,245.5,249.85,1.05
04022025,41.22,249.85,248.0,251.6,245.25,247.2,-1.06
05022025,52.32,247.2,249.9,251.05,245.55,246.65,-0.22
06022025,28.17,246.65,248.5,252.25,240.35,245.15,-0.61
07022025,57.45,245.15,246.4,249.8,242.15,247.8,1.08
10022025,36.0,247.8,242.0,254.0,242.0,242.45,-2.16
11022025,60.06,242.45,243.2,243.2,230.1,238.8,-1.51
12022025,24.96,238.8,245.0,245.0,230.25,233.35,-2.28
13022025,24.85,233.35,238.2,263.85,233.05,241.4,3.45
14022025,59.4,241.4,244.3,244.35,226.6,231.15,-4.25
17022025,47.71,231.15,235.0,238.65,225.5,234.05,1.25
18022025,56.34,234.05,234.95,240.0,228.0,228.9,-2.2
19022025,56.35,228.9,230.05,244.0,230.05,235.9,3.06
20022025,58.7,235.9,242.9,245.0,234.05,241.0,2.16
21022025,33.83,241.0,254.0,254.0,241.0,243.25,0.93
24022025,50.26,243.25,249.7,249.7,235.0,236.75,-2.67
25022025,55.38,236.75,240.35,240.75,231.0,232.3,-1.88
27022025,40.77,232.3,234.05,237.4,230.0,232.7,0.17
28022025,62.78,232.7,231.6,231.6,224.55,226.0,-2.88
03032025,56.86,226.0,226.01,227.99,215.01,219.62,-2.82
04032025,51.34,219.62,222.02,227.48,215.0,218.88,-0.34
05032025,34.81,218.88,225.12,229.18,222.42,226.91,3.67
06032025,51.03,226.91,229.92,232.0,225.0,226.69,-0.1
07032025,49.46,226.69,234.9,234.9,227.58,231.88,2.29
10032025,54.39,231.88,234.0,234.0,220.56,224.07,-3.37
11032025,40.94,224.07,220.2,225.01,217.17,218.96,-2.28
12032025,75.11,218.96,218.97,222.48,218.87,218.95,-0.0
13032025,24.28,218.95,221.7,222.0,217.95,220.08,0.52
17032025,62.49,220.08,219.14,221.08,208.35,213.46,-3.01
18032025,51.03,213.46,210.01,221.98,210.0,219.32,2.75
19032025,53.12,219.32,220.66,227.55,218.02,224.93,2.56
20032025,38.93,224.93,226.67,244.19,220.6,226.26,0.59
21032025,50.49,226.26,229.34,237.59,225.55,229.44,1.41
24032025,48.23,229.44,239.0,241.72,225.4,227.19,-0.98
25032025,63.51,227.19,227.0,231.01,227.0,228.7,0.66
26032025,48.38,228.7,230.75,239.4,227.01,228.84,0.06
27032025,54.91,228.84,222.01,233.21,222.01,228.85,0.0
28032025,61.25,228.85,223.0,231.54,215.55,218.71,-4.43
01042025,44.55,218.71,218.72,225.4,215.0,222.29,1.64
02042025,65.22,222.29,225.59,229.0,218.44,220.34,-0.88
03042025,60.78,220.34,218.11,221.5,215.0,219.57,-0.35
04042025,49.77,219.57,220.96,220.99,211.21,215.31,-1.94
07042025,50.32,215.31,210.0,215.0,186.0,208.65,-3.09
08042025,35.11,208.65,214.67,217.52,210.01,215.9,3.47
09042025,49.21,215.9,220.4,220.4,213.4,216.71,0.38
11042025,57.48,216.71,218.5,220.78,215.0,216.6,-0.05
15042025,50.74,216.6,220.0,224.68,216.42,218.5,0.88
16042025,54.6,218.5,215.24,227.9,215.24,224.83,2.9
17042025,73.65,224.83,227.97,234.14,225.01,226.89,0.92
21042025,63.35,226.89,230.05,232.98,222.99,227.45,0.25
22042025,72.06,227.45,236.0,236.0,224.35,228.59,0.5
23042025,68.31,228.59,229.47,229.75,224.99,226.71,-0.82
24042025,64.36,226.71,228.12,228.12,220.5,221.13,-2.46
25042025,70.18,221.13,224.88,224.9,212.56,213.81,-3.31
28042025,72.65,213.81,213.77,218.49,209.7,214.32,0.24
29042025,67.77,214.32,215.01,217.69,202.55,205.51,-4.11
30042025,77.21,205.51,209.38,210.01,201.0,203.54,-0.96
02052025,36.39,203.54,208.19,228.0,205.0,205.97,1.19
05052025,50.23,205.97,207.99,208.8,201.02,205.52,-0.22
06052025,48.36,205.52,210.26,210.26,203.04,204.11,-0.69
07052025,75.13,204.11,202.86,208.01,197.41,202.14,-0.97
08052025,83.74,202.14,203.0,206.48,199.95,201.11,-0.51
