Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,43.14,138.05,138.1,138.45,136.58,136.74,-0.95
02012025,43.91,136.74,137.0,138.45,136.4,138.18,1.05
03012025,37.81,138.18,138.18,139.73,137.84,138.36,0.13
06012025,47.8,138.36,138.36,138.39,131.35,132.18,-4.47
07012025,37.17,132.18,132.78,133.88,132.01,133.38,0.91
08012025,51.24,133.38,133.93,134.24,131.77,132.64,-0.55
09012025,51.46,132.64,132.0,132.4,129.7,129.93,-2.04
10012025,48.09,129.93,129.93,130.39,126.7,127.43,-1.92
13012025,44.56,127.43,126.0,126.5,122.62,122.93,-3.53
14012025,38.62,122.93,122.94,127.64,122.94,126.93,3.25
15012025,32.76,126.93,128.0,128.31,125.78,126.53,-0.32
16012025,34.23,126.53,128.0,128.47,126.56,127.81,1.01
17012025,34.79,127.81,127.9,131.16,127.64,130.28,1.93
20012025,40.34,130.28,130.99,132.1,128.91,131.66,1.06
21012025,35.15,131.66,132.06,132.4,129.25,129.7,-1.49
22012025,43.89,129.7,130.25,130.35,127.12,128.92,-0.6
23012025,33.92,128.92,127.85,130.75,127.7,130.37,1.12
24012025,47.08,130.37,130.5,133.2,129.31,129.74,-0.48
27012025,32.24,129.74,129.02,129.45,125.74,126.37,-2.6
28012025,26.01,126.37,126.37,130.49,124.74,128.62,1.78
29012025,29.87,128.62,129.0,131.34,128.55,130.8,1.69
30012025,44.2,130.8,130.8,132.15,130.1,131.12,0.24
31012025,35.43,131.12,131.12,135.0,129.93,134.62,2.67
03022025,36.13,132.97,131.29,132.51,127.81,131.82,-0.86
04022025,37.82,131.82,132.8,134.34,131.87,133.42,1.21
05022025,39.94,133.42,133.15,135.39,133.08,134.4,0.73
06022025,39.2,134.4,134.5,134.87,132.02,132.54,-1.38
07022025,29.1,132.54,133.3,138.75,132.56,138.31,4.35
10022025,32.36,138.31,138.1,138.1,133.0,134.04,-3.09
11022025,29.56,134.04,133.0,134.34,129.7,130.11,-2.93
12022025,35.47,130.11,129.35,133.29,128.31,132.28,1.67
13022025,45.83,132.28,132.28,137.69,131.86,136.25,3.0
14022025,31.73,136.25,136.25,139.25,133.33,134.47,-1.31
17022025,25.15,134.47,132.91,134.8,130.73,134.29,-0.13
18022025,36.86,134.29,134.29,134.9,131.75,134.54,0.19
19022025,23.47,134.54,134.5,136.88,133.03,135.76,0.91
20022025,43.73,135.76,135.27,138.36,135.0,138.04,1.68
21022025,35.17,138.04,137.91,141.6,137.15,140.76,1.97
24022025,30.84,140.76,138.81,140.66,136.66,137.65,-2.21
25022025,35.47,137.65,138.49,139.35,136.7,137.07,-0.42
27022025,49.77,137.07,137.21,138.99,135.88,138.69,1.18
28022025,47.98,138.69,137.8,137.8,134.06,137.2,-1.07
03032025,40.08,137.2,137.0,139.05,134.31,138.57,1.0
04032025,32.9,138.57,136.15,140.94,135.81,139.34,0.56
05032025,46.4,139.34,139.0,146.49,139.0,146.1,4.85
06032025,48.98,146.1,146.79,152.2,146.2,150.44,2.97
07032025,60.45,150.44,149.74,152.45,149.27,151.56,0.74
10032025,50.83,151.56,151.56,154.24,150.41,151.05,-0.34
11032025,42.63,151.05,148.1,151.7,148.0,150.75,-0.2
12032025,37.2,150.75,151.0,152.28,147.7,150.3,-0.3
13032025,52.62,150.3,152.0,153.56,150.02,150.88,0.39
17032025,59.1,150.88,151.99,152.64,150.9,151.81,0.62
18032025,59.06,151.81,153.0,154.83,152.22,154.66,1.88
19032025,61.89,154.66,156.8,159.2,156.5,158.6,2.55
20032025,56.8,158.6,160.0,160.1,156.65,159.04,0.28
21032025,67.11,159.04,159.03,159.75,156.82,157.28,-1.11
24032025,62.01,157.28,158.0,159.0,157.11,158.42,0.72
25032025,43.71,158.42,159.0,159.0,156.05,156.73,-1.07
26032025,61.61,156.73,156.2,157.54,155.01,155.81,-0.59
27032025,62.65,155.81,154.8,156.1,154.2,155.42,-0.25
28032025,57.53,155.42,155.38,156.91,153.37,154.24,-0.76
01042025,50.62,154.24,152.07,155.34,152.07,153.12,-0.73
02042025,43.5,153.12,154.0,156.25,152.27,154.69,1.03
03042025,36.16,154.69,153.0,155.97,152.6,153.62,-0.69
04042025,53.67,153.62,152.62,152.99,140.0,140.39,-8.61
07042025,39.14,140.39,128.0,130.35,125.33,129.48,-7.77
08042025,30.83,129.48,134.89,136.2,128.02,130.28,0.62
09042025,41.65,130.28,130.0,130.0,125.3,127.18,-2.38
11042025,34.0,127.18,134.67,134.7,130.49,133.42,4.91
15042025,41.25,133.42,135.6,137.0,134.84,136.41,2.24
16042025,31.52,136.41,136.41,137.6,134.62,136.97,0.41
17042025,38.26,136.97,134.4,137.96,133.7,137.14,0.12
21042025,32.73,137.14,137.65,140.3,137.05,139.18,1.49
22042025,40.31,139.18,142.0,142.84,137.7,138.16,-0.73
23042025,37.71,138.16,139.39,141.5,137.32,141.16,2.17
24042025,36.69,141.16,140.7,141.88,140.28,141.52,0.26
25042025,36.32,141.52,142.0,143.45,138.02,138.85,-1.89
28042025,37.18,138.85,138.54,142.6,138.38,142.07,2.32
29042025,33.36,142.07,142.07,143.3,140.92,141.5,-0.4
30042025,45.05,141.5,141.45,141.56,138.0,140.08,-1.0
02052025,41.6,140.08,140.0,143.1,139.45,141.18,0.79
05052025,43.74,141.18,141.57,142.7,141.2,142.08,0.64
06052025,34.89,142.08,142.08,145.4,141.54,144.44,1.66
07052025,38.16,144.44,142.2,146.95,142.2,146.0,1.08
08052025,50.66,146.0,146.0,146.66,142.85,143.67,-1.6
09052025,32.81,143.67,140.99,143.27,140.51,142.78,-0.62
12052025,42.52,142.78,145.61,151.95,144.5,151.63,6.2
13052025,39.56,151.63,152.0,152.99,149.01,149.43,-1.45
14052025,31.86,149.43,151.0,157.15,151.0,155.31,3.93
15052025,43.02,155.31,155.5,157.84,154.3,157.35,1.31
16052025,43.7,157.35,157.35,158.15,157.0,157.55,0.13
19052025,46.39,157.55,158.0,158.14,156.13,157.57,0.01
20052025,42.63,157.57,158.35,162.1,158.0,158.69,0.71
21052025,52.07,158.69,159.45,161.85,158.53,161.64,1.86
22052025,58.2,161.64,160.98,163.6,160.36,161.29,-0.22
23052025,57.47,161.29,161.6,163.53,161.5,162.97,1.04
26052025,34.06,162.97,163.1,165.55,162.05,162.51,-0.28
27052025,35.31,162.51,162.51,163.9,160.62,161.66,-0.52
28052025,35.38,161.66,162.4,162.69,160.65,161.24,-0.26
29052025,42.46,161.24,162.19,163.95,161.5,163.12,1.17
30052025,62.42,163.12,163.11,163.89,160.51,161.02,-1.29
02062025,51.23,161.02,159.0,160.12,157.3,159.04,-1.23
03062025,58.67,159.04,159.04,160.65,157.17,157.35,-1.06
04062025,53.16,157.35,157.5,158.98,156.81,158.18,0.53
05062025,53.29,158.18,158.86,159.09,157.05,157.97,-0.13
06062025,37.27,157.97,155.7,157.88,154.25,157.49,-0.3
09062025,45.2,157.49,157.69,158.2,156.82,157.32,-0.11
10062025,43.65,157.32,158.0,159.3,155.5,155.68,-1.04
11062025,35.22,155.68,156.45,157.53,155.31,156.41,0.47
12062025,51.08,156.41,156.0,156.26,151.85,152.89,-2.25
13062025,50.93,152.89,149.8,152.5,149.8,152.13,-0.5
16062025,42.2,152.13,152.01,154.5,150.84,154.17,1.34
17062025,48.03,154.17,153.81,154.89,152.35,152.6,-1.02
18062025,43.13,152.6,152.2,153.2,150.8,152.11,-0.32
19062025,48.99,152.11,152.0,152.45,150.5,151.0,-0.73
20062025,67.01,151.0,150.75,153.17,150.63,151.97,0.64
23062025,47.89,151.97,150.5,153.3,150.48,152.43,0.3
24062025,40.32,152.43,153.8,156.97,153.64,154.79,1.55
25062025,52.33,154.79,155.9,156.9,155.51,156.39,1.03
26062025,45.53,156.39,156.87,161.1,156.45,160.54,2.65
27062025,45.51,160.54,161.0,163.3,160.7,161.45,0.57
30062025,43.32,161.45,160.99,162.2,159.5,159.76,-1.05
01072025,40.72,159.76,160.01,160.44,157.73,160.06,0.19
02072025,44.89,160.06,160.06,166.15,159.83,165.88,3.64
03072025,44.02,165.88,166.0,168.78,165.21,165.91,0.02
04072025,36.49,165.91,165.91,166.49,162.0,163.01,-1.75
07072025,46.41,163.01,163.0,163.35,160.05,162.4,-0.37
08072025,56.82,162.4,162.45,162.9,161.6,161.97,-0.26
09072025,45.18,161.97,161.95,161.95,157.51,159.0,-1.83
10072025,33.13,159.0,160.0,161.55,159.28,160.66,1.04
11072025,47.84,160.66,160.64,161.62,159.32,159.84,-0.51
14072025,48.93,159.84,159.84,161.12,159.3,160.44,0.38
15072025,42.91,160.44,160.26,160.85,157.95,159.0,-0.9
16072025,46.64,159.0,159.0,159.27,157.0,157.33,-1.05
17072025,38.87,157.33,157.5,160.7,157.12,159.9,1.63
18072025,46.32,159.9,160.1,162.75,160.1,162.37,1.54
21072025,43.78,162.37,162.5,165.6,162.49,163.02,0.4
22072025,49.33,163.02,163.3,164.41,162.73,163.04,0.01
23072025,46.75,163.04,163.25,164.14,161.88,162.77,-0.17
24072025,45.42,162.77,163.0,164.75,162.81,163.48,0.44
25072025,38.56,163.48,163.5,163.59,161.05,161.43,-1.25
28072025,57.24,161.43,161.23,162.29,159.09,159.68,-1.08
29072025,41.78,159.68,158.2,162.45,158.2,161.69,1.26
30072025,56.3,161.69,161.69,162.79,161.05,161.36,-0.2
31072025,32.29,161.36,161.0,162.13,156.56,157.94,-2.12
01082025,41.34,157.94,157.93,157.93,152.51,153.01,-3.12
04082025,35.87,153.01,153.5,159.92,153.5,159.56,4.28
05082025,43.71,159.56,159.56,160.14,158.28,159.62,0.04
06082025,51.79,159.62,159.62,159.8,157.8,158.66,-0.6
07082025,55.59,158.66,157.15,160.0,156.26,159.67,0.64
08082025,37.57,159.67,159.5,159.95,157.01,157.95,-1.08
11082025,48.88,157.95,157.95,160.0,157.15,158.52,0.36
12082025,35.46,158.52,158.52,161.65,158.5,160.16,1.03
13082025,44.89,160.16,160.96,162.4,159.9,160.18,0.01
14082025,63.15,160.18,160.02,160.6,154.83,155.3,-3.05
18082025,63.96,155.3,158.0,159.0,156.0,157.96,1.71
19082025,51.07,157.96,158.5,159.46,156.76,159.23,0.8
20082025,48.0,159.23,158.2,162.76,158.03,161.92,1.69
21082025,54.83,161.92,161.92,162.54,161.19,161.51,-0.25
22082025,59.81,161.51,161.25,161.28,158.1,158.55,-1.83
25082025,57.06,158.55,159.2,160.33,158.64,159.63,0.68
26082025,51.0,159.63,159.16,159.16,154.64,155.03,-2.88
28082025,56.07,155.03,155.78,155.87,153.16,153.63,-0.9
29082025,57.95,153.63,154.5,155.1,153.05,154.48,0.55
01092025,49.26,154.48,154.48,156.36,153.7,156.17,1.09
02092025,49.75,156.17,156.17,159.07,155.5,158.39,1.42
03092025,45.44,158.39,158.4,168.0,158.4,167.85,5.97
04092025,46.07,167.85,169.0,169.3,166.62,166.81,-0.62
05092025,51.31,166.81,167.0,168.0,165.94,167.68,0.52
08092025,35.9,167.68,170.0,172.5,168.46,168.82,0.68
09092025,44.62,168.82,169.3,169.72,167.99,169.15,0.2
10092025,44.95,169.15,169.19,170.73,168.75,169.43,0.17
