Date,DelPerc
31102023,71.93
01112023,56.49
02112023,74.86
03112023,77.79
22042024,88.96
23042024,86.34
24042024,72.6
25042024,67.38
26042024,35.66
29042024,61.39
30042024,78.53
01052024,78.53
02052024,51.18
03052024,65.67
06052024,78.63
07052024,95.69
08052024,74.13
09052024,66.89
10052024,81.31
13052024,77.22
14052024,78.78
15052024,71.46
16052024,66.28
17052024,69.58
20052024,83.43
21052024,59.55
22052024,82.9
23052024,70.62
24052024,64.66
27052024,67.57
28052024,68.37
29052024,66.28
30052024,58.76
31052024,66.39
03062024,58.52
04062024,80.79
05062024,72.12
06062024,60.03
07062024,83.33
10062024,69.74
11062024,92.05
12062024,77.32
13062024,83.46
14062024,71.08
17062024,71.08
18062024,65.12
19062024,58.56
20062024,68.0
21062024,60.71
24062024,66.68
25062024,60.14
26062024,71.97
27062024,65.86
28062024,96.41
01072024,54.86
02072024,66.95
03072024,60.98
04072024,64.46
05072024,50.74
08072024,69.1
09072024,55.05
10072024,60.99
11072024,51.9
12072024,62.38
15072024,53.97
18112024,100.0
19112024,84.56
20112024,84.56
21112024,57.59
22112024,60.46
25112024,59.31
26112024,61.09
27112024,63.45
28112024,76.74
29112024,85.12
02122024,64.19
03122024,54.81
04122024,59.34
05122024,63.83
06122024,47.81
09122024,47.63
10122024,21.76
11122024,39.16
12122024,35.55
13122024,43.7
16122024,49.12
17122024,85.04
18122024,57.32
19122024,53.06
20122024,54.54
23122024,51.4
24122024,60.1
25122024,60.1
26122024,77.25
27122024,63.81
30122024,58.24
31122024,30.92
01012025,44.38
02012025,63.99
03012025,59.36
06012025,65.9
07012025,44.39
08012025,37.37
09012025,61.79
10012025,57.44
13012025,49.69
14012025,45.72
15012025,59.42
16012025,54.66
17012025,69.22
20012025,70.69
21012025,47.82
22012025,44.18
23012025,57.3
24012025,40.61
27012025,69.35
28012025,53.73
29012025,54.67
30012025,42.0
31012025,48.58
03022025,69.47
04022025,68.04
05022025,37.44
06022025,52.22
