Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,42.89,2931.0,2904.4,3015.9,2904.4,3002.5,2.44
02012025,76.23,3002.5,3018.3,3096.25,2988.85,3066.6,2.13
03012025,71.12,3066.6,3066.6,3088.85,3041.0,3051.05,-0.51
06012025,48.37,3051.05,3051.05,3103.0,2832.5,2939.7,-3.65
07012025,43.5,2939.7,2970.0,2988.6,2784.8,2856.15,-2.84
08012025,67.29,2856.15,2870.05,2870.05,2817.5,2833.9,-0.78
09012025,59.5,2833.9,2845.75,2850.35,2759.3,2771.45,-2.2
10012025,53.61,2771.45,2775.0,2793.2,2715.0,2733.05,-1.39
13012025,53.78,2733.05,2733.05,2787.45,2643.75,2667.65,-2.39
14012025,45.42,2667.65,2645.1,2733.3,2613.1,2707.75,1.5
15012025,43.84,2707.75,2722.0,2722.0,2662.75,2681.35,-0.97
16012025,62.44,2681.35,2695.5,2717.5,2681.95,2701.85,0.76
17012025,70.28,2701.85,2690.0,2716.0,2665.15,2699.85,-0.07
20012025,92.06,2699.85,2690.0,2753.85,2680.0,2728.05,1.04
21012025,41.88,2728.05,2742.4,2764.8,2670.0,2677.85,-1.84
22012025,50.91,2677.85,2690.65,2690.65,2575.0,2612.05,-2.46
23012025,61.45,2612.05,2600.0,2710.0,2599.2,2682.65,2.7
24012025,38.75,2682.65,2682.65,2726.05,2611.0,2637.4,-1.69
27012025,76.8,2637.4,2651.3,2669.65,2523.9,2578.25,-2.24
28012025,49.67,2578.25,2578.95,2593.0,2469.65,2521.75,-2.19
29012025,54.38,2521.75,2525.0,2552.5,2460.0,2497.65,-0.96
30012025,69.94,2497.65,2497.65,2510.8,2420.0,2431.9,-2.63
31012025,43.87,2431.9,2431.0,2450.0,2372.75,2442.15,0.42
03022025,70.86,2502.7,2515.9,2539.95,2369.5,2398.5,-4.16
04022025,84.41,2398.5,2411.1,2425.15,2350.35,2397.55,-0.04
05022025,53.98,2397.55,2419.95,2419.95,2315.0,2342.9,-2.28
06022025,84.02,2342.9,2355.15,2369.9,2291.2,2317.8,-1.07
07022025,44.94,2317.8,2317.8,2337.25,2286.9,2316.4,-0.06
10022025,45.66,2316.4,2330.4,2330.4,2233.8,2248.55,-2.93
11022025,39.05,2248.55,2275.0,2275.05,2125.7,2198.2,-2.24
12022025,36.57,2198.2,2198.2,2198.2,2114.0,2122.4,-3.45
13022025,74.59,2122.4,2122.4,2179.5,2090.0,2107.55,-0.7
14022025,89.69,2107.55,2102.6,2104.5,2025.05,2049.95,-2.73
17022025,66.51,2049.95,2049.95,2053.1,1971.0,2049.6,-0.02
18022025,85.22,2049.6,2031.0,2063.85,1966.55,1995.15,-2.66
19022025,45.96,1995.15,1977.0,2049.35,1975.25,2024.6,1.48
20022025,88.42,2024.6,2026.0,2044.95,1975.0,1985.5,-1.93
21022025,91.63,1985.5,1996.0,2061.95,1981.5,2008.5,1.16
24022025,66.06,2008.5,2009.0,2019.05,1950.25,1957.3,-2.55
25022025,90.75,1957.3,1955.0,2025.55,1933.95,1980.05,1.16
27022025,51.81,1980.05,1980.0,1989.8,1881.65,1895.25,-4.28
28022025,91.14,1895.25,1878.0,1966.9,1826.0,1949.0,2.84
03032025,40.85,1949.0,1991.95,1991.95,1842.8,1949.0,0.0
04032025,42.81,1949.0,1919.75,1940.0,1875.0,1887.8,-3.14
05032025,45.85,1887.8,1897.7,1950.0,1897.7,1926.55,2.05
06032025,52.27,1926.55,1944.95,1965.0,1916.35,1941.0,0.75
07032025,83.48,1941.0,1951.2,2044.95,1939.55,2029.3,4.55
10032025,46.52,2029.3,2036.0,2039.4,1950.3,2011.55,-0.87
11032025,52.5,2011.55,1995.0,2070.25,1962.05,2003.55,-0.4
12032025,78.24,2003.55,2003.55,2018.0,1965.05,1977.65,-1.29
13032025,50.41,1977.65,1992.15,2033.25,1952.7,2005.4,1.4
17032025,59.67,2005.4,2011.4,2070.0,2011.25,2049.75,2.21
18032025,71.69,2049.75,2051.2,2069.2,2030.15,2048.45,-0.06
19032025,51.5,2048.45,2044.0,2107.25,2040.1,2071.95,1.15
20032025,55.15,2071.95,2082.9,2113.5,1992.0,2016.95,-2.65
21032025,58.86,2016.95,2016.95,2032.1,1898.05,1931.15,-4.25
24032025,49.84,1931.15,1944.85,1968.1,1913.6,1926.0,-0.27
25032025,55.45,1926.0,1963.0,1963.0,1874.0,1899.5,-1.38
26032025,48.39,1899.5,1909.5,1910.2,1852.6,1873.25,-1.38
27032025,64.94,1873.25,1855.05,1871.8,1822.65,1833.85,-2.1
28032025,47.45,1833.85,1833.9,1878.85,1793.05,1810.25,-1.29
01042025,42.71,1810.25,1810.25,1879.7,1798.0,1855.8,2.52
02042025,38.94,1855.8,1855.8,1892.0,1822.0,1843.65,-0.65
03042025,49.36,1843.65,1843.65,1866.4,1815.05,1828.7,-0.81
04042025,60.41,1828.7,1838.3,1838.3,1752.3,1765.4,-3.46
07042025,52.83,1765.4,1700.65,1705.0,1641.2,1695.05,-3.98
