Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,58.68,911.8,916.0,932.05,910.0,921.85,1.1
02012025,86.72,921.85,914.05,925.6,904.05,908.7,-1.43
03012025,51.05,908.7,913.5,930.0,904.05,914.55,0.64
06012025,15.84,914.55,920.7,1055.0,908.0,1017.9,11.3
07012025,30.2,1017.9,1015.85,1015.85,940.0,952.0,-6.47
08012025,29.01,952.0,955.0,965.0,921.35,935.8,-1.7
09012025,45.15,935.8,938.95,941.75,905.2,914.4,-2.29
10012025,41.38,914.4,916.95,917.0,856.0,862.95,-5.63
13012025,48.21,862.95,855.1,867.6,815.5,823.7,-4.55
14012025,50.62,823.7,845.05,865.0,816.8,825.65,0.24
15012025,38.85,825.65,830.0,837.6,817.25,826.05,0.05
16012025,50.71,826.05,831.15,848.0,812.0,814.4,-1.41
17012025,49.54,814.4,815.05,879.0,805.15,851.6,4.57
20012025,59.82,851.6,870.0,870.0,828.5,839.25,-1.45
21012025,47.27,839.25,838.1,849.7,808.2,820.5,-2.23
22012025,49.78,820.5,820.05,823.45,795.2,806.35,-1.72
23012025,49.08,806.35,807.95,868.9,807.95,820.1,1.71
24012025,48.42,820.1,840.0,867.95,780.0,787.85,-3.93
27012025,34.65,787.85,786.95,842.45,737.55,790.1,0.29
28012025,44.22,790.1,793.0,804.75,754.95,762.3,-3.52
29012025,50.4,762.3,765.0,794.4,756.0,786.75,3.21
30012025,71.06,786.75,786.75,788.55,770.15,777.15,-1.22
31012025,38.34,777.15,780.35,813.95,772.3,798.25,2.72
03022025,53.35,794.15,784.0,790.0,771.55,785.05,-1.15
04022025,39.47,785.05,799.85,819.85,772.15,778.05,-0.89
05022025,55.77,778.05,798.95,798.95,778.0,787.75,1.25
06022025,41.64,787.75,791.9,824.95,789.35,816.2,3.61
07022025,59.88,816.2,820.0,820.0,774.65,783.85,-3.96
10022025,56.06,783.85,783.9,794.9,759.55,777.65,-0.79
11022025,48.66,777.65,780.0,780.0,743.05,748.9,-3.7
12022025,41.24,748.9,748.9,763.95,725.6,749.55,0.09
13022025,44.69,749.55,764.95,764.95,726.15,729.7,-2.65
14022025,49.52,729.7,738.95,738.95,715.0,723.4,-0.86
17022025,42.9,723.4,723.4,727.0,692.85,719.85,-0.49
18022025,51.48,719.85,714.5,720.0,693.0,697.35,-3.13
