Date,DelPerc
01102019,24.85
03102019,59.2
04102019,31.61
07102019,51.78
08102019,51.78
09102019,35.99
10102019,47.84
11102019,41.57
14102019,59.51
15102019,51.54
16102019,66.42
17102019,48.76
18102019,63.01
21102019,63.01
22102019,41.32
23102019,31.34
24102019,38.55
25102019,20.34
28102019,26.81
29102019,43.98
30102019,55.9
31102019,57.58
01112019,32.69
04112019,28.4
05112019,42.92
06112019,17.29
07112019,35.62
08112019,16.61
11112019,47.72
12112019,47.72
13112019,19.26
14112019,24.78
15112019,31.22
18112019,27.53
19112019,44.49
20112019,22.94
21112019,29.82
22112019,46.95
25112019,48.16
26112019,59.35
27112019,71.57
28112019,50.12
29112019,48.4
02122019,40.65
03122019,42.45
04122019,32.92
05122019,53.23
06122019,37.55
09122019,42.76
10122019,66.97
11122019,50.52
12122019,45.54
13122019,31.95
16122019,26.09
17122019,17.24
18122019,40.1
19122019,30.05
20122019,38.27
23122019,35.31
24122019,13.79
25122019,13.79
26122019,35.51
27122019,25.65
30122019,22.2
31122019,23.33
01012020,16.29
02012020,22.81
03012020,19.7
06012020,22.63
07012020,17.57
08012020,50.45
09012020,28.44
10012020,30.66
13012020,21.83
14012020,24.37
15012020,18.11
16012020,25.42
17012020,13.11
20012020,16.16
21012020,30.88
22012020,18.41
23012020,26.68
24012020,31.78
27012020,28.39
28012020,24.64
29012020,18.26
30012020,22.19
31012020,48.55
03022020,16.59
04022020,59.2
05022020,31.51
06022020,41.7
07022020,40.99
10022020,25.19
11022020,23.22
12022020,25.61
13022020,9.83
14022020,32.92
17022020,39.35
18022020,19.76
19022020,17.47
20022020,30.97
21022020,30.97
24022020,34.85
25022020,40.03
26022020,41.52
27022020,30.46
28022020,27.77
02032020,46.97
03032020,25.92
04032020,19.42
05032020,22.23
06032020,39.24
09032020,51.29
10032020,51.29
11032020,53.91
12032020,50.54
13032020,40.93
16032020,21.73
17032020,26.53
18032020,42.46
19032020,41.34
20032020,33.71
23032020,29.38
24032020,33.86
25032020,28.15
26032020,41.51
27032020,27.67
30032020,31.48
31032020,47.42
01042020,33.99
02042020,33.99
03042020,17.94
06042020,17.94
07042020,26.58
08042020,15.48
09042020,29.15
10042020,29.15
13042020,14.93
15042020,17.5
16042020,32.43
17042020,17.84
20042020,47.73
21042020,30.35
22042020,42.91
23042020,37.92
24042020,32.17
27042020,13.21
28042020,16.56
29042020,17.66
30042020,23.07
01052020,23.07
04052020,19.05
05052020,24.01
