Date,DelPerc
10062024,69.35
11062024,51.97
12062024,58.55
13062024,64.22
14062024,54.07
17062024,54.07
18062024,65.07
19062024,44.04
20062024,59.31
21062024,58.24
24062024,84.66
25062024,100.0
26062024,64.88
27062024,62.51
28062024,53.06
01072024,52.28
02072024,53.75
03072024,53.14
04072024,54.72
05072024,54.63
08072024,70.92
09072024,83.2
10072024,42.64
11072024,54.27
12072024,98.08
15072024,65.45
21102024,59.37
22102024,61.33
23102024,60.23
24102024,68.19
25102024,59.37
28102024,66.43
29102024,72.62
30102024,83.63
31102024,63.64
01112024,95.25
04112024,71.49
05112024,53.12
06112024,65.55
07112024,67.1
08112024,57.72
11112024,52.41
12112024,49.9
13112024,61.72
14112024,49.71
18112024,59.67
19112024,62.02
20112024,62.02
21112024,66.77
22112024,60.01
25112024,61.49
26112024,73.58
27112024,47.76
28112024,57.34
29112024,68.34
02122024,53.41
03122024,61.88
04122024,56.88
05122024,77.45
06122024,46.26
09122024,48.18
10122024,48.89
11122024,100.0
12122024,100.0
13122024,50.92
16122024,40.42
17122024,54.29
15042025,72.73
16042025,84.99
17042025,67.82
21042025,66.68
22042025,78.49
23042025,62.22
24042025,60.07
25042025,68.73
28042025,40.52
29042025,54.64
30042025,62.57
02052025,59.23
05052025,66.74
06052025,45.3
07052025,60.5
08052025,38.4
09052025,55.29
01092025,65.68
02092025,67.42
03092025,73.72
04092025,78.97
05092025,72.44
08092025,81.41
09092025,81.28
10092025,75.58
11092025,87.79
12092025,56.08
15092025,80.97
16092025,59.48
17092025,76.21
18092025,77.45
19092025,56.97
22092025,58.89
23092025,68.3
24092025,71.67
25092025,68.2
26092025,87.55
29092025,63.45
30092025,79.14
01102025,66.37
03102025,64.22
06102025,81.72
07102025,79.97
08102025,54.34
09102025,61.22
10102025,65.53
13102025,73.95
14102025,72.76
15102025,50.52
16102025,54.69
17102025,68.29
20102025,64.6
21102025,83.45
22102025,83.45
23102025,73.14
24102025,68.22
27102025,73.06
28102025,73.8
29102025,64.76
30102025,57.77
31102025,65.78
03112025,53.8
04112025,62.48
05112025,62.48
06112025,63.21
07112025,55.6
10112025,72.3
11112025,66.69
12112025,66.55
13112025,62.6
14112025,79.97
17112025,62.97
18112025,78.45
19112025,70.38
20112025,56.33
21112025,76.6
24112025,59.87
25112025,69.58
26112025,68.98
27112025,75.99
28112025,76.8
01122025,77.47
02122025,59.05
03122025,78.31
04122025,74.38
05122025,71.24
08122025,72.0
09122025,71.97
10122025,61.58
11122025,71.7
12122025,66.38
15122025,51.4
16122025,59.41
17122025,45.47
18122025,66.51
19122025,74.63
22122025,74.84
23122025,66.46
24122025,50.87
25122025,50.87
26122025,75.59
29122025,65.23
30122025,46.12
31122025,72.79
01012026,31.57
02012026,65.25
05012026,52.64
06012026,62.61
07012026,40.62
08012026,74.94
09012026,70.65
12012026,66.25
13012026,72.75
14012026,59.49
15012026,59.49
16012026,79.49
19012026,70.13
20012026,94.43
21012026,42.92
22012026,48.39
23012026,63.74
27012026,65.37
28012026,54.92
29012026,83.67
30012026,61.79
02022026,63.36
03022026,78.08
04022026,57.3
05022026,82.53
06022026,71.15
09022026,62.83
10022026,71.03
11022026,67.84
