Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,49.83,206.35,206.35,214.48,205.0,212.95,3.2
02012025,31.88,212.95,210.9,216.85,209.5,212.51,-0.21
03012025,24.79,212.51,213.35,223.0,210.78,213.98,0.69
06012025,48.3,213.98,215.05,215.74,206.8,208.63,-2.5
07012025,45.33,208.63,208.0,210.5,206.5,209.45,0.39
08012025,61.31,209.45,210.0,210.1,206.7,208.26,-0.57
09012025,29.79,208.26,209.0,226.99,208.01,213.38,2.46
10012025,41.52,213.38,211.25,212.94,203.0,205.77,-3.57
13012025,57.42,205.77,205.41,205.41,190.1,194.09,-5.68
14012025,49.72,194.09,196.5,205.8,196.5,204.73,5.48
15012025,42.19,204.73,205.0,205.0,200.0,201.58,-1.54
16012025,51.7,201.58,204.97,206.89,201.3,203.46,0.93
17012025,77.45,203.46,203.01,212.9,201.5,210.96,3.69
20012025,47.29,210.96,210.02,214.46,206.0,209.62,-0.64
21012025,50.36,209.62,211.3,213.0,204.97,206.64,-1.42
22012025,79.74,206.64,206.61,207.54,197.44,202.96,-1.78
23012025,48.71,202.96,200.01,205.36,200.0,201.67,-0.64
24012025,52.52,201.67,203.55,203.56,194.44,197.66,-1.99
27012025,49.15,197.66,199.9,200.51,189.16,190.89,-3.43
28012025,52.09,190.89,190.51,192.09,180.0,185.01,-3.08
29012025,43.56,185.01,188.71,195.01,185.81,188.76,2.03
30012025,50.18,188.76,191.6,193.5,189.1,192.74,2.11
31012025,58.06,192.74,192.0,194.78,187.0,192.58,-0.08
03022025,58.55,190.96,190.0,190.15,184.4,185.03,-3.11
04022025,50.79,185.03,187.99,190.26,184.0,186.52,0.81
05022025,34.72,186.52,201.0,201.0,186.03,189.2,1.44
06022025,57.34,189.2,191.35,191.39,186.92,187.99,-0.64
07022025,46.24,187.99,187.1,190.29,185.53,188.53,0.29
10022025,47.34,188.53,180.02,187.39,180.02,183.95,-2.43
11022025,61.99,183.95,185.5,185.97,175.0,178.24,-3.1
12022025,47.75,178.24,174.3,176.99,166.41,168.15,-5.66
13022025,62.24,168.15,168.15,173.0,166.41,167.56,-0.35
14022025,57.35,167.56,168.8,168.8,157.0,160.71,-4.09
17022025,48.81,160.71,158.43,165.49,158.43,164.68,2.47
18022025,58.65,164.68,166.15,166.15,159.91,161.38,-2.0
19022025,54.15,161.38,160.01,165.6,160.01,163.92,1.57
20022025,55.0,163.92,163.15,166.6,162.85,165.42,0.92
21022025,48.94,165.42,165.75,171.99,164.61,165.26,-0.1
24022025,51.91,165.26,163.6,165.07,160.1,161.7,-2.15
25022025,54.48,161.7,160.1,163.93,160.0,160.57,-0.7
27022025,50.68,160.57,160.03,162.91,159.0,159.64,-0.58
28022025,57.9,159.64,160.39,160.69,155.3,156.43,-2.01
03032025,57.86,156.43,160.25,160.25,147.52,152.33,-2.62
04032025,46.58,152.33,151.5,156.0,150.11,153.0,0.44
05032025,56.82,153.0,153.04,165.65,153.04,163.57,6.91
06032025,72.3,163.57,163.75,166.59,163.2,165.12,0.95
07032025,57.24,165.12,164.6,168.67,163.35,164.25,-0.53
10032025,61.73,164.25,163.8,165.65,156.5,157.6,-4.05
11032025,57.33,157.6,156.94,157.14,154.0,154.53,-1.95
12032025,81.8,154.53,154.1,156.47,149.83,151.49,-1.97
13032025,76.89,151.49,152.09,155.0,151.0,151.23,-0.17
17032025,66.5,151.23,152.6,157.4,152.0,154.18,1.95
18032025,63.05,154.18,155.8,160.5,155.16,159.59,3.51
19032025,54.47,159.59,159.65,162.98,158.35,161.93,1.47
20032025,60.15,161.93,162.9,166.0,160.69,161.17,-0.47
21032025,36.77,161.17,161.17,172.0,161.17,170.1,5.54
24032025,55.76,170.1,171.6,175.79,167.5,168.86,-0.73
25032025,67.53,168.86,170.2,172.81,163.57,165.31,-2.1
26032025,78.43,165.31,165.3,166.61,160.36,160.86,-2.69
27032025,62.38,160.86,159.0,162.0,155.7,158.23,-1.63
28032025,82.78,158.23,157.6,162.8,155.99,156.42,-1.14
01042025,50.04,156.42,156.0,160.2,155.82,158.21,1.14
02042025,50.97,158.21,159.19,160.79,156.03,159.89,1.06
03042025,50.15,159.89,158.0,162.59,157.89,161.47,0.99
04042025,57.87,161.47,160.9,161.64,157.19,159.2,-1.41
07042025,51.44,159.2,154.9,161.0,151.21,160.05,0.53
08042025,54.57,160.05,161.15,163.5,159.86,161.3,0.78
09042025,47.39,161.3,161.35,161.42,157.16,160.48,-0.51
11042025,53.48,160.48,164.89,165.0,159.52,161.48,0.62
15042025,54.68,161.48,164.9,171.0,162.25,168.88,4.58
16042025,59.22,168.88,169.69,171.68,167.17,168.71,-0.1
17042025,46.97,168.71,168.0,172.77,167.55,169.99,0.76
21042025,53.05,169.99,170.95,172.33,168.5,169.91,-0.05
22042025,59.43,169.91,170.95,172.5,168.81,170.46,0.32
23042025,42.59,170.46,171.5,174.2,168.0,170.49,0.02
24042025,65.03,170.49,170.0,172.47,169.74,172.01,0.89
25042025,53.1,172.01,172.0,172.0,165.0,168.66,-1.95
28042025,54.0,168.66,166.56,171.45,165.5,169.84,0.7
29042025,45.16,169.84,170.98,171.3,167.52,169.14,-0.41
30042025,49.36,169.14,169.14,169.18,164.55,165.94,-1.89
02052025,45.43,165.94,164.0,169.24,164.0,165.95,0.01
05052025,59.03,165.95,166.75,169.65,164.99,168.86,1.75
06052025,56.66,168.86,168.8,170.1,165.01,165.63,-1.91
07052025,38.74,165.63,160.25,167.18,160.25,165.58,-0.03
08052025,49.17,165.58,167.1,172.49,165.2,167.39,1.09
09052025,42.29,167.39,168.43,172.0,162.01,170.67,1.96
12052025,64.35,170.67,173.1,175.97,168.01,171.74,0.63
13052025,45.78,171.74,172.7,174.8,170.01,172.23,0.29
14052025,51.21,172.23,173.0,176.95,172.12,175.62,1.97
15052025,45.65,175.62,175.6,179.15,174.81,176.72,0.63
16052025,53.02,176.72,176.76,178.2,174.8,176.55,-0.1
19052025,51.41,176.55,176.55,179.6,173.86,175.55,-0.57
20052025,45.25,175.55,176.55,179.96,173.91,175.32,-0.13
21052025,51.87,175.32,175.05,177.55,174.43,175.97,0.37
22052025,33.92,175.97,175.5,184.8,174.8,180.51,2.58
23052025,49.14,180.51,176.0,176.09,168.99,171.42,-5.04
26052025,57.99,171.42,173.0,173.87,170.8,171.24,-0.11
27052025,50.42,171.24,171.24,171.95,168.35,169.72,-0.89
28052025,59.63,169.72,169.5,172.0,168.5,171.19,0.87
29052025,46.38,171.19,171.0,171.22,169.0,169.49,-0.99
30052025,47.45,169.49,169.3,173.0,168.44,172.02,1.49
02062025,58.17,172.02,170.9,171.95,168.3,170.11,-1.11
03062025,52.51,170.11,170.5,171.69,169.0,169.66,-0.26
04062025,47.22,169.66,169.99,170.25,168.23,169.67,0.01
05062025,48.1,169.67,168.8,172.29,168.0,168.6,-0.63
06062025,46.51,168.6,168.05,169.99,167.45,169.22,0.37
09062025,55.2,169.22,170.04,172.8,169.61,171.73,1.48
10062025,57.1,171.73,172.5,176.99,172.2,174.16,1.42
11062025,50.25,174.16,174.26,176.4,172.31,175.01,0.49
12062025,43.73,175.01,175.9,175.9,170.45,171.95,-1.75
13062025,43.88,171.95,169.99,171.5,167.11,168.21,-2.18
16062025,49.09,168.21,168.97,169.7,166.71,167.97,-0.14
17062025,58.37,167.97,167.97,171.93,167.35,168.45,0.29
18062025,49.51,168.45,168.44,169.4,166.75,168.72,0.16
19062025,54.0,168.72,168.51,168.75,161.01,164.7,-2.38
20062025,39.16,164.7,163.8,167.44,162.11,166.19,0.9
23062025,44.45,166.19,166.0,171.87,163.71,170.48,2.58
24062025,40.55,170.48,170.76,172.8,168.2,168.72,-1.03
25062025,33.06,168.72,169.48,182.6,169.0,173.78,3.0
26062025,57.24,173.78,173.78,174.98,169.41,171.94,-1.06
27062025,47.62,171.94,170.7,173.0,170.7,172.19,0.15
30062025,46.72,172.19,172.05,174.69,171.47,172.97,0.45
01072025,57.31,172.97,173.25,173.72,171.8,173.03,0.03
02072025,71.19,173.03,173.95,173.95,171.0,171.62,-0.81
03072025,60.55,171.62,171.0,172.5,170.52,171.83,0.12
04072025,54.58,171.83,171.0,173.2,169.0,170.42,-0.82
07072025,63.24,170.42,171.9,172.8,171.01,171.51,0.64
08072025,57.71,171.51,172.8,172.89,171.1,171.26,-0.15
09072025,63.0,171.26,172.5,174.0,171.1,171.71,0.26
10072025,62.23,171.71,172.7,172.7,171.1,171.17,-0.31
11072025,52.85,171.17,171.1,171.98,168.42,170.27,-0.53
14072025,43.94,170.27,171.3,171.3,168.02,169.3,-0.57
15072025,55.51,169.3,169.29,173.53,169.29,169.87,0.34
16072025,37.34,169.87,170.7,176.55,168.35,171.04,0.69
17072025,58.78,171.04,169.35,172.18,169.35,170.98,-0.04
18072025,55.01,170.98,170.37,172.72,169.3,170.59,-0.23
21072025,43.79,170.59,170.25,172.2,169.02,171.53,0.55
22072025,52.77,171.53,171.1,172.5,171.08,171.76,0.13
23072025,57.82,171.76,171.9,172.79,170.0,172.32,0.33
24072025,56.23,172.32,172.8,174.75,170.57,172.72,0.23
25072025,48.94,172.72,172.0,172.5,170.0,170.19,-1.46
28072025,51.32,170.19,160.48,162.0,151.49,153.11,-10.04
29072025,61.38,153.11,155.0,155.0,152.74,153.83,0.47
30072025,94.26,153.83,155.0,155.0,153.51,154.12,0.19
31072025,47.98,154.12,154.3,155.0,152.81,154.02,-0.06
01082025,60.57,154.02,152.9,155.0,150.6,151.87,-1.4
04082025,62.23,151.87,153.2,154.78,150.91,152.27,0.26
05082025,69.36,152.27,152.9,153.49,148.44,148.89,-2.22
06082025,57.89,148.89,150.74,150.74,141.62,144.31,-3.08
07082025,69.15,144.31,145.35,146.41,139.92,141.12,-2.21
08082025,57.22,141.12,142.4,146.97,140.17,142.3,0.84
11082025,50.73,142.3,144.99,144.99,141.51,142.55,0.18
12082025,59.9,142.55,143.55,145.85,143.0,145.12,1.8
13082025,66.85,145.12,145.15,146.18,144.0,144.27,-0.59
14082025,42.69,144.27,144.27,152.44,143.22,148.01,2.59
18082025,62.33,148.01,149.1,150.0,145.51,146.35,-1.12
19082025,57.87,146.35,146.95,150.31,146.36,147.68,0.91
20082025,63.83,147.68,146.8,148.0,146.6,147.05,-0.43
21082025,53.76,147.05,147.05,150.0,147.05,148.34,0.88
22082025,53.75,148.34,148.25,149.4,146.79,147.52,-0.55
25082025,69.48,147.52,147.58,152.8,147.13,149.89,1.61
26082025,53.42,149.89,149.89,150.49,146.22,147.26,-1.75
28082025,47.38,147.26,147.98,149.6,144.0,148.31,0.71
29082025,56.48,148.31,147.7,150.37,147.0,147.59,-0.49
01092025,58.62,147.59,147.59,150.0,147.41,149.01,0.96
02092025,54.78,149.01,150.0,152.06,148.95,150.73,1.15
03092025,33.96,150.73,150.73,153.24,149.6,152.59,1.23
04092025,51.09,152.59,153.9,154.49,149.83,151.48,-0.73
05092025,52.3,151.48,152.7,153.9,150.99,152.28,0.53
08092025,55.13,152.28,153.35,155.6,152.71,154.56,1.5
09092025,72.9,154.56,154.56,156.48,153.31,154.27,-0.19
10092025,61.32,154.27,154.68,156.36,154.27,155.66,0.9
11092025,22.75,155.66,152.94,152.94,147.6,151.39,-2.74
12092025,49.14,151.39,151.39,152.34,150.0,151.72,0.22
15092025,58.39,151.72,151.46,153.0,150.7,152.06,0.22
16092025,61.19,152.06,152.06,152.96,151.0,151.39,-0.44
17092025,58.02,151.39,151.39,154.01,151.39,152.36,0.64
18092025,55.29,152.36,152.36,154.29,150.65,152.02,-0.22
19092025,56.96,152.02,151.41,151.89,150.15,150.42,-1.05
22092025,58.54,150.42,150.42,153.42,149.5,149.57,-0.57
23092025,77.56,149.57,149.06,150.52,147.55,148.18,-0.93
24092025,65.42,148.18,147.6,148.51,145.81,146.03,-1.45
25092025,62.27,146.03,146.0,146.69,145.4,145.76,-0.18
26092025,59.6,145.76,145.15,145.39,141.15,143.96,-1.23
29092025,59.03,143.96,143.5,144.79,141.31,142.55,-0.98
30092025,59.18,142.55,142.01,151.12,141.12,147.95,3.79
01102025,49.45,147.95,149.0,150.7,147.92,149.39,0.97
03102025,66.28,149.39,148.07,149.9,148.0,149.36,-0.02
06102025,64.48,149.36,149.2,153.01,148.99,150.89,1.02
07102025,57.75,150.89,151.85,151.85,149.51,150.18,-0.47
08102025,75.83,150.18,149.09,151.0,149.0,149.17,-0.67
09102025,68.39,149.17,148.25,149.26,147.1,147.47,-1.14
10102025,31.8,147.47,147.0,148.5,146.0,146.89,-0.39
13102025,36.69,146.89,146.5,151.0,145.71,147.4,0.35
14102025,67.38,147.4,148.7,148.7,144.0,144.98,-1.64
15102025,97.02,144.98,144.25,146.5,144.25,146.1,0.77
16102025,63.35,146.1,145.6,147.95,145.35,146.66,0.38
17102025,64.44,146.66,147.5,147.51,144.99,145.65,-0.69
20102025,60.39,145.65,146.8,149.78,144.73,146.64,0.68
21102025,78.48,146.64,146.0,148.0,145.5,147.38,0.5
22102025,78.48,146.64,146.0,148.0,145.5,147.38,0.5
23102025,65.65,147.38,147.38,152.12,141.8,150.25,1.95
24102025,57.97,150.25,148.15,150.19,147.12,148.79,-0.97
27102025,73.18,148.79,147.53,148.79,146.71,147.53,-0.85
28102025,73.87,147.53,146.3,148.0,146.3,147.29,-0.16
29102025,57.29,147.29,147.0,148.49,146.55,147.23,-0.04
30102025,62.96,147.23,147.0,147.86,146.0,147.34,0.07
31102025,59.48,147.34,146.01,147.6,145.1,145.97,-0.93
03112025,62.85,145.97,145.01,146.79,145.01,145.76,-0.14
04112025,72.61,145.76,145.01,146.6,145.01,145.79,0.02
05112025,72.61,145.76,145.01,146.6,145.01,145.79,0.02
06112025,63.31,145.79,145.1,145.41,143.5,144.43,-0.93
07112025,52.22,144.43,143.52,147.66,142.61,146.82,1.65
10112025,51.95,146.82,146.0,147.0,141.35,142.5,-2.94
11112025,63.51,142.5,142.5,146.48,141.51,144.43,1.35
12112025,69.75,144.43,140.0,143.8,139.2,142.04,-1.65
13112025,69.99,142.04,140.1,144.07,140.1,142.34,0.21
14112025,70.72,142.34,141.02,142.8,137.81,140.22,-1.49
17112025,81.49,140.22,140.0,141.24,139.1,139.95,-0.19
18112025,58.39,139.95,139.05,149.15,139.05,141.22,0.91
19112025,56.3,141.22,142.7,142.7,139.1,139.79,-1.01
20112025,64.08,139.79,139.79,142.5,137.0,138.55,-0.89
21112025,76.68,138.55,139.98,143.39,139.93,140.24,1.22
24112025,83.6,140.24,140.25,141.31,139.75,140.19,-0.04
25112025,80.76,140.19,140.0,141.44,138.0,139.56,-0.45
26112025,58.29,139.56,139.93,140.68,137.06,138.8,-0.54
27112025,59.72,138.8,137.5,140.1,137.5,138.72,-0.06
