Date,DelPerc
31122024,36.38
01012025,16.61
02012025,18.78
03012025,28.4
06012025,37.37
07012025,18.29
08012025,24.43
09012025,30.4
10012025,28.21
13012025,41.89
14012025,23.0
15012025,39.74
16012025,20.98
17012025,18.53
20012025,27.23
21012025,19.44
22012025,26.62
23012025,26.18
24012025,36.53
27012025,54.12
28012025,35.13
29012025,35.33
30012025,26.47
31012025,32.58
03022025,38.93
04022025,43.06
05022025,29.57
06022025,26.9
07022025,30.13
10022025,48.33
11022025,55.36
12022025,46.32
13022025,17.94
14022025,27.94
17022025,51.92
18022025,47.16
19022025,34.44
20022025,47.64
21022025,19.02
24022025,49.07
25022025,44.21
27022025,38.77
28022025,22.49
03032025,34.25
04032025,19.55
05032025,37.93
06032025,37.48
07032025,39.19
10032025,49.75
11032025,48.73
12032025,54.99
13032025,42.19
17032025,51.38
18032025,41.09
19032025,34.53
20032025,49.57
21032025,31.79
24032025,34.31
25032025,41.16
26032025,31.26
27032025,63.19
28032025,50.66
01042025,52.97
02042025,57.56
03042025,47.41
04042025,55.55
07042025,49.24
08042025,52.05
09042025,48.9
11042025,58.51
15042025,51.07
16042025,36.7
17042025,40.46
21042025,40.31
22042025,40.13
23042025,52.57
24042025,55.79
25042025,58.96
28042025,54.5
29042025,42.96
30042025,42.69
02052025,35.67
05052025,42.69
06052025,55.75
07052025,39.92
08052025,40.94
09052025,26.37
12052025,48.53
13052025,46.08
14052025,39.49
15052025,35.89
16052025,41.3
19052025,36.98
20052025,53.26
21052025,31.55
22052025,42.66
23052025,52.14
26052025,46.65
27052025,43.95
28052025,31.2
29052025,29.18
30052025,33.37
02062025,44.33
03062025,40.88
04062025,39.1
05062025,36.22
06062025,39.81
09062025,49.46
10062025,48.99
11062025,44.54
12062025,54.65
13062025,62.99
16062025,81.78
09092025,72.61
10092025,64.03
11092025,54.29
12092025,58.39
15092025,54.96
16092025,57.52
17092025,51.69
18092025,52.14
19092025,50.7
22092025,59.27
23092025,60.95
24092025,57.39
25092025,57.12
26092025,58.09
29092025,50.87
30092025,52.46
01102025,50.27
03102025,63.42
06102025,46.73
07102025,53.66
08102025,60.87
09102025,47.92
10102025,49.13
13102025,57.63
14102025,53.84
15102025,56.67
16102025,51.81
17102025,52.64
20102025,62.82
21102025,43.39
22102025,43.39
23102025,40.4
24102025,55.13
27102025,42.57
28102025,49.1
29102025,61.97
30102025,48.85
31102025,51.21
03112025,57.08
04112025,64.03
05112025,64.03
06112025,66.99
07112025,53.04
10112025,47.58
11112025,50.83
12112025,50.18
13112025,22.72
14112025,56.98
17112025,60.56
18112025,58.55
19112025,59.17
20112025,47.84
21112025,55.44
24112025,55.44
25112025,52.01
26112025,53.59
27112025,36.95
28112025,39.49
01122025,58.5
02122025,51.78
03122025,53.94
04122025,10.61
05122025,36.53
08122025,50.84
09122025,28.41
10122025,52.84
11122025,51.29
12122025,48.72
15122025,56.36
16122025,57.03
17122025,20.55
18122025,45.76
19122025,52.26
22122025,39.35
23122025,44.79
24122025,48.83
25122025,48.83
26122025,55.48
29122025,46.79
30122025,59.48
31122025,42.32
01012026,47.33
02012026,54.98
05012026,50.33
06012026,47.75
07012026,27.92
08012026,46.68
09012026,52.34
12012026,70.32
13012026,16.29
14012026,28.87
15012026,28.87
16012026,51.88
19012026,45.54
20012026,34.75
21012026,38.03
22012026,47.61
23012026,64.73
27012026,53.15
28012026,47.88
29012026,44.02
30012026,52.29
02022026,41.9
03022026,81.84
04022026,48.38
05022026,39.54
06022026,36.4
09022026,46.49
10022026,52.01
