Date,DelPerc
02032020,64.85
03032020,48.54
04032020,74.26
05032020,31.45
06032020,53.13
09032020,61.82
10032020,61.82
11032020,50.26
12032020,59.14
13032020,40.12
16032020,53.87
17032020,54.32
18032020,48.86
19032020,61.83
20032020,50.64
23032020,68.5
24032020,74.16
25032020,88.66
26032020,70.06
27032020,65.28
30032020,47.28
31032020,96.23
01042020,99.94
02042020,99.94
03042020,95.4
06042020,95.4
07042020,72.05
08042020,98.46
09042020,85.55
10042020,85.55
13042020,89.93
15042020,78.53
16042020,58.09
17042020,94.13
20042020,84.41
21042020,88.09
22042020,86.64
23042020,77.91
24042020,83.26
27042020,70.08
28042020,79.74
29042020,74.09
30042020,91.64
01052020,91.64
04052020,87.31
05052020,80.01
06052020,98.5
07052020,62.98
08052020,62.47
11052020,79.08
12052020,78.88
13052020,86.92
14052020,48.85
15052020,73.25
18052020,65.56
19052020,65.18
20052020,80.89
21052020,60.44
22052020,64.03
25052020,64.03
26052020,35.24
27052020,63.14
28052020,49.05
29052020,68.19
01062020,44.05
02062020,62.31
03062020,61.76
04062020,91.37
05062020,94.67
08062020,50.09
09062020,55.32
10062020,65.4
11062020,55.59
12062020,69.82
15062020,74.89
16062020,54.38
17062020,76.16
18062020,79.8
19062020,67.13
22062020,69.52
23062020,61.97
24062020,74.64
25062020,73.55
26062020,75.95
29062020,84.42
30062020,75.38
01072020,75.53
02072020,54.94
03072020,90.79
06072020,90.89
07072020,74.42
08072020,97.65
09072020,73.56
10072020,73.47
13072020,66.6
14072020,51.94
15072020,56.83
16072020,79.75
17072020,69.32
20072020,66.03
21072020,76.95
22072020,86.42
23072020,74.01
24072020,88.71
27072020,100.0
28072020,100.0
29072020,100.0
30072020,100.0
31072020,100.0
03082020,100.0
04082020,100.0
05082020,78.78
06082020,82.17
07082020,99.2
10082020,96.73
11082020,100.0
12082020,100.0
13082020,100.0
14082020,64.94
17082020,87.73
10112020,79.67
11112020,82.26
12112020,92.25
13112020,84.03
16112020,61.69
17112020,79.49
18112020,75.36
19112020,81.32
20112020,84.42
23112020,92.03
24112020,100.0
25112020,91.56
26112020,67.8
27112020,68.89
30112020,68.89
01122020,89.59
02122020,84.55
03122020,77.37
04122020,79.65
07122020,65.53
08122020,68.04
09122020,99.79
10122020,79.42
11122020,64.4
14122020,78.21
15122020,79.65
16122020,73.42
17122020,88.16
18122020,72.9
21122020,59.78
22122020,80.61
23122020,84.43
24122020,69.13
25122020,69.13
28122020,50.85
29122020,60.28
30122020,81.02
31122020,86.44
01012021,57.85
04012021,70.1
05012021,79.35
06012021,75.01
07012021,72.17
08012021,68.36
11012021,98.08
12012021,75.81
13012021,63.73
14012021,62.24
15012021,87.39
18012021,90.59
19012021,77.02
20012021,68.23
21012021,70.8
22012021,86.85
25012021,58.32
27012021,70.9
28012021,70.32
29012021,60.0
01022021,87.64
02022021,75.83
03022021,59.83
04022021,79.53
05022021,68.54
08022021,65.52
09022021,56.13
10022021,59.29
11022021,50.26
12022021,58.14
15022021,58.58
16022021,61.32
17022021,59.38
18022021,67.31
19022021,70.17
22022021,89.61
23022021,50.2
24022021,64.92
25022021,59.88
26022021,47.33
01032021,59.31
02032021,62.44
03032021,50.74
04032021,59.61
05032021,79.06
08032021,38.09
09032021,88.63
10032021,70.54
11032021,70.54
12032021,60.74
15032021,65.87
16032021,49.88
17032021,56.62
18032021,72.37
19032021,81.87
22032021,52.21
23032021,57.83
24032021,70.01
25032021,91.55
26032021,83.19
29032021,83.19
30032021,60.41
31032021,83.39
01042021,35.45
02042021,35.45
05042021,63.68
06042021,85.27
07042021,70.89
08042021,69.38
09042021,54.33
12042021,61.66
13042021,60.33
14042021,60.33
15042021,65.64
16042021,64.42
19042021,67.21
20042021,63.25
21042021,63.25
22042021,71.66
