Date,DelPerc
15012020,100.0
16012020,67.65
17012020,26.8
20012020,63.46
21012020,62.8
22012020,89.04
23012020,53.88
24012020,55.39
27012020,59.83
28012020,64.45
29012020,53.74
30012020,28.79
31012020,41.85
03022020,23.0
04022020,18.17
05022020,32.53
06022020,48.29
07022020,12.12
10022020,17.16
11022020,31.15
12022020,22.9
13022020,6.43
14022020,42.19
17022020,30.24
18022020,3.09
19022020,62.62
20022020,16.68
21022020,16.68
24022020,73.94
25022020,54.82
26022020,33.1
27022020,24.43
28022020,54.48
02032020,42.14
03032020,41.37
04032020,64.46
05032020,98.44
06032020,98.75
09032020,31.18
10032020,31.18
11032020,77.45
12032020,81.92
13032020,97.61
16032020,26.89
17032020,92.77
18032020,72.15
19032020,54.53
20032020,48.74
23032020,61.56
24032020,49.44
25032020,51.14
26032020,35.86
27032020,63.24
30032020,85.52
31032020,57.59
01042020,48.55
02042020,48.55
03042020,70.6
06042020,70.6
07042020,58.77
08042020,50.99
09042020,60.04
10042020,60.04
13042020,32.81
15042020,21.35
16042020,50.4
17042020,29.81
20042020,43.01
21042020,42.5
22042020,28.49
23042020,38.09
24042020,49.63
27042020,45.8
28042020,66.1
29042020,60.46
30042020,59.29
01052020,59.29
04052020,51.64
05052020,38.12
06052020,29.09
07052020,41.17
08052020,29.61
11052020,38.72
12052020,35.82
13052020,32.77
14052020,53.97
15052020,59.9
18052020,97.85
19052020,14.86
20052020,30.9
21052020,42.16
22052020,12.61
25052020,12.61
26052020,58.14
27052020,43.2
28052020,90.21
29052020,43.78
01062020,50.86
02062020,93.58
03062020,40.96
04062020,45.81
05062020,88.35
08062020,67.07
09062020,52.92
10062020,55.18
11062020,70.69
12062020,5.44
15062020,38.01
16062020,42.96
17062020,61.92
18062020,56.62
19062020,52.1
22062020,44.18
23062020,47.04
24062020,54.13
25062020,54.41
26062020,69.18
29062020,33.63
30062020,46.49
01072020,45.68
02072020,48.26
03072020,43.84
06072020,55.61
07072020,30.63
08072020,10.97
09072020,90.27
10072020,86.88
13072020,41.23
14072020,52.67
15072020,53.84
16072020,32.21
17072020,56.01
20072020,89.16
21072020,53.54
22072020,49.58
23072020,66.49
24072020,61.01
27072020,48.41
28072020,46.92
29072020,64.59
30072020,93.91
31072020,64.43
03082020,39.56
04082020,56.87
05082020,73.69
06082020,39.41
07082020,64.48
10082020,74.69
11082020,61.31
12082020,59.65
13082020,64.98
14082020,62.79
17082020,8.72
18082020,81.01
19082020,66.95
20082020,68.61
21082020,77.51
24082020,65.17
25082020,7.39
26082020,37.95
27082020,72.28
28082020,81.5
31082020,14.54
01092020,3.55
02092020,80.58
03092020,54.09
04092020,57.48
07092020,61.39
08092020,56.0
09092020,62.42
10092020,56.8
11092020,55.6
14092020,79.91
15092020,66.83
16092020,82.46
17092020,99.45
18092020,51.12
21092020,27.76
22092020,27.93
23092020,33.03
24092020,11.67
25092020,52.3
28092020,38.68
29092020,29.1
30092020,27.93
01102020,49.6
05102020,23.22
06102020,74.14
07102020,74.96
08102020,50.56
