Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,47.74,528.5,533.7,537.7,519.95,534.1,1.06
02012025,47.7,534.1,539.0,549.9,527.1,547.35,2.48
03012025,45.99,547.35,555.0,565.4,544.1,552.7,0.98
06012025,55.38,552.7,548.0,552.7,495.95,504.2,-8.78
07012025,54.24,504.2,511.25,519.0,504.35,515.75,2.29
08012025,53.11,515.75,519.8,519.8,495.0,498.6,-3.33
09012025,55.9,498.6,492.0,513.9,490.3,501.65,0.61
10012025,56.63,501.65,505.0,505.75,466.2,473.1,-5.69
13012025,51.71,473.1,458.0,466.2,425.55,430.65,-8.97
14012025,48.83,430.65,425.25,468.05,425.25,459.1,6.61
15012025,46.85,459.1,455.05,489.6,453.1,471.85,2.78
16012025,89.16,471.85,477.9,489.7,473.05,487.6,3.34
17012025,60.37,487.6,493.95,501.15,478.55,497.1,1.95
20012025,23.59,497.1,497.1,551.0,491.05,526.4,5.89
21012025,23.78,526.4,526.4,548.9,507.8,538.8,2.36
22012025,26.08,538.8,548.0,560.0,511.45,524.5,-2.65
23012025,43.49,524.5,530.0,530.0,515.0,517.65,-1.31
24012025,39.55,517.65,520.65,522.0,503.1,505.95,-2.26
27012025,94.6,505.95,510.8,511.0,471.05,475.2,-6.08
28012025,44.62,475.2,481.55,523.6,460.1,496.05,4.39
29012025,44.6,496.05,496.05,505.1,488.05,498.85,0.56
30012025,39.35,498.85,498.85,531.9,495.0,503.8,0.99
31012025,52.01,503.8,504.1,517.9,475.8,494.25,-1.9
03022025,54.28,476.75,482.9,482.9,467.55,473.8,-0.62
04022025,57.86,473.8,477.3,482.5,472.35,478.4,0.97
05022025,17.6,478.4,479.25,502.0,475.7,491.9,2.82
06022025,45.64,491.9,491.05,498.25,485.9,492.5,0.12
07022025,64.36,492.5,483.0,498.0,477.0,479.35,-2.67
10022025,51.38,479.35,468.1,477.0,453.2,460.1,-4.02
11022025,71.05,460.1,457.2,466.9,448.8,459.3,-0.17
12022025,60.73,459.3,454.0,464.75,442.0,461.9,0.57
13022025,54.01,461.9,453.6,475.25,453.6,471.6,2.1
14022025,52.87,471.6,470.2,472.6,446.0,460.75,-2.3
17022025,56.21,460.75,450.0,460.75,441.1,444.3,-3.57
18022025,53.29,444.3,443.5,450.0,435.55,441.05,-0.73
19022025,30.97,441.05,435.5,449.45,435.5,442.85,0.41
20022025,60.92,442.85,431.0,453.3,431.0,450.25,1.67
21022025,47.21,450.25,455.0,463.15,451.15,459.9,2.14
24022025,53.0,459.9,452.55,464.85,443.1,454.6,-1.15
25022025,55.97,454.6,457.0,462.0,446.0,451.35,-0.71
27022025,66.99,451.35,453.55,455.0,439.0,449.2,-0.48
28022025,51.32,449.2,443.5,451.9,423.05,443.25,-1.32
03032025,64.24,443.25,441.95,445.2,418.15,422.6,-4.66
04032025,95.58,422.6,419.1,427.05,404.95,412.85,-2.31
05032025,27.35,412.85,417.95,482.95,417.95,452.95,9.71
06032025,53.99,452.95,454.9,464.0,451.5,459.7,1.49
07032025,71.14,459.7,452.0,468.2,452.0,459.7,0.0
10032025,64.49,459.7,462.05,469.0,437.0,442.8,-3.68
11032025,59.96,442.8,436.15,465.0,430.45,454.3,2.6
12032025,55.89,454.3,447.5,455.0,434.45,439.25,-3.31
13032025,62.32,439.25,445.0,455.55,434.0,441.7,0.56
17032025,74.53,441.7,441.0,451.05,441.0,447.95,1.41
18032025,69.35,447.95,446.95,455.55,446.05,451.8,0.86
19032025,52.58,451.8,456.1,463.0,451.1,452.45,0.14
20032025,68.55,452.45,454.65,465.6,454.15,459.2,1.49
21032025,46.46,459.2,461.45,464.7,450.35,452.15,-1.54
24032025,62.19,452.15,452.15,467.85,447.55,449.75,-0.53
25032025,69.26,449.75,456.15,456.15,426.25,430.5,-4.28
26032025,60.36,430.5,428.9,435.9,422.95,429.5,-0.23
27032025,57.18,429.5,432.75,435.6,410.0,421.35,-1.9
