Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,45.99,338.1,338.1,344.95,338.1,342.8,1.39
02012025,48.0,342.8,346.9,348.05,342.5,347.05,1.24
03012025,39.65,347.05,348.45,357.2,345.0,347.7,0.19
06012025,56.44,347.7,347.7,349.45,330.65,332.2,-4.46
07012025,45.12,332.2,333.2,336.9,328.35,333.35,0.35
08012025,46.48,333.35,335.0,336.45,328.0,331.25,-0.63
09012025,57.87,331.25,331.2,331.6,321.05,323.1,-2.46
10012025,59.24,323.1,322.0,323.8,303.9,309.35,-4.26
13012025,66.1,309.35,314.0,314.0,289.5,291.75,-5.69
14012025,39.49,291.75,291.75,306.65,291.75,299.9,2.79
15012025,57.34,299.9,300.05,306.85,296.1,304.1,1.4
16012025,45.97,304.1,302.2,312.75,302.15,306.65,0.84
17012025,44.62,306.65,306.65,309.0,299.55,303.85,-0.91
20012025,39.7,303.85,306.05,316.2,303.0,311.55,2.53
21012025,46.81,311.55,309.65,315.4,303.05,304.9,-2.13
22012025,35.24,304.9,304.9,316.45,294.0,303.25,-0.54
23012025,40.82,303.25,298.7,303.6,296.95,298.8,-1.47
24012025,67.03,298.8,299.3,301.3,292.0,293.6,-1.74
27012025,52.39,293.6,293.0,297.15,280.0,282.6,-3.75
28012025,54.45,282.6,282.0,287.85,274.55,282.25,-0.12
29012025,55.79,282.25,282.0,297.1,279.6,284.75,0.89
30012025,51.53,284.75,288.75,290.6,278.55,282.25,-0.88
31012025,50.52,282.25,285.0,294.45,281.8,289.5,2.57
03022025,50.36,292.25,289.9,289.9,282.0,285.8,-2.21
04022025,50.69,285.8,286.0,291.7,285.35,287.25,0.51
05022025,53.24,287.25,290.1,304.0,285.3,297.8,3.67
06022025,49.29,297.8,275.0,282.9,272.1,273.5,-8.16
07022025,62.3,273.5,271.0,274.4,270.0,271.15,-0.86
10022025,60.19,271.15,274.0,274.0,261.3,262.55,-3.17
11022025,56.52,262.55,262.65,262.65,248.8,252.4,-3.87
12022025,61.42,252.4,251.0,254.25,245.0,249.15,-1.29
13022025,48.8,249.15,246.0,253.1,244.95,246.2,-1.18
14022025,46.41,246.2,243.9,249.4,229.9,233.3,-5.24
17022025,48.81,233.3,233.3,238.55,227.6,229.75,-1.52
18022025,58.39,229.75,230.1,233.55,222.2,224.15,-2.44
19022025,53.29,224.15,220.8,238.0,219.05,234.55,4.64
20022025,39.68,234.55,234.7,244.1,234.4,238.05,1.49
21022025,42.24,238.05,238.75,243.75,229.35,231.8,-2.63
24022025,45.8,231.8,232.5,245.0,223.55,239.75,3.43
25022025,47.91,239.75,236.15,239.95,231.7,234.75,-2.09
27022025,53.25,234.75,228.0,232.35,223.0,224.5,-4.37
28022025,83.76,224.5,224.5,224.65,211.75,213.25,-5.01
03032025,53.01,213.25,213.8,218.19,196.9,201.94,-5.3
04032025,62.58,201.94,199.7,208.95,186.9,191.77,-5.04
05032025,45.76,191.77,191.11,209.39,191.09,201.5,5.07
06032025,45.52,201.5,199.9,211.65,199.89,206.44,2.45
07032025,45.83,206.44,207.6,221.48,206.77,218.41,5.8
10032025,58.2,218.41,215.15,222.7,201.86,205.63,-5.85
11032025,59.53,205.63,204.69,209.98,197.45,206.14,0.25
12032025,60.14,206.14,204.25,208.0,201.05,202.88,-1.58
13032025,49.4,202.88,203.4,204.78,196.0,202.0,-0.43
17032025,61.8,202.0,200.05,204.59,196.0,197.09,-2.43
18032025,53.18,197.09,197.1,206.69,197.1,204.22,3.62
19032025,56.39,204.22,204.0,212.0,204.0,210.52,3.08
20032025,57.97,210.52,213.65,216.06,208.0,210.94,0.2
21032025,43.4,210.94,210.94,221.08,210.61,218.95,3.8
24032025,58.49,218.95,217.57,225.29,217.5,220.05,0.5
25032025,62.08,220.05,221.0,223.29,210.25,211.37,-3.94
26032025,63.73,211.37,211.45,213.5,202.95,204.86,-3.08
27032025,53.92,204.86,204.75,209.0,202.05,203.96,-0.44
28032025,51.22,203.96,205.25,211.0,199.81,203.17,-0.39
01042025,35.74,203.17,204.84,214.8,203.72,211.52,4.11
02042025,33.79,211.52,214.7,214.7,205.3,212.07,0.26
03042025,56.37,212.07,209.71,224.38,209.7,221.85,4.61
04042025,60.91,221.85,221.8,222.55,211.58,214.06,-3.51
07042025,50.5,214.06,198.6,208.74,195.14,207.12,-3.24
08042025,41.43,207.12,210.55,213.17,209.0,212.89,2.79
09042025,47.89,212.89,215.6,215.6,206.8,209.13,-1.77
11042025,54.66,209.13,211.85,215.01,211.21,212.6,1.66
15042025,48.12,212.6,214.3,232.59,214.18,226.52,6.55
16042025,46.58,226.52,230.3,235.97,226.89,232.69,2.72
17042025,30.69,232.69,229.12,248.63,229.12,237.78,2.19
21042025,22.31,237.78,242.1,281.96,240.0,262.32,10.32
22042025,40.22,262.32,263.0,270.79,260.41,265.32,1.14
23042025,36.58,265.32,264.17,268.19,260.01,262.45,-1.08
24042025,37.53,262.45,260.55,280.79,260.55,273.18,4.09
25042025,53.73,273.18,271.65,274.0,249.95,251.85,-7.81
28042025,45.34,251.85,254.0,255.52,244.1,247.55,-1.71
29042025,52.98,247.55,248.8,255.0,244.0,245.61,-0.78
30042025,55.27,245.61,243.0,247.51,236.61,238.24,-3.0
02052025,49.11,238.24,238.24,240.59,228.7,229.88,-3.51
05052025,56.59,229.88,231.9,235.0,229.51,231.6,0.75
06052025,54.35,231.6,232.74,232.74,222.01,225.07,-2.82
07052025,51.14,225.07,220.1,226.0,218.71,222.36,-1.2
08052025,46.69,222.36,224.1,230.69,222.69,224.47,0.95
09052025,48.08,224.47,215.3,225.0,214.36,221.55,-1.3
12052025,53.37,221.55,229.4,242.0,229.4,239.79,8.23
13052025,43.99,239.79,238.4,254.8,232.9,249.46,4.03
14052025,39.42,249.46,249.0,261.0,247.41,254.99,2.22
15052025,51.7,254.99,252.0,256.0,249.68,251.59,-1.33
16052025,54.91,251.59,253.8,259.0,252.19,256.49,1.95
19052025,55.16,256.49,258.0,274.01,256.28,265.79,3.63
20052025,53.09,265.79,262.99,266.7,257.01,261.88,-1.47
21052025,50.46,261.88,261.85,264.98,257.82,263.72,0.7
22052025,50.44,263.72,261.3,265.12,261.01,262.43,-0.49
23052025,50.03,262.43,262.54,268.52,261.22,264.8,0.9
26052025,56.02,264.8,263.48,268.0,260.0,261.99,-1.06
27052025,61.94,261.99,261.0,263.3,247.9,254.17,-2.98
28052025,46.38,254.17,244.0,249.99,240.77,245.6,-3.37
29052025,57.41,245.6,244.01,248.01,238.7,240.69,-2.0
30052025,61.53,240.69,240.67,243.01,237.07,238.55,-0.89
02062025,38.25,238.55,239.75,244.78,234.91,241.65,1.3
03062025,47.42,241.65,242.25,245.67,239.7,240.89,-0.31
04062025,47.84,240.89,241.25,244.77,236.25,240.12,-0.32
05062025,39.3,240.12,240.0,247.65,240.0,243.65,1.47
06062025,48.65,243.65,244.84,252.7,244.11,248.03,1.8
09062025,45.26,248.03,253.0,259.84,248.71,254.32,2.54
10062025,46.68,254.32,255.9,258.6,251.02,253.28,-0.41
11062025,44.94,253.28,252.0,264.0,252.0,260.02,2.66
12062025,62.54,260.02,262.65,263.41,252.0,252.8,-2.78
13062025,49.62,252.8,250.01,251.96,245.81,250.31,-0.98
16062025,38.08,250.31,250.99,253.69,245.0,248.95,-0.54
17062025,49.76,248.95,250.2,256.12,243.21,244.5,-1.79
18062025,55.51,244.5,244.5,247.89,237.9,240.1,-1.8
19062025,50.71,240.1,239.0,243.0,236.09,238.73,-0.57
20062025,60.18,238.73,239.9,242.89,237.06,241.68,1.24
23062025,46.47,241.68,239.0,241.8,237.39,240.97,-0.29
24062025,39.03,240.97,243.1,245.99,242.0,243.66,1.12
25062025,58.01,243.66,244.9,249.41,244.3,248.58,2.02
26062025,53.91,248.58,249.2,251.9,245.1,247.31,-0.51
27062025,46.11,247.31,249.15,251.01,247.4,248.81,0.61
30062025,52.84,248.81,249.75,252.5,247.8,249.83,0.41
01072025,51.89,249.83,248.15,252.7,247.01,248.0,-0.73
02072025,40.55,248.0,248.0,249.58,243.37,244.25,-1.51
03072025,42.71,244.25,246.4,247.75,243.24,244.82,0.23
04072025,68.0,244.82,243.0,246.33,243.0,244.65,-0.07
07072025,46.59,244.65,243.7,258.09,241.5,255.85,4.58
08072025,62.67,255.85,254.8,257.69,252.6,254.48,-0.54
09072025,54.93,254.48,254.65,259.0,251.0,251.99,-0.98
10072025,54.89,251.99,251.47,256.61,250.0,251.55,-0.17
11072025,59.35,251.55,247.05,252.86,246.6,248.32,-1.28
14072025,32.24,248.32,248.15,249.81,243.5,245.23,-1.24
15072025,71.41,245.23,245.0,248.5,243.07,243.76,-0.6
16072025,32.65,243.76,244.2,249.39,239.11,245.16,0.57
17072025,52.79,245.16,245.03,249.59,244.0,246.7,0.63
18072025,66.93,246.7,247.2,247.95,242.41,245.06,-0.66
21072025,52.5,245.06,247.0,248.3,243.01,247.18,0.87
22072025,63.95,247.18,247.65,248.25,243.1,244.05,-1.27
23072025,49.56,244.05,243.05,245.48,240.62,243.11,-0.39
24072025,59.07,243.11,245.29,245.29,241.0,241.62,-0.61
25072025,64.26,241.62,240.0,242.99,236.0,238.09,-1.46
28072025,57.79,238.09,237.88,240.2,230.17,232.14,-2.5
29072025,45.06,232.14,226.95,237.0,226.95,234.94,1.21
30072025,58.12,234.94,234.94,237.42,232.08,233.98,-0.41
31072025,52.18,233.98,233.98,234.36,230.0,233.26,-0.31
01082025,49.09,233.26,233.0,235.4,228.7,230.4,-1.23
04082025,60.02,230.4,228.4,231.13,226.63,229.01,-0.6
05082025,37.4,229.01,231.0,233.45,227.15,228.53,-0.21
06082025,57.78,228.53,229.42,231.0,225.99,227.96,-0.25
07082025,81.86,227.96,227.96,229.8,225.17,227.11,-0.37
08082025,25.87,227.11,231.0,245.0,231.0,234.7,3.34
11082025,58.94,234.7,237.0,237.19,229.1,230.45,-1.81
12082025,45.69,230.45,230.45,232.52,228.01,230.99,0.23
13082025,56.68,230.99,230.98,238.39,229.24,235.79,2.08
14082025,66.94,235.79,233.29,237.79,227.6,230.16,-2.39
18082025,54.42,230.16,230.5,236.6,229.21,232.22,0.9
19082025,62.69,232.22,232.65,232.65,226.0,231.3,-0.4
20082025,66.81,231.3,233.4,234.49,230.26,231.25,-0.02
21082025,62.19,231.25,231.25,237.45,230.55,233.89,1.14
22082025,59.04,233.89,231.5,236.34,230.0,231.72,-0.93
25082025,55.95,231.72,231.59,234.39,230.04,232.23,0.22
26082025,80.42,232.23,230.6,231.67,225.6,227.54,-2.02
28082025,78.35,227.54,225.55,227.01,223.5,224.0,-1.56
29082025,64.55,224.0,222.0,224.55,219.01,221.45,-1.14
01092025,58.38,221.45,221.0,223.8,217.25,218.57,-1.3
02092025,58.98,218.57,218.57,226.58,216.99,221.44,1.31
03092025,51.48,221.44,221.09,226.16,218.31,223.43,0.9
04092025,58.77,223.43,224.8,227.48,222.0,222.49,-0.42
05092025,72.26,222.49,224.2,224.2,220.62,223.07,0.26
08092025,73.42,223.07,223.0,225.0,221.19,223.3,0.1
09092025,59.81,223.3,224.8,225.57,221.41,221.95,-0.6
10092025,75.61,221.95,221.55,225.0,221.55,223.4,0.65
11092025,67.56,223.4,224.5,225.0,220.91,221.57,-0.82
