Date,DelPerc
21012021,99.68
22012021,100.0
25012021,100.0
27012021,64.41
28012021,93.37
29012021,88.67
01022021,73.09
02022021,62.03
03022021,9.9
04022021,64.92
05022021,41.5
08022021,69.98
09022021,53.48
10022021,62.97
11022021,77.47
12022021,94.89
15022021,89.37
16022021,96.31
17022021,74.38
18022021,91.75
19022021,82.61
22022021,80.2
23022021,53.13
24022021,16.36
25022021,65.05
26022021,0.0
01032021,61.67
02032021,8.7
03032021,65.99
04032021,40.03
05032021,72.27
08032021,93.92
09032021,89.88
10032021,72.31
11032021,72.31
12032021,78.39
15032021,93.86
16032021,1.54
17032021,84.33
18032021,44.07
19032021,41.78
22032021,17.24
23032021,41.78
24032021,0.43
25032021,31.87
26032021,65.92
29032021,65.92
30032021,6.37
31032021,1.04
01042021,15.69
02042021,15.69
05042021,65.97
06042021,51.11
07042021,5.88
08042021,6.12
09042021,6.67
12042021,53.68
13042021,25.23
14042021,25.23
15042021,14.29
16042021,63.01
19042021,20.88
20042021,41.3
21042021,41.3
22042021,74.17
23042021,72.16
26042021,84.61
21062022,98.16
22062022,69.69
23062022,52.0
24062022,34.84
27062022,56.37
28062022,1.15
29062022,10.87
30062022,14.44
01072022,55.56
04072022,45.25
05072022,24.89
06072022,20.14
07072022,42.31
08072022,74.25
11072022,11.11
12072022,1.84
13072022,65.2
14072022,21.13
15072022,0.58
18072022,94.81
19072022,92.27
20072022,33.23
21072022,33.13
22072022,18.23
25072022,13.88
26072022,54.45
27072022,19.47
28072022,37.05
29072022,25.09
01082022,5.95
02082022,18.02
03082022,85.45
04082022,9.78
05082022,37.0
10082022,23.32
11082022,10.14
12082022,38.85
16082022,65.38
17082022,90.88
18082022,63.07
19082022,97.78
22082022,60.88
23082022,59.01
24082022,50.22
25082022,30.96
26082022,33.55
29082022,18.13
30082022,29.69
31082022,29.69
01092022,69.09
02092022,15.95
05092022,67.8
06092022,56.12
07092022,55.45
08092022,66.52
09092022,29.1
12092022,17.49
13092022,1.71
14092022,42.2
15092022,18.71
16092022,18.75
19092022,21.43
20092022,11.17
21092022,40.3
22092022,87.74
23092022,34.91
26092022,87.04
27092022,1.35
28092022,29.1
29092022,47.15
30092022,35.29
03102022,17.79
04102022,14.17
05102022,14.17
06102022,58.51
07102022,21.8
10102022,14.12
11102022,42.62
12102022,3.44
13102022,25.1
14102022,8.14
17102022,1.43
18102022,48.63
19102022,5.98
20102022,36.29
21102022,6.19
24102022,68.52
25102022,38.67
26102022,38.67
27102022,56.84
28102022,27.17
31102022,50.4
01112022,49.53
02112022,44.29
03112022,51.93
04112022,45.28
07112022,36.33
08112022,36.33
09112022,83.28
10112022,56.22
11112022,49.56
14112022,43.56
15112022,56.6
16112022,62.7
17112022,55.24
18112022,39.14
21112022,70.8
22112022,33.55
23112022,53.85
24112022,27.15
25112022,31.54
28112022,87.47
29112022,51.78
30112022,49.88
01122022,59.45
02122022,53.02
05122022,67.78
06122022,79.23
07122022,24.26
08122022,62.99
09122022,72.07
12122022,52.41
13122022,50.55
14122022,67.84
15122022,61.81
16122022,72.23
19122022,40.59
20122022,66.24
21122022,69.76
22122022,45.16
23122022,80.39
26122022,51.16
27122022,78.95
28122022,72.04
29122022,70.84
30122022,68.25
02012023,61.15
03012023,61.09
04012023,64.02
05012023,52.45
06012023,40.07
09012023,43.85
10012023,52.68
11012023,44.01
12012023,59.93
13012023,48.2
16012023,50.96
17012023,39.92
18012023,50.58
19012023,37.44
20012023,42.34
23012023,47.09
24012023,74.24
25012023,35.83
27012023,58.54
30012023,43.38
31012023,28.87
01022023,71.85
02022023,59.61
03022023,61.55
06022023,91.45
07022023,69.39
08022023,64.46
09022023,59.65
10022023,27.63
13022023,66.41
14022023,71.25
15022023,45.83
16022023,31.87
17022023,31.93
20022023,66.98
21022023,33.29
22022023,81.12
23022023,60.56
24022023,57.41
27022023,80.49
28022023,60.16
01032023,48.81
02032023,84.63
03032023,98.59
06032023,15.11
07032023,15.11
08032023,88.72
09032023,32.5
10032023,77.97
13032023,84.24
14032023,54.0
15032023,52.94
16032023,81.84
17032023,96.63
20032023,57.14
21032023,78.95
22032023,75.6
23032023,84.0
24032023,63.51
27032023,89.83
29032023,83.67
30032023,83.67
31032023,60.29
03042023,48.45
04042023,48.45
05042023,74.3
06042023,69.27
07042023,69.27
10042023,60.29
11042023,64.21
12042023,59.06
13042023,58.46
14042023,58.46
17042023,57.28
19042023,72.0
20042023,61.05
21042023,50.0
24042023,68.57
25042023,50.0
26042023,52.65
27042023,57.69
28042023,58.75
01052023,58.75
02052023,60.21
03052023,90.58
04052023,67.26
05052023,55.26
08052023,88.41
09052023,69.87
10052023,85.12
11052023,46.28
12052023,84.15
15052023,98.15
16052023,86.21
17052023,37.16
18052023,48.45
19052023,45.05
22052023,0.0
23052023,93.44
24052023,77.89
25052023,46.15
26052023,60.0
29052023,84.46
30052023,64.17
31052023,70.73
01062023,43.59
02062023,95.43
05062023,95.33
06062023,61.61
07062023,86.03
08062023,72.28
09062023,89.9
12062023,43.48
13062023,89.39
14062023,99.6
15062023,92.45
16062023,66.55
19062023,95.57
20062023,55.34
21062023,72.27
22062023,93.0
23062023,76.3
26062023,87.88
27062023,71.85
