Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01012025,55.88,675.3,678.1,738.0,674.6,724.2,7.24
02012025,54.7,724.2,735.1,760.0,728.05,737.8,1.88
03012025,54.94,737.8,742.8,751.8,730.55,746.75,1.21
06012025,46.55,746.75,746.75,749.65,696.1,704.05,-5.72
07012025,46.23,704.05,708.6,724.0,705.0,721.0,2.41
08012025,50.3,721.0,726.3,729.85,701.35,706.45,-2.02
09012025,64.76,706.45,705.45,711.75,689.15,694.45,-1.7
10012025,54.56,694.45,693.4,709.4,676.0,686.5,-1.14
13012025,57.64,686.5,689.0,690.0,645.0,653.9,-4.75
14012025,40.74,653.9,660.0,685.0,655.0,676.1,3.4
15012025,53.85,676.1,679.9,685.9,665.0,682.9,1.01
16012025,69.94,682.9,682.85,687.45,676.05,685.4,0.37
17012025,72.43,685.4,683.95,692.0,676.05,687.8,0.35
20012025,67.14,687.8,694.5,694.5,679.25,684.9,-0.42
21012025,48.11,684.9,687.3,717.05,675.0,683.45,-0.21
22012025,51.02,683.45,684.95,686.95,670.05,677.0,-0.94
23012025,58.3,677.0,679.0,686.3,673.05,676.95,-0.01
24012025,42.03,676.95,678.3,724.1,672.15,685.65,1.29
27012025,22.18,685.65,688.95,705.0,660.25,664.7,-3.06
28012025,57.76,664.7,673.85,682.0,652.6,663.5,-0.18
29012025,34.3,663.5,672.6,699.0,668.0,685.05,3.25
30012025,59.3,685.05,690.2,695.85,680.1,687.25,0.32
31012025,53.75,687.25,692.4,705.5,683.55,700.25,1.89
03022025,46.55,700.0,699.95,699.95,671.5,678.0,-3.14
04022025,52.68,678.0,684.5,702.45,680.0,697.35,2.85
05022025,50.19,697.35,697.35,703.45,690.75,692.9,-0.64
06022025,58.9,692.9,695.5,700.45,686.0,695.95,0.44
07022025,51.06,695.95,691.2,708.0,690.05,696.95,0.14
10022025,59.66,696.95,696.6,696.6,674.25,676.45,-2.94
11022025,53.94,676.45,676.0,676.4,645.15,648.5,-4.13
12022025,45.26,648.5,652.2,653.25,617.55,643.65,-0.75
13022025,50.07,643.65,648.5,662.75,637.95,641.35,-0.36
14022025,55.99,641.35,641.35,645.4,622.35,628.05,-2.07
17022025,55.49,628.05,626.0,627.45,610.0,617.9,-1.62
18022025,55.78,617.9,617.9,622.05,601.0,605.15,-2.06
19022025,64.53,605.15,605.2,619.9,602.55,612.15,1.16
20022025,70.03,612.15,611.9,614.8,597.5,602.55,-1.57
21022025,36.3,602.55,607.85,624.5,603.05,607.05,0.75
24022025,49.69,607.05,611.6,611.6,592.55,602.65,-0.72
25022025,70.11,602.65,597.8,614.9,597.75,602.5,-0.02
27022025,75.97,602.5,600.15,600.6,581.1,585.25,-2.86
28022025,65.93,585.25,585.55,592.0,560.0,563.4,-3.73
03032025,58.36,563.4,571.55,579.05,543.6,560.3,-0.55
04032025,84.17,560.3,556.05,570.1,552.0,560.65,0.06
05032025,64.99,560.65,562.85,585.1,562.85,578.8,3.24
06032025,60.3,578.8,582.2,594.95,576.7,586.65,1.36
07032025,54.37,586.65,590.1,606.0,584.25,598.4,2.0
10032025,79.64,598.4,598.4,605.5,584.05,588.15,-1.71
11032025,59.31,588.15,585.1,600.45,576.25,580.7,-1.27
12032025,70.32,580.7,586.5,592.3,572.3,588.3,1.31
13032025,52.64,588.3,590.0,594.95,581.0,582.85,-0.93
17032025,63.79,582.85,584.0,586.9,567.9,571.1,-2.02
18032025,67.89,571.1,578.2,600.65,575.1,581.35,1.79
19032025,62.81,581.35,581.6,600.0,581.6,596.3,2.57
20032025,59.95,596.3,600.0,625.6,600.0,616.55,3.4
21032025,50.74,616.55,617.05,627.95,609.0,611.55,-0.81
24032025,67.19,611.55,619.95,629.9,615.5,619.5,1.3
25032025,65.54,619.5,628.0,628.0,592.65,595.5,-3.87
26032025,62.35,595.5,604.45,605.4,569.0,574.9,-3.46
27032025,57.26,574.9,579.8,593.1,574.05,578.85,0.69
28032025,61.79,578.85,579.1,598.0,575.0,579.5,0.11
01042025,56.91,579.5,584.15,609.95,581.0,605.0,4.4
02042025,46.8,605.0,608.0,625.0,600.3,618.2,2.18
03042025,52.8,618.2,611.1,633.65,610.55,628.6,1.68
04042025,51.06,628.6,631.75,636.75,618.55,623.8,-0.76
07042025,48.01,623.8,600.0,606.6,577.05,587.5,-5.82
08042025,23.08,587.5,590.0,668.45,588.55,621.85,5.85
09042025,35.11,621.85,621.85,626.0,605.7,616.45,-0.87
11042025,44.85,616.45,618.25,650.0,618.25,638.2,3.53
15042025,51.14,638.2,645.0,648.65,636.35,641.35,0.49
16042025,41.16,641.35,644.6,665.0,641.35,659.3,2.8
17042025,46.83,659.3,659.3,678.0,652.55,671.6,1.87
21042025,40.36,671.6,673.0,716.5,671.0,687.4,2.35
22042025,50.83,687.4,687.55,712.4,687.55,705.95,2.7
23042025,40.14,705.95,705.05,710.8,682.8,696.6,-1.32
24042025,51.04,696.6,690.0,713.55,690.0,695.8,-0.11
25042025,45.28,695.8,691.0,704.0,670.85,678.3,-2.52
28042025,53.81,678.3,681.7,697.4,674.55,687.0,1.28
29042025,34.44,687.0,688.4,704.5,678.35,681.0,-0.87
30042025,57.58,681.0,685.0,685.0,669.8,676.7,-0.63
02052025,63.1,676.7,670.0,685.35,666.0,668.75,-1.17
05052025,50.92,668.75,668.75,678.45,666.0,668.35,-0.06
06052025,54.45,668.35,668.0,676.5,643.3,648.5,-2.97
07052025,41.51,648.5,644.0,663.5,636.7,656.75,1.27
08052025,50.97,656.75,662.0,669.0,645.0,649.65,-1.08
09052025,54.05,649.65,634.05,650.9,634.05,647.0,-0.41
12052025,50.32,647.0,690.0,690.0,671.55,680.05,5.11
13052025,48.77,680.05,689.4,725.0,682.55,720.5,5.95
14052025,50.16,720.5,720.0,744.0,710.0,727.2,0.93
15052025,51.59,727.2,735.0,768.7,730.6,737.1,1.36
16052025,51.38,737.1,737.0,745.4,731.4,733.65,-0.47
19052025,69.06,733.65,741.95,779.0,735.25,772.65,5.32
20052025,38.65,772.65,782.0,789.4,729.95,736.1,-4.73
21052025,40.2,736.1,742.0,767.05,730.0,751.35,2.07
22052025,54.03,751.35,755.0,767.15,742.0,755.9,0.61
23052025,53.9,755.9,761.95,773.6,747.0,764.05,1.08
26052025,50.34,764.05,765.05,773.35,760.1,761.95,-0.27
27052025,54.85,761.95,764.95,804.95,761.0,793.45,4.13
28052025,59.96,793.45,793.45,793.45,763.0,765.55,-3.52
29052025,52.52,765.55,770.0,776.0,760.0,766.65,0.14
30052025,67.6,766.65,770.0,770.0,733.7,739.85,-3.5
02062025,55.02,739.85,732.2,751.0,731.5,747.95,1.09
03062025,60.55,747.95,755.45,755.45,738.0,739.65,-1.11
04062025,35.9,739.65,747.05,751.5,736.55,744.2,0.62
05062025,53.04,744.2,740.4,774.85,740.4,746.65,0.33
06062025,42.46,746.65,754.5,780.0,741.65,745.1,-0.21
09062025,53.91,745.1,747.0,767.8,741.0,761.45,2.19
10062025,60.42,761.45,770.0,776.5,761.0,766.6,0.68
11062025,37.53,766.6,768.0,784.0,755.0,762.95,-0.48
12062025,62.25,762.95,770.0,773.6,742.05,744.5,-2.42
13062025,53.99,744.5,744.5,757.45,722.7,749.05,0.61
16062025,53.3,749.05,755.0,755.0,736.65,749.2,0.02
17062025,44.67,749.2,754.9,761.4,742.0,754.4,0.69
18062025,46.13,754.4,752.0,777.0,748.8,752.05,-0.31
19062025,45.39,752.05,750.0,767.0,737.0,743.15,-1.18
20062025,56.72,743.15,746.35,768.35,743.6,759.6,2.21
23062025,71.04,759.6,759.6,759.85,748.0,749.3,-1.36
24062025,65.55,749.3,755.3,769.4,747.0,751.8,0.33
25062025,52.77,751.8,760.0,788.0,757.55,769.5,2.35
26062025,35.8,769.5,770.0,799.0,769.95,776.2,0.87
27062025,39.19,776.2,784.75,812.45,783.35,790.5,1.84
30062025,39.92,790.5,799.0,846.65,791.6,813.7,2.93
01072025,39.15,813.7,821.85,839.9,814.0,820.6,0.85
02072025,38.4,820.6,828.0,832.0,805.7,811.95,-1.05
03072025,52.76,811.95,803.0,815.1,802.15,803.55,-1.03
04072025,59.99,803.55,810.0,823.75,798.25,821.75,2.26
07072025,49.16,821.75,825.0,828.0,795.05,800.35,-2.6
08072025,58.5,800.35,809.8,825.9,793.0,800.25,-0.01
09072025,57.62,800.25,799.8,808.9,793.65,800.8,0.07
10072025,50.1,800.8,802.0,802.6,782.0,787.1,-1.71
11072025,56.4,787.1,787.1,806.85,775.0,796.35,1.18
14072025,47.87,796.35,804.3,807.2,786.3,794.25,-0.26
15072025,56.89,794.25,797.0,814.95,792.25,798.15,0.49
16072025,52.66,798.15,803.0,818.0,800.4,808.3,1.27
17072025,51.24,808.3,802.05,826.5,802.05,808.4,0.01
18072025,47.35,808.4,815.0,817.85,796.25,813.85,0.67
21072025,55.47,813.85,815.0,851.0,815.0,826.2,1.52
22072025,62.01,826.2,823.0,833.7,817.35,828.9,0.33
23072025,50.53,828.9,833.0,836.0,818.5,825.55,-0.4
24072025,65.1,825.55,824.6,826.0,812.1,815.35,-1.24
25072025,57.65,815.35,812.0,814.0,791.55,797.4,-2.2
28072025,47.29,797.4,800.0,805.0,756.0,765.45,-4.01
29072025,47.51,765.45,766.0,776.3,762.0,772.95,0.98
30072025,64.85,772.95,780.0,780.0,770.0,772.5,-0.06
31072025,61.62,772.5,756.0,774.75,756.0,764.7,-1.01
01082025,65.25,764.7,760.0,774.45,745.0,750.1,-1.91
04082025,52.99,750.1,760.4,760.4,747.4,752.75,0.35
