Date,DelPerc
28092023,41.58
29092023,35.41
03102023,67.08
04102023,52.78
05102023,47.35
06102023,45.84
09102023,50.87
10102023,56.06
11102023,41.61
12102023,26.85
13102023,33.53
16102023,26.08
17102023,36.71
18102023,45.92
19102023,44.83
20102023,53.9
23102023,37.78
24102023,37.78
25102023,53.03
26102023,50.65
27102023,58.1
30102023,42.58
31102023,28.43
01112023,54.59
02112023,54.31
03112023,55.99
06112023,52.73
07112023,50.18
08112023,39.9
09112023,41.78
10112023,38.1
13112023,31.02
14112023,31.02
15112023,60.13
16112023,58.22
17112023,52.61
20112023,62.29
21112023,51.8
22112023,54.95
23112023,52.28
24112023,48.02
27112023,48.02
28112023,51.96
29112023,31.77
30112023,31.56
01122023,57.34
04122023,43.91
05122023,46.37
06122023,51.0
07122023,56.34
08122023,60.53
11122023,51.51
12122023,43.46
13122023,54.6
14122023,60.22
15122023,50.55
18122023,54.68
19122023,53.93
20122023,48.73
21122023,42.5
22122023,51.99
25122023,51.99
26122023,55.48
27122023,55.87
28122023,67.26
29122023,54.23
01012024,53.77
02012024,46.98
03012024,59.49
04012024,56.96
05012024,49.87
08012024,31.13
09012024,33.3
10012024,36.52
11012024,32.1
12012024,57.36
15012024,49.6
16012024,51.95
17012024,65.67
18012024,30.22
19012024,63.67
22012024,37.94
23012024,30.04
24012024,54.88
25012024,43.42
29012024,45.76
30012024,47.5
31012024,51.77
01022024,28.5
02022024,42.38
05022024,41.17
06022024,45.32
07022024,46.56
08022024,52.43
09022024,39.58
12022024,47.84
13022024,38.01
14022024,36.72
15022024,44.98
16022024,54.15
19022024,37.26
20022024,34.88
21022024,54.05
22022024,52.74
23022024,51.71
26022024,45.65
27022024,41.58
28022024,53.22
29022024,55.12
01032024,60.91
04032024,62.34
05032024,51.25
06032024,43.22
07032024,40.11
08032024,40.11
11032024,63.42
12032024,59.67
13032024,61.17
14032024,67.07
15032024,57.69
18032024,65.97
19032024,93.78
20032024,46.12
21032024,38.0
22032024,59.25
25032024,59.25
26032024,47.51
27032024,62.09
28032024,72.31
29032024,72.31
01042024,51.24
02042024,55.58
03042024,46.83
04042024,52.92
05042024,47.11
08042024,48.34
09042024,65.16
10042024,54.31
11042024,54.31
12042024,59.38
15042024,42.78
16042024,39.81
17042024,39.81
18042024,49.49
19042024,48.08
22042024,53.76
23042024,38.31
