Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,78.88,11.55,12.0,12.0,10.1,10.45,-9.52
03102019,89.3,10.45,10.05,10.25,9.7,10.0,-4.31
04102019,81.55,10.0,10.8,10.8,9.7,9.95,-0.5
07102019,73.63,9.95,10.2,10.2,9.8,9.95,0.0
08102019,73.63,9.95,10.2,10.2,9.8,9.95,0.0
09102019,74.67,9.95,9.8,10.05,9.7,9.95,0.0
10102019,92.23,9.95,9.85,10.0,9.85,9.95,0.0
11102019,79.8,9.95,10.05,10.05,9.25,9.75,-2.01
14102019,80.7,9.75,9.5,10.05,9.35,10.0,2.56
15102019,86.41,10.0,9.9,10.0,9.7,9.9,-1.0
16102019,91.02,9.9,10.3,10.3,9.95,10.15,2.53
17102019,89.01,10.15,10.2,10.25,9.85,10.0,-1.48
18102019,85.16,10.0,9.9,10.3,9.85,10.1,1.0
21102019,85.16,10.0,9.9,10.3,9.85,10.1,1.0
22102019,76.87,10.1,9.85,10.6,9.85,9.9,-1.98
23102019,87.3,9.9,9.85,10.3,9.85,10.0,1.01
24102019,97.22,10.0,10.0,10.1,9.85,10.05,0.5
25102019,91.58,10.05,10.3,10.3,9.85,9.95,-1.0
28102019,81.86,9.95,9.65,10.45,9.65,10.0,0.5
29102019,92.66,10.0,9.65,10.6,9.65,10.0,0.0
30102019,89.74,10.0,10.0,10.45,9.9,10.0,0.0
31102019,96.91,10.0,10.4,10.4,9.9,10.0,0.0
01112019,93.35,10.0,10.0,10.2,9.9,9.9,-1.0
04112019,99.35,9.9,10.0,10.0,9.95,10.0,1.01
05112019,99.49,10.0,10.0,10.15,9.9,9.9,-1.0
06112019,81.1,9.9,9.8,10.1,9.8,9.95,0.51
07112019,88.15,9.95,10.1,10.1,9.9,10.0,0.5
08112019,83.75,10.0,9.9,10.15,9.8,9.9,-1.0
11112019,81.4,9.9,10.0,11.4,9.8,10.05,1.52
12112019,81.4,9.9,10.0,11.4,9.8,10.05,1.52
13112019,78.12,10.05,9.5,10.35,9.4,9.95,-1.0
14112019,95.85,9.95,10.0,10.4,9.85,9.95,0.0
15112019,75.2,9.95,10.0,10.1,9.75,9.85,-1.01
18112019,83.91,9.85,10.3,10.3,9.9,10.0,1.52
19112019,96.65,10.0,10.0,10.05,9.9,10.0,0.0
20112019,85.18,10.0,9.95,10.1,9.9,10.05,0.5
21112019,86.59,10.05,10.1,10.2,9.95,10.0,-0.5
22112019,91.48,10.0,10.25,10.25,9.9,10.0,0.0
25112019,93.81,10.0,10.0,10.1,9.75,9.9,-1.0
26112019,92.82,9.9,9.95,10.05,9.9,10.0,1.01
27112019,85.74,10.0,10.1,10.1,9.9,9.95,-0.5
28112019,73.4,9.95,10.05,10.1,9.9,9.95,0.0
29112019,92.16,9.95,10.0,10.0,9.75,9.9,-0.5
02122019,92.25,9.9,10.2,10.8,9.95,10.0,1.01
03122019,88.83,10.0,10.05,10.05,9.85,9.95,-0.5
04122019,94.2,9.95,9.95,10.0,9.85,9.95,0.0
05122019,93.09,9.95,10.0,10.0,9.8,9.9,-0.5
06122019,77.25,9.9,10.0,10.2,9.85,9.9,0.0
09122019,75.38,9.9,9.9,10.0,9.05,9.65,-2.53
10122019,79.19,9.65,9.95,9.95,9.35,9.45,-2.07
11122019,77.93,9.45,9.7,9.95,8.55,9.35,-1.06
12122019,74.45,9.35,9.95,9.95,9.25,9.6,2.67
13122019,78.97,9.6,10.0,10.0,9.55,10.0,4.17
16122019,69.03,10.0,10.0,10.0,9.2,9.55,-4.5
17122019,76.43,9.55,9.55,9.6,8.7,9.5,-0.52
18122019,46.14,9.5,9.5,9.9,9.25,9.65,1.58
19122019,79.29,9.65,9.65,9.65,9.3,9.45,-2.07
20122019,83.27,9.45,9.45,10.0,9.05,9.95,5.29
23122019,97.44,9.95,10.0,10.1,9.95,10.0,0.5
24122019,71.83,10.0,10.5,12.0,10.0,12.0,20.0
25122019,71.83,10.0,10.5,12.0,10.0,12.0,20.0
26122019,66.04,12.0,13.45,14.4,13.2,14.4,20.0
27122019,72.54,14.4,15.0,15.0,13.2,13.4,-6.94
30122019,74.96,13.4,12.4,13.4,12.4,13.1,-2.24
31122019,67.69,13.1,13.15,14.4,12.3,14.35,9.54
01012020,81.95,14.35,14.6,15.75,14.3,15.75,9.76
02012020,47.82,15.75,15.9,17.3,15.9,17.3,9.84
03012020,61.97,17.3,18.0,19.0,15.8,18.65,7.8
06012020,66.17,18.65,19.0,19.3,17.75,17.75,-4.83
07012020,86.38,17.75,17.05,17.4,16.9,16.9,-4.79
08012020,83.01,16.9,16.1,16.5,16.1,16.1,-4.73
09012020,83.85,16.1,15.75,16.5,15.3,15.3,-4.97
10012020,55.85,15.3,14.65,16.05,14.55,16.05,4.9
13012020,66.35,16.05,16.45,16.85,16.0,16.85,4.98
14012020,96.89,16.85,17.45,17.65,17.45,17.65,4.75
15012020,67.23,17.65,18.15,18.45,16.8,16.85,-4.53
