Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,56.35,127.4,128.15,129.6,121.25,124.8,-2.04
03102019,42.9,124.8,124.8,125.5,118.1,121.45,-2.68
04102019,52.26,121.45,122.5,122.55,116.0,117.1,-3.58
07102019,54.31,117.1,118.0,118.65,113.05,113.8,-2.82
08102019,54.31,117.1,118.0,118.65,113.05,113.8,-2.82
09102019,34.76,113.8,114.7,119.15,109.55,114.7,0.79
10102019,73.12,114.7,114.0,117.0,109.0,110.9,-3.31
11102019,50.23,110.9,111.85,113.1,110.25,111.6,0.63
14102019,34.19,111.6,112.7,118.75,112.2,113.5,1.7
15102019,59.39,113.5,114.3,115.0,112.0,112.45,-0.93
16102019,34.92,112.45,113.5,117.8,112.65,114.3,1.65
17102019,51.42,114.3,114.9,115.5,113.45,114.9,0.52
18102019,50.28,114.9,115.7,120.0,115.0,117.3,2.09
21102019,50.28,114.9,115.7,120.0,115.0,117.3,2.09
22102019,48.7,117.3,118.8,120.6,115.75,116.3,-0.85
23102019,42.1,116.3,117.2,120.0,114.85,115.9,-0.34
24102019,57.64,115.9,116.2,117.6,114.5,114.95,-0.82
25102019,77.67,114.95,114.85,115.7,112.6,114.05,-0.78
28102019,50.72,114.05,115.45,115.5,113.9,114.85,0.7
29102019,52.12,114.85,117.0,121.8,114.1,119.1,3.7
30102019,52.66,119.1,120.6,120.6,115.65,117.55,-1.3
31102019,35.4,117.55,119.9,125.9,119.9,122.2,3.96
01112019,62.62,122.2,123.0,123.7,120.3,121.15,-0.86
04112019,20.6,121.15,122.5,131.5,120.25,121.5,0.29
05112019,57.22,121.5,121.5,123.7,120.0,120.45,-0.86
06112019,22.34,120.45,128.0,133.0,125.1,130.2,8.09
07112019,30.09,130.2,141.9,141.9,135.2,136.3,4.69
08112019,41.15,136.3,135.0,135.0,128.2,130.35,-4.37
11112019,49.73,130.35,129.7,129.7,125.0,125.45,-3.76
12112019,49.73,130.35,129.7,129.7,125.0,125.45,-3.76
13112019,56.7,125.45,126.0,126.95,122.5,123.15,-1.83
14112019,37.23,123.15,123.9,124.95,121.55,123.1,-0.04
15112019,36.13,123.1,121.25,124.8,121.0,121.8,-1.06
18112019,68.28,121.8,122.0,122.8,120.05,120.8,-0.82
19112019,58.43,120.8,120.6,122.5,119.85,120.5,-0.25
20112019,53.39,120.5,120.5,120.85,117.0,117.7,-2.32
21112019,34.78,117.7,118.7,123.75,118.7,120.55,2.42
22112019,53.22,120.55,121.15,121.3,117.45,118.0,-2.12
25112019,45.81,118.0,120.0,123.0,116.65,120.3,1.95
26112019,51.26,120.3,120.0,121.75,118.1,119.0,-1.08
27112019,53.18,119.0,120.0,121.5,118.5,118.7,-0.25
28112019,40.52,118.7,119.65,121.0,117.5,120.15,1.22
29112019,39.85,120.15,119.6,124.35,119.0,122.35,1.83
02122019,55.84,122.35,122.95,122.95,118.7,119.8,-2.08
03122019,43.33,119.8,120.55,122.8,118.0,119.95,0.13
04122019,40.85,119.95,119.8,124.9,118.1,122.9,2.46
05122019,54.04,122.9,123.4,125.0,119.2,120.2,-2.2
06122019,63.32,120.2,120.25,121.45,116.75,117.35,-2.37
09122019,52.11,117.35,118.65,118.65,115.55,116.35,-0.85
10122019,77.46,116.35,116.35,116.4,111.05,111.85,-3.87
11122019,54.58,111.85,112.15,114.45,111.05,112.15,0.27
12122019,48.61,112.15,113.5,114.4,112.0,113.15,0.89
13122019,55.05,113.15,113.5,116.9,113.5,116.35,2.83
16122019,59.75,116.35,116.6,116.7,112.85,113.6,-2.36
17122019,34.98,113.6,114.45,118.8,112.5,116.75,2.77
18122019,53.61,116.75,117.0,117.3,115.1,116.25,-0.43
19122019,69.98,116.25,115.0,115.75,112.45,113.7,-2.19
20122019,59.85,113.7,114.7,114.7,112.5,113.25,-0.4
23122019,18.0,113.25,113.2,129.0,113.15,120.55,6.45
24122019,47.83,120.55,119.1,120.45,116.0,117.1,-2.86
25122019,47.83,120.55,119.1,120.45,116.0,117.1,-2.86
26122019,58.78,117.1,117.75,120.9,116.0,117.3,0.17
27122019,37.74,117.3,116.75,122.0,115.2,116.0,-1.11
30122019,55.55,116.0,117.5,118.15,116.2,116.95,0.82
31122019,51.27,116.95,118.5,119.75,116.3,117.95,0.86
01012020,39.65,117.95,118.4,124.85,117.7,122.15,3.56
02012020,32.5,122.15,122.45,127.0,121.15,125.6,2.82
03012020,46.61,125.6,125.0,129.2,122.8,125.45,-0.12
06012020,52.22,125.45,124.9,125.5,119.25,120.7,-3.79
07012020,37.18,120.7,122.0,127.5,121.75,124.45,3.11
08012020,67.81,124.45,122.45,124.35,121.95,122.95,-1.21
09012020,42.79,122.95,124.2,134.4,124.2,132.95,8.13
10012020,20.61,132.95,150.2,155.6,145.3,146.5,10.19
13012020,35.75,146.5,146.5,147.5,138.7,141.9,-3.14
14012020,55.62,141.9,140.3,140.45,132.4,136.0,-4.16
15012020,29.28,136.0,134.5,148.2,133.15,143.7,5.66
16012020,60.08,143.7,143.05,146.2,142.5,143.35,-0.24
17012020,46.5,143.35,142.5,150.9,138.25,148.5,3.59
20012020,34.75,148.5,147.7,155.45,145.3,153.4,3.3
