Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,75.27,557.6,556.9,557.0,550.0,553.7,-0.7
03102019,48.97,553.7,550.45,554.2,548.15,548.95,-0.86
04102019,55.45,548.95,540.0,554.95,530.0,533.75,-2.77
07102019,66.17,533.75,534.0,534.0,517.95,521.2,-2.35
08102019,66.17,533.75,534.0,534.0,517.95,521.2,-2.35
09102019,72.78,521.2,521.85,521.9,505.3,508.8,-2.38
10102019,69.27,508.8,510.0,512.35,502.0,506.4,-0.47
11102019,73.8,506.4,501.15,512.3,489.75,507.55,0.23
14102019,55.65,507.55,508.0,524.0,508.0,513.75,1.22
15102019,60.32,513.75,519.05,523.4,501.3,505.8,-1.55
16102019,66.79,505.8,519.95,519.95,508.55,514.95,1.81
17102019,66.38,514.95,517.0,519.0,509.95,516.9,0.38
18102019,81.45,516.9,508.1,517.25,506.3,509.95,-1.34
21102019,81.45,516.9,508.1,517.25,506.3,509.95,-1.34
22102019,50.86,509.95,512.25,522.25,510.0,514.4,0.87
23102019,56.7,514.4,500.0,518.0,500.0,514.55,0.03
24102019,54.2,514.55,512.3,529.3,501.0,526.5,2.32
25102019,64.84,526.5,512.2,548.0,512.2,531.9,1.03
28102019,81.86,531.9,535.0,554.0,532.8,548.25,3.07
29102019,56.46,548.25,555.3,564.4,544.05,548.65,0.07
30102019,68.93,548.65,545.3,554.4,536.05,538.5,-1.85
31102019,85.64,538.5,538.0,544.45,531.5,534.5,-0.74
01112019,52.92,534.5,525.0,531.8,506.9,512.55,-4.11
04112019,73.14,512.55,522.4,525.0,513.2,519.55,1.37
05112019,69.57,519.55,510.0,531.85,502.0,530.55,2.12
06112019,47.6,530.55,526.85,550.0,526.85,549.2,3.52
07112019,41.84,549.2,539.05,566.0,532.0,549.6,0.07
08112019,60.94,549.6,546.75,546.75,516.05,519.7,-5.44
11112019,61.65,519.7,558.0,558.0,507.0,507.55,-2.34
12112019,61.65,519.7,558.0,558.0,507.0,507.55,-2.34
13112019,90.0,507.55,514.95,514.95,503.55,510.35,0.55
14112019,62.37,510.35,502.9,508.75,489.95,493.25,-3.35
15112019,71.8,493.25,497.65,502.1,485.0,486.5,-1.37
18112019,71.91,486.5,480.1,485.1,465.05,470.9,-3.21
19112019,61.86,470.9,471.0,476.95,446.0,447.6,-4.95
20112019,61.46,447.6,450.0,454.15,439.9,444.45,-0.7
21112019,33.93,444.45,440.65,489.0,440.65,466.05,4.86
22112019,49.79,466.05,466.2,472.4,452.15,456.7,-2.01
25112019,33.93,456.7,456.0,478.35,455.0,459.75,0.67
26112019,52.93,459.75,458.55,469.5,458.5,463.1,0.73
27112019,94.14,463.1,463.3,465.55,452.0,459.25,-0.83
28112019,78.04,459.25,459.0,462.9,453.0,456.1,-0.69
29112019,63.31,456.1,456.55,459.95,452.9,454.3,-0.39
02122019,49.28,454.3,454.95,456.5,448.95,452.05,-0.5
03122019,87.68,452.05,452.2,452.2,446.0,449.0,-0.67
04122019,56.89,449.0,446.65,447.55,440.2,443.5,-1.22
05122019,50.51,443.5,442.35,445.1,435.0,437.3,-1.4
