Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,79.17,529.3,546.95,546.95,522.15,530.0,0.13
03102019,85.37,530.0,534.9,535.0,525.0,529.95,-0.01
04102019,71.03,529.95,526.35,535.0,525.0,526.4,-0.67
07102019,60.69,526.4,598.7,598.7,535.2,542.4,3.04
08102019,60.69,526.4,598.7,598.7,535.2,542.4,3.04
09102019,73.9,542.4,554.95,554.95,535.0,537.9,-0.83
10102019,91.8,537.9,537.9,559.85,537.9,553.6,2.92
11102019,77.9,553.6,553.5,557.45,531.25,535.7,-3.23
14102019,80.81,535.7,547.0,547.0,536.8,542.1,1.19
15102019,69.31,542.1,547.0,554.0,535.05,545.8,0.68
16102019,86.44,545.8,533.05,546.0,533.05,544.55,-0.23
17102019,87.87,544.55,549.95,553.4,538.0,540.0,-0.84
18102019,80.32,540.0,540.0,544.95,537.05,540.1,0.02
21102019,80.32,540.0,540.0,544.95,537.05,540.1,0.02
22102019,76.99,540.1,547.0,550.0,540.0,544.25,0.77
23102019,80.91,544.25,544.05,546.0,535.1,539.5,-0.87
24102019,85.75,539.5,538.6,541.45,521.5,527.9,-2.15
25102019,57.14,527.9,531.45,531.45,519.0,523.25,-0.88
28102019,66.75,523.25,543.0,545.95,525.8,530.95,1.47
29102019,63.44,530.95,534.7,534.7,506.15,518.75,-2.3
30102019,55.65,518.75,527.05,534.0,520.15,528.1,1.8
31102019,65.19,528.1,528.15,540.0,512.6,532.8,0.89
01112019,81.11,532.8,543.9,543.9,515.1,520.5,-2.31
04112019,56.88,520.5,534.95,571.0,523.4,553.7,6.38
05112019,76.4,553.7,553.65,574.9,549.7,569.15,2.79
06112019,78.4,569.15,572.0,581.0,542.35,574.25,0.9
07112019,67.25,574.25,565.05,585.0,551.55,567.15,-1.24
08112019,77.86,567.15,565.0,576.0,556.05,564.25,-0.51
11112019,57.44,564.25,577.0,577.0,542.1,546.1,-3.22
12112019,57.44,564.25,577.0,577.0,542.1,546.1,-3.22
13112019,71.98,546.1,546.0,558.0,534.0,555.65,1.75
14112019,62.98,555.65,557.95,569.95,541.2,557.55,0.34
15112019,52.2,557.55,575.0,575.0,550.0,560.75,0.57
18112019,59.03,560.75,565.2,570.0,550.0,556.9,-0.69
19112019,67.48,556.9,553.05,564.85,537.3,542.55,-2.58
20112019,54.22,542.55,543.5,553.95,535.4,540.85,-0.31
21112019,59.2,540.85,545.0,559.95,534.05,538.3,-0.47
22112019,78.74,538.3,539.0,548.6,531.8,537.85,-0.08
25112019,48.35,537.85,537.85,549.0,493.6,531.9,-1.11
26112019,59.5,531.9,534.35,544.45,521.25,534.2,0.43
27112019,34.26,534.2,549.4,549.4,513.0,542.3,1.52
28112019,48.48,542.3,531.05,547.0,526.35,544.1,0.33
29112019,57.18,544.1,538.0,596.7,530.1,571.35,5.01
02122019,63.54,571.35,576.0,585.0,565.0,572.4,0.18
03122019,55.14,572.4,563.55,577.55,557.95,562.5,-1.73
04122019,57.45,562.5,594.0,594.8,563.3,588.0,4.53
05122019,54.37,588.0,598.0,598.0,578.0,584.65,-0.57
06122019,41.68,584.65,590.0,590.35,572.95,577.2,-1.27
09122019,48.63,577.2,583.5,583.5,560.25,567.6,-1.66
10122019,55.0,567.6,562.05,570.0,535.0,550.0,-3.1
11122019,65.7,550.0,542.3,564.0,542.3,557.45,1.35
12122019,46.85,557.45,557.45,579.0,544.95,577.6,3.61
13122019,38.26,577.6,590.0,648.0,578.95,607.75,5.22
16122019,58.43,607.75,619.9,619.9,585.5,599.75,-1.32
17122019,61.58,599.75,600.0,614.0,585.1,598.55,-0.2
18122019,52.94,598.55,612.0,616.0,599.3,600.15,0.27
19122019,49.53,600.15,600.0,640.0,600.0,633.4,5.54
20122019,50.6,633.4,634.0,666.0,619.0,630.65,-0.43
23122019,54.75,630.65,618.05,643.9,618.05,639.75,1.44
24122019,36.9,639.75,628.0,640.0,616.3,627.9,-1.85
25122019,36.9,639.75,628.0,640.0,616.3,627.9,-1.85
26122019,50.5,627.9,628.05,646.2,625.0,627.15,-0.12
27122019,43.76,627.15,644.95,645.0,630.1,633.25,0.97
30122019,59.05,633.25,644.0,644.25,637.0,640.2,1.1
31122019,51.09,640.2,640.2,640.2,630.1,634.65,-0.87
01012020,59.15,634.65,648.0,648.0,625.1,637.25,0.41
02012020,61.16,637.25,637.0,692.95,637.0,685.45,7.56
03012020,54.82,685.45,698.0,725.05,691.5,695.95,1.53
06012020,46.43,695.95,695.0,695.0,675.1,685.85,-1.45
07012020,76.79,685.85,686.0,701.0,686.0,699.3,1.96
08012020,50.88,699.3,685.0,726.0,681.2,717.95,2.67
09012020,62.52,717.95,730.0,786.0,721.5,746.9,4.03
10012020,54.07,746.9,760.0,768.8,730.05,751.35,0.6
13012020,63.69,751.35,761.15,765.9,749.05,758.85,1.0
14012020,56.24,758.85,741.55,768.0,741.55,749.1,-1.28
15012020,74.67,749.1,750.0,769.95,740.0,750.9,0.24
