Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,62.24,105.1,107.9,107.95,103.0,104.7,-0.38
03102019,71.9,104.7,103.5,104.4,100.0,102.95,-1.67
04102019,69.91,102.95,104.05,105.4,101.4,103.1,0.15
07102019,75.83,103.1,104.65,104.7,101.25,103.35,0.24
08102019,75.83,103.1,104.65,104.7,101.25,103.35,0.24
09102019,41.28,103.35,104.35,104.35,100.2,100.5,-2.76
10102019,91.06,100.5,100.5,100.9,98.0,98.9,-1.59
11102019,86.74,98.9,99.0,99.9,95.3,96.5,-2.43
14102019,63.47,96.5,98.45,98.7,96.0,96.3,-0.21
15102019,94.01,96.3,96.45,97.65,94.35,94.95,-1.4
16102019,83.2,94.95,94.55,97.45,94.1,96.9,2.05
17102019,60.93,96.9,97.45,99.0,96.5,97.25,0.36
18102019,93.3,97.25,101.4,101.6,96.05,96.3,-0.98
21102019,93.3,97.25,101.4,101.6,96.05,96.3,-0.98
22102019,88.17,96.3,96.3,97.85,94.0,95.6,-0.73
23102019,70.4,95.6,96.0,96.1,93.3,94.15,-1.52
24102019,82.44,94.15,94.95,94.95,92.75,93.2,-1.01
25102019,72.64,93.2,94.4,94.4,93.05,93.3,0.11
28102019,68.35,93.3,94.95,95.9,93.0,95.0,1.82
29102019,60.44,95.0,98.85,98.85,94.0,95.2,0.21
30102019,63.68,95.2,96.85,97.95,95.0,96.85,1.73
31102019,69.58,96.85,97.0,102.2,93.6,95.05,-1.86
01112019,81.64,95.05,95.35,97.6,95.25,97.35,2.42
04112019,27.18,97.35,98.0,101.95,96.15,101.2,3.95
05112019,71.45,101.2,103.2,105.5,101.7,103.75,2.52
06112019,81.99,103.75,103.95,103.95,97.35,99.7,-3.9
07112019,67.53,99.7,103.2,105.0,100.5,101.8,2.11
08112019,71.92,101.8,100.0,101.8,99.05,99.65,-2.11
11112019,77.75,99.65,100.85,106.0,98.5,104.2,4.57
12112019,77.75,99.65,100.85,106.0,98.5,104.2,4.57
13112019,64.81,104.2,104.1,106.9,101.5,103.95,-0.24
14112019,73.26,103.95,100.3,102.6,95.5,97.9,-5.82
15112019,75.4,97.9,101.0,101.0,95.6,97.95,0.05
18112019,91.86,97.95,98.75,101.0,97.95,99.0,1.07
19112019,79.71,99.0,100.1,100.1,96.1,98.05,-0.96
20112019,73.39,98.05,98.05,99.65,95.05,96.65,-1.43
21112019,63.26,96.65,97.0,97.55,95.15,95.55,-1.14
