Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
14072026,63.76,4.63,4.67,4.67,4.26,4.41,-4.75
15072026,59.78,4.41,4.39,4.57,4.3,4.41,0.0
16072026,94.46,4.41,4.4,4.74,4.4,4.71,6.8
17072026,72.25,4.71,4.89,4.95,4.62,4.74,0.64
20072026,74.22,4.74,4.92,4.92,4.55,4.74,0.0
21072026,94.54,4.74,4.76,4.87,4.75,4.78,0.84
22072026,72.82,4.78,4.77,4.95,4.77,4.92,2.93
23072026,69.24,4.92,5.04,5.04,4.75,4.83,-1.83
24072026,44.77,4.83,4.82,4.95,4.73,4.8,-0.62
27072026,81.24,4.8,4.71,4.88,4.7,4.74,-1.25
28072026,78.0,4.74,4.74,4.9,4.67,4.85,2.32
29072026,90.58,4.85,4.72,4.85,4.72,4.74,-2.27
30072026,93.43,4.74,4.66,4.75,4.52,4.55,-4.01
31072026,88.5,4.55,4.69,4.69,4.54,4.54,-0.22
03082026,81.22,4.54,4.55,4.75,4.5,4.61,1.54
04082026,87.06,4.61,4.6,4.63,4.54,4.62,0.22
05082026,93.93,4.62,4.7,4.78,4.56,4.7,1.73
06082026,70.74,4.7,4.79,4.79,4.42,4.56,-2.98
07082026,58.24,4.56,4.5,5.02,4.5,4.81,5.48
10082026,35.73,4.81,4.81,4.99,4.61,4.79,-0.42
11082026,58.15,4.79,4.58,4.78,4.58,4.7,-1.88
12082026,57.39,4.7,4.63,4.9,4.63,4.64,-1.28
13082026,50.53,4.64,4.65,4.75,4.55,4.58,-1.29
14082026,62.51,4.58,4.58,4.85,4.5,4.74,3.49
17082026,36.41,4.74,4.91,4.91,4.62,4.71,-0.63
18082026,80.1,4.71,4.71,4.8,4.5,4.72,0.21
19082026,72.01,4.72,4.72,4.8,4.55,4.66,-1.27
20082026,97.47,4.66,4.66,4.78,4.59,4.62,-0.86
21082026,88.66,4.62,4.58,4.7,4.5,4.68,1.3
24082026,97.78,4.68,4.7,4.7,4.55,4.65,-0.64
25082026,77.21,4.65,4.74,4.74,4.48,4.59,-1.29
26082026,70.48,4.59,4.59,4.73,4.52,4.61,0.44
27082026,87.53,4.61,4.55,4.61,4.55,4.57,-0.87
28082026,52.96,4.57,4.64,4.75,4.52,4.66,1.97
31082026,87.29,4.66,4.73,4.75,4.6,4.69,0.64
