Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
20042026,83.91,153.8,153.8,178.0,148.25,153.65,-0.1
21042026,96.61,153.65,154.0,160.7,150.0,153.75,0.07
22042026,78.54,153.75,154.95,155.85,151.0,151.2,-1.66
23042026,92.39,151.2,154.0,161.95,150.15,155.5,2.84
24042026,83.2,155.5,155.45,158.9,151.0,156.9,0.9
27042026,73.74,156.9,161.45,161.45,154.55,156.35,-0.35
28042026,97.67,156.35,158.0,158.0,151.5,153.75,-1.66
29042026,82.33,153.75,156.45,159.0,150.3,154.55,0.52
30042026,88.49,154.55,152.05,156.95,150.55,153.1,-0.94
01052026,88.49,154.55,152.05,156.95,150.55,153.1,-0.94
04052026,91.5,153.1,150.05,160.02,150.04,154.01,0.59
05052026,79.88,154.01,154.01,156.98,154.01,156.8,1.81
06052026,87.58,156.8,162.0,162.0,151.7,157.49,0.44
07052026,68.11,157.49,163.25,163.25,157.0,159.3,1.15
08052026,83.2,159.3,157.0,159.89,154.74,156.45,-1.79
11052026,71.23,156.45,162.7,162.7,153.05,154.63,-1.16
12052026,98.09,154.63,159.0,159.0,151.05,153.13,-0.97
13052026,93.41,153.13,153.13,159.95,151.5,153.6,0.31
14052026,66.71,153.6,150.02,155.1,149.03,150.05,-2.31
