Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,74.3,77.3,78.55,80.55,77.0,79.75,3.17
03102019,64.65,79.75,80.5,80.95,78.3,80.15,0.5
04102019,65.72,80.15,79.6,81.0,78.1,79.2,-1.19
07102019,69.22,79.2,79.1,79.7,77.1,78.25,-1.2
08102019,69.22,79.2,79.1,79.7,77.1,78.25,-1.2
09102019,55.7,78.25,78.35,80.0,76.4,78.35,0.13
10102019,45.16,78.35,78.0,78.2,72.3,75.8,-3.25
11102019,79.8,75.8,75.75,79.05,74.6,77.6,2.37
14102019,59.37,77.6,78.05,80.45,77.5,80.05,3.16
15102019,50.67,80.05,80.5,80.5,74.15,75.3,-5.93
16102019,75.7,75.3,76.0,76.25,74.1,74.4,-1.2
17102019,83.14,74.4,74.2,77.0,73.5,74.4,0.0
18102019,74.46,74.4,74.9,75.9,70.7,71.95,-3.29
21102019,74.46,74.4,74.9,75.9,70.7,71.95,-3.29
22102019,72.29,71.95,74.4,74.5,72.0,73.0,1.46
23102019,87.41,73.0,74.95,74.95,72.5,73.9,1.23
24102019,72.9,73.9,74.0,74.0,70.8,72.25,-2.23
25102019,79.93,72.25,71.6,73.5,71.5,72.2,-0.07
28102019,91.25,72.2,73.6,75.0,72.9,73.85,2.29
29102019,57.45,73.85,73.15,76.0,66.95,70.55,-4.47
30102019,69.26,70.55,71.95,71.95,67.0,67.9,-3.76
31102019,72.72,67.9,68.4,71.2,67.05,69.15,1.84
01112019,42.67,69.15,67.7,72.6,61.35,70.35,1.74
04112019,64.7,70.35,68.65,73.45,68.1,68.7,-2.35
05112019,73.85,68.7,69.0,70.4,67.65,68.6,-0.15
06112019,50.79,68.6,69.2,70.1,67.0,68.9,0.44
07112019,59.35,68.9,68.9,73.5,67.9,71.75,4.14
08112019,60.47,71.75,72.9,73.5,70.7,71.2,-0.77
11112019,87.11,71.2,69.35,73.0,69.35,72.8,2.25
12112019,87.11,71.2,69.35,73.0,69.35,72.8,2.25
13112019,60.41,72.8,74.15,75.05,70.0,71.8,-1.37
14112019,80.06,71.8,71.35,72.6,70.5,71.6,-0.28
15112019,49.36,71.6,70.9,72.9,68.0,69.8,-2.51
18112019,69.21,69.8,69.8,70.5,67.6,68.65,-1.65
19112019,67.64,68.65,68.25,69.85,68.25,68.8,0.22
20112019,50.03,68.8,68.5,69.5,62.6,66.95,-2.69
