Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
16022026,43.6,129.0,129.0,133.8,120.55,128.91,-0.07
17022026,24.63,128.91,128.9,149.69,128.8,134.93,4.67
18022026,21.26,134.93,136.93,141.42,128.4,129.68,-3.89
19022026,28.02,129.68,131.0,134.3,128.12,129.14,-0.42
20022026,40.15,129.14,129.12,129.13,123.25,124.97,-3.23
23022026,36.11,124.97,126.0,127.99,120.66,123.03,-1.55
24022026,35.85,123.03,123.0,124.29,118.51,119.42,-2.93
25022026,23.76,119.42,119.21,121.59,118.37,119.99,0.48
26022026,34.65,119.99,119.51,128.5,117.2,126.84,5.71
27022026,42.65,126.84,125.0,125.0,118.0,119.05,-6.14
02032026,24.62,119.05,112.0,122.25,110.9,119.22,0.14
