Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,81.62,245.65,244.1,247.15,238.95,244.15,-0.61
03102019,92.43,244.15,244.0,244.0,240.0,241.95,-0.9
04102019,73.26,241.95,241.95,245.95,240.3,242.85,0.37
07102019,70.19,242.85,243.0,245.2,240.0,242.8,-0.02
08102019,70.19,242.85,243.0,245.2,240.0,242.8,-0.02
09102019,58.44,242.8,243.0,245.0,240.5,243.7,0.37
10102019,78.85,243.7,244.8,244.8,239.1,240.4,-1.35
11102019,50.2,240.4,242.9,245.5,239.0,243.2,1.16
14102019,81.84,243.2,240.0,243.8,221.15,230.05,-5.41
15102019,47.52,230.05,229.0,238.8,195.1,203.65,-11.48
16102019,35.02,203.65,225.0,244.35,222.0,244.35,19.99
17102019,27.49,244.35,252.0,271.2,251.35,261.95,7.2
18102019,47.1,261.95,259.9,266.0,252.5,264.05,0.8
21102019,47.1,261.95,259.9,266.0,252.5,264.05,0.8
22102019,52.28,264.05,266.1,268.7,248.0,249.95,-5.34
23102019,49.15,249.95,251.2,256.15,241.65,247.9,-0.82
24102019,57.76,247.9,248.5,250.0,233.5,238.1,-3.95
25102019,58.09,238.1,237.05,246.4,237.0,239.05,0.4
28102019,54.66,239.05,240.55,248.7,239.6,245.9,2.87
29102019,49.61,245.9,244.5,250.45,239.1,244.3,-0.65
30102019,38.62,244.3,245.0,253.9,242.0,245.65,0.55
31102019,38.6,245.65,245.9,255.0,245.7,251.4,2.34
01112019,55.85,251.4,252.05,252.25,245.75,248.55,-1.13
04112019,58.78,248.55,248.0,260.0,248.0,255.4,2.76
05112019,44.59,255.4,257.7,257.95,247.0,251.1,-1.68
06112019,43.69,251.1,253.0,264.3,249.0,259.15,3.21
07112019,54.46,259.15,258.45,259.0,253.3,255.75,-1.31
08112019,57.49,255.75,255.7,255.7,249.0,249.8,-2.33
11112019,55.3,249.8,249.0,251.5,245.0,248.35,-0.58
12112019,55.3,249.8,249.0,251.5,245.0,248.35,-0.58
13112019,57.73,248.35,251.5,251.5,241.7,244.55,-1.53
14112019,41.4,244.55,242.5,248.95,240.0,241.3,-1.33
15112019,61.06,241.3,242.9,247.0,240.5,241.55,0.1
18112019,61.92,241.55,243.55,244.2,236.35,237.5,-1.68
19112019,49.21,237.5,237.8,239.85,236.25,238.5,0.42
20112019,49.11,238.5,238.5,241.8,236.05,240.55,0.86
21112019,62.38,240.55,240.9,241.4,234.0,235.55,-2.08
22112019,41.62,235.55,236.15,239.25,234.95,236.85,0.55
25112019,59.15,236.85,238.5,245.0,237.5,243.75,2.91
26112019,63.17,243.75,243.8,253.0,243.05,248.2,1.83
27112019,61.96,248.2,248.5,252.0,245.0,246.95,-0.5
28112019,79.67,246.95,248.5,248.5,244.0,245.05,-0.77
29112019,66.52,245.05,245.1,250.0,243.05,246.1,0.43
02122019,58.88,246.1,247.0,250.0,242.05,246.15,0.02
03122019,69.6,246.15,244.6,246.0,241.0,241.7,-1.81
04122019,73.48,241.7,241.7,243.9,238.05,238.95,-1.14
05122019,72.22,238.95,240.5,245.9,239.7,244.5,2.32
06122019,75.06,244.5,244.55,244.9,239.5,241.9,-1.06
09122019,82.59,241.9,242.0,243.0,235.95,238.25,-1.51
10122019,58.46,238.25,237.7,237.9,233.0,234.4,-1.62
