Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
24122025,74.67,61.08,61.45,61.68,60.91,60.95,-0.21
25122025,74.67,61.08,61.45,61.68,60.91,60.95,-0.21
26122025,69.82,60.95,62.47,62.47,60.71,60.85,-0.16
29122025,53.34,60.85,60.84,61.44,60.6,60.7,-0.25
30122025,67.39,60.7,61.14,61.14,60.49,60.89,0.31
31122025,71.96,60.89,61.19,61.74,60.9,61.31,0.69
01012026,68.98,61.31,59.77,61.74,59.77,61.49,0.29
02012026,78.2,61.49,61.69,62.01,61.46,61.82,0.54
05012026,50.88,61.82,61.87,62.31,61.64,61.79,-0.05
06012026,96.07,61.79,63.33,63.33,61.71,61.85,0.1
07012026,86.52,61.85,62.16,62.16,61.61,61.87,0.03
08012026,97.76,61.87,60.32,61.96,60.32,61.56,-0.5
09012026,91.97,61.56,61.84,61.84,60.92,61.14,-0.68
12012026,54.79,61.14,61.14,61.43,60.62,61.23,0.15
13012026,18.16,61.23,61.64,61.64,61.07,61.38,0.24
14012026,76.73,61.38,62.91,62.91,61.08,61.34,-0.07
15012026,76.73,61.38,62.91,62.91,61.08,61.34,-0.07
16012026,99.61,61.34,61.34,61.92,60.82,61.81,0.77
19012026,92.67,61.81,62.15,62.15,61.38,61.67,-0.23
20012026,94.78,61.67,61.75,63.38,61.22,61.54,-0.21
21012026,78.06,61.54,61.75,61.97,60.13,60.48,-1.72
22012026,76.94,60.48,61.17,61.41,60.6,61.18,1.16
23012026,92.58,61.18,61.48,61.48,60.05,60.2,-1.6
27012026,81.33,60.2,60.62,61.24,59.89,61.03,1.38
28012026,53.17,61.03,61.34,61.5,60.98,61.31,0.46
29012026,65.62,61.31,61.13,61.83,61.13,61.79,0.78
30012026,90.02,61.79,60.24,62.25,60.24,61.55,-0.39
02022026,91.58,60.45,59.87,60.79,59.68,60.33,-0.2
03022026,32.31,60.33,60.95,62.43,60.95,62.01,2.78
04022026,67.29,62.01,61.91,62.26,61.71,62.19,0.29
05022026,96.17,62.19,62.67,62.67,61.68,61.76,-0.69
06022026,79.62,61.76,61.73,61.93,61.5,61.85,0.15
09022026,86.0,61.85,62.65,63.71,62.08,62.48,1.02
10022026,87.86,62.48,62.06,63.08,62.06,62.48,0.0
11022026,65.81,62.48,62.48,62.65,62.35,62.61,0.21
12022026,98.67,62.61,62.89,62.89,62.45,62.73,0.19
13022026,98.63,62.73,62.33,62.91,62.02,62.22,-0.81
16022026,57.31,62.22,61.73,62.78,61.73,62.72,0.8
17022026,94.04,62.72,61.15,73.7,61.15,63.18,0.73
18022026,56.81,63.18,63.75,63.76,62.93,63.31,0.21
19022026,12.94,63.31,63.23,63.55,62.4,62.61,-1.11
20022026,47.09,62.61,62.72,63.34,62.47,63.15,0.86
23022026,90.68,63.15,63.74,63.74,62.97,63.14,-0.02
24022026,63.19,63.14,62.76,63.6,62.76,63.01,-0.21
25022026,91.28,63.01,63.49,63.49,62.6,62.88,-0.21
26022026,72.87,62.88,61.3,63.12,61.3,62.93,0.08
27022026,71.71,62.93,62.94,62.94,62.23,62.43,-0.79
02032026,61.3,62.43,61.68,63.35,60.37,61.63,-1.28
03032026,61.3,62.43,61.68,63.35,60.37,61.63,-1.28
04032026,66.17,61.63,63.48,63.48,60.17,60.49,-1.85
05032026,55.86,60.49,60.61,61.13,60.35,60.84,0.58
06032026,89.81,60.84,60.89,60.89,59.5,59.66,-1.94
09032026,62.52,59.66,58.31,58.31,56.96,57.78,-3.15
10032026,61.43,57.78,58.5,58.98,58.11,58.77,1.71
11032026,80.07,58.77,59.06,59.06,57.45,57.54,-2.09
12032026,74.24,57.54,57.54,57.54,56.5,56.85,-1.2
13032026,94.28,56.85,56.46,56.46,55.44,55.52,-2.34
16032026,77.63,55.52,55.29,56.3,54.95,56.04,0.94
17032026,51.13,56.04,56.3,56.6,55.8,56.42,0.68
18032026,48.29,56.42,55.0,57.29,55.0,57.03,1.08
19032026,93.56,57.03,55.0,55.96,54.78,55.12,-3.35
20032026,98.59,55.12,56.49,56.49,54.83,54.98,-0.25
23032026,70.26,54.98,54.97,54.97,52.86,53.03,-3.55
