Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01112023,51.39,346.0,380.0,417.95,378.0,413.4,19.48
02112023,35.4,413.4,423.0,433.4,403.4,406.95,-1.56
03112023,51.84,406.95,409.8,413.2,386.05,389.85,-4.2
06112023,57.08,389.85,372.0,393.75,357.35,382.5,-1.89
07112023,52.96,382.5,382.0,387.25,376.25,381.7,-0.21
08112023,44.81,381.7,385.0,408.8,385.0,405.3,6.18
09112023,48.84,405.3,406.5,419.9,401.05,404.05,-0.31
10112023,45.4,404.05,399.0,402.7,376.65,387.75,-4.03
13112023,46.09,402.15,403.0,415.0,398.05,400.25,-0.47
14112023,46.09,402.15,403.0,415.0,398.05,400.25,-0.47
15112023,43.41,400.25,403.75,406.9,391.35,392.55,-1.92
16112023,34.97,392.55,395.0,396.0,384.0,389.15,-0.87
17112023,62.77,389.15,391.0,394.0,379.0,381.45,-1.98
20112023,64.76,381.45,381.0,398.0,381.0,393.2,3.08
21112023,55.82,393.2,393.95,401.2,384.0,389.65,-0.9
22112023,56.72,389.65,390.0,392.0,382.3,385.35,-1.1
23112023,60.85,385.35,385.75,386.0,379.3,383.7,-0.43
24112023,66.36,383.7,382.0,384.3,370.05,374.3,-2.45
27112023,66.36,383.7,382.0,384.3,370.05,374.3,-2.45
28112023,58.68,374.3,376.0,377.7,358.6,364.75,-2.55
29112023,81.4,364.75,366.9,372.0,362.25,364.45,-0.08
30112023,66.56,364.45,366.0,366.8,355.5,360.1,-1.19
01122023,64.78,360.1,362.2,364.0,344.75,346.95,-3.65
04122023,59.31,346.95,350.55,358.0,332.9,355.4,2.44
05122023,48.47,355.4,355.4,369.95,355.4,360.25,1.36
06122023,61.42,360.25,360.55,362.9,346.05,348.5,-3.26
07122023,54.84,348.5,348.65,352.45,341.25,350.05,0.44
08122023,62.17,350.05,351.9,353.45,336.0,339.45,-3.03
11122023,59.78,339.45,341.3,341.45,330.95,332.75,-1.97
12122023,57.15,332.75,333.0,339.0,319.5,322.1,-3.2
13122023,62.76,322.1,320.0,348.7,320.0,343.2,6.55
14122023,33.96,343.2,346.0,353.0,331.9,333.8,-2.74
15122023,57.0,333.8,335.0,350.95,332.6,347.2,4.01
18122023,46.13,347.2,348.5,358.8,345.05,352.5,1.53
19122023,48.83,352.5,355.0,373.45,352.15,362.0,2.7
20122023,49.8,362.0,363.9,371.95,348.25,354.55,-2.06
21122023,62.29,354.55,356.0,360.6,347.05,358.65,1.16
22122023,61.15,358.65,361.0,368.0,354.55,361.3,0.74
25122023,61.15,358.65,361.0,368.0,354.55,361.3,0.74
26122023,42.83,361.3,358.2,376.0,358.2,369.65,2.31
27122023,51.83,369.65,372.45,376.95,360.3,371.05,0.38
28122023,53.18,371.05,371.45,373.0,361.0,368.95,-0.57
29122023,76.07,368.95,369.0,373.0,365.3,368.1,-0.23
01012024,65.94,368.1,370.0,374.8,364.55,368.2,0.03
02012024,46.14,368.2,369.0,386.05,365.05,379.0,2.93
03012024,51.93,379.0,381.0,383.8,373.0,373.7,-1.4
04012024,47.37,373.7,380.0,392.0,375.65,384.4,2.86
05012024,60.91,384.4,384.95,388.0,372.75,377.15,-1.89
08012024,60.76,377.15,386.8,411.9,386.7,403.25,6.92
09012024,67.3,403.25,403.85,405.95,392.0,397.15,-1.51
10012024,47.12,397.15,395.8,396.65,382.0,390.55,-1.66
11012024,61.6,390.55,394.95,400.0,385.05,386.15,-1.13
12012024,57.6,386.15,388.0,393.0,375.65,378.0,-2.11
15012024,76.21,378.0,378.45,380.4,362.0,363.55,-3.82
16012024,62.67,363.55,364.95,378.45,360.15,370.4,1.88
17012024,58.6,370.4,367.4,369.6,362.0,363.55,-1.85
18012024,44.18,363.55,368.6,375.1,351.0,369.6,1.66
19012024,50.23,369.6,370.0,379.8,370.0,374.25,1.26
22012024,57.34,374.25,372.0,379.4,372.0,372.6,-0.44
23012024,55.03,372.6,374.0,374.0,351.0,353.25,-5.19
24012024,68.78,353.25,353.25,358.7,350.25,357.95,1.33
25012024,66.99,357.95,357.95,362.05,353.65,359.75,0.5
29012024,54.27,359.75,360.85,385.0,357.05,380.95,5.89
30012024,60.14,380.95,377.65,384.0,365.55,367.4,-3.56
31012024,76.01,367.4,368.0,368.0,351.95,354.15,-3.61
01022024,59.55,354.15,354.15,358.15,346.1,347.45,-1.89
02022024,67.27,347.45,350.5,352.4,333.25,334.9,-3.61
05022024,64.53,334.9,337.65,337.65,326.1,330.35,-1.36
06022024,61.79,330.35,335.35,349.15,324.0,345.75,4.66
07022024,59.62,345.75,347.95,357.0,341.35,354.05,2.4
08022024,50.32,354.05,355.0,359.7,347.35,354.0,-0.01
09022024,54.93,354.0,354.0,363.0,340.85,355.55,0.44
12022024,56.01,355.55,355.55,361.85,339.45,344.05,-3.23
13022024,63.61,344.05,344.95,345.0,330.2,335.6,-2.46
14022024,48.55,335.6,343.8,343.8,332.05,340.1,1.34
15022024,54.35,340.1,341.0,342.45,333.0,337.4,-0.79
16022024,62.5,337.4,342.35,342.9,334.0,341.3,1.16
19022024,61.44,341.3,344.0,355.6,340.05,346.85,1.63
20022024,63.36,346.85,344.05,356.7,344.05,353.65,1.96
21022024,56.6,353.65,356.95,365.1,345.5,348.15,-1.56
22022024,79.88,348.15,349.0,351.9,343.0,349.75,0.46
23022024,62.09,349.75,349.8,359.7,346.55,358.05,2.37
26022024,43.5,358.05,363.7,364.3,354.15,362.65,1.28
27022024,54.75,362.65,362.65,366.7,357.65,359.3,-0.92
28022024,57.31,359.3,360.0,362.0,347.4,349.95,-2.6
29022024,68.07,349.95,348.1,353.95,341.5,344.0,-1.7
01032024,51.73,344.0,340.7,350.05,340.5,346.8,0.81
04032024,59.94,349.15,352.0,354.0,344.2,351.3,0.62
05032024,55.52,351.3,353.0,353.0,344.0,346.8,-1.28
