Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
19082025,34.0,517.0,510.0,564.0,508.1,546.0,5.61
20082025,15.14,546.0,544.85,625.0,531.35,572.05,4.77
21082025,20.59,572.05,569.3,594.8,542.7,564.3,-1.35
22082025,22.46,564.3,565.9,577.7,541.0,546.35,-3.18
25082025,16.71,546.35,549.7,564.55,532.8,550.65,0.79
26082025,31.73,550.65,555.3,555.3,534.3,541.9,-1.59
28082025,24.47,541.9,535.1,542.3,517.55,522.6,-3.56
29082025,19.1,522.6,523.95,544.1,515.2,534.8,2.33
01092025,38.5,534.8,534.8,555.0,530.0,549.95,2.83
02092025,27.2,549.95,549.0,565.0,541.1,551.9,0.35
03092025,47.12,551.9,557.5,559.0,546.0,556.1,0.76
04092025,27.25,556.1,560.0,585.4,557.0,568.45,2.22
05092025,27.39,568.45,590.95,629.6,560.1,604.25,6.3
08092025,26.19,604.25,605.0,609.0,585.15,590.6,-2.26
09092025,10.56,590.6,590.0,707.8,587.05,663.95,12.42
10092025,17.87,663.95,668.9,686.6,638.65,658.3,-0.85
11092025,22.42,658.3,652.7,662.8,632.0,638.65,-2.98
12092025,16.63,638.65,640.0,663.0,635.1,642.1,0.54
15092025,40.66,642.1,635.1,649.8,630.0,638.55,-0.55
16092025,31.32,638.55,645.0,651.65,611.1,622.3,-2.54
17092025,43.86,622.3,623.0,623.0,590.0,595.2,-4.35
18092025,52.2,595.2,598.15,612.4,593.2,602.65,1.25
19092025,23.67,602.65,614.0,638.15,602.45,609.1,1.07
22092025,29.27,609.1,609.1,622.0,597.6,600.9,-1.35
23092025,41.15,600.9,607.0,607.0,589.25,594.5,-1.07
24092025,44.53,594.5,600.0,600.05,585.0,589.15,-0.9
25092025,42.11,589.15,591.45,592.95,572.0,577.1,-2.05
26092025,29.82,577.1,574.65,581.1,557.0,567.45,-1.67
29092025,38.14,567.45,564.45,582.0,561.7,572.5,0.89
30092025,42.56,572.5,572.5,605.0,572.5,599.65,4.74
01102025,38.88,599.65,599.65,603.05,584.0,599.45,-0.03
03102025,31.46,599.45,599.45,616.95,595.9,611.85,2.07
06102025,36.27,611.85,617.95,639.85,611.2,619.65,1.27
07102025,46.32,619.65,619.8,623.25,610.95,620.85,0.19
08102025,7.45,620.85,622.9,728.8,622.4,702.8,13.2
09102025,8.3,702.8,702.8,793.0,680.75,761.25,8.32
10102025,10.54,761.25,758.0,758.0,680.0,702.05,-7.78
13102025,10.54,702.05,706.95,725.0,686.15,695.75,-0.9
14102025,12.81,695.75,699.7,754.0,699.2,734.45,5.56
15102025,18.24,734.45,725.0,738.2,707.25,727.45,-0.95
16102025,23.15,727.45,733.8,750.0,726.0,738.0,1.45
17102025,16.65,738.0,740.0,770.25,708.0,714.55,-3.18
20102025,14.76,714.55,716.45,733.7,706.45,713.55,-0.14
21102025,20.04,713.55,718.5,725.0,691.65,713.7,0.02
22102025,20.04,713.55,718.5,725.0,691.65,713.7,0.02
23102025,28.6,713.7,715.0,722.95,695.7,712.6,-0.15
24102025,20.71,712.6,714.0,750.0,705.35,743.8,4.38
